Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,01:14:31.728804,01:14:34.397392,10,1.0
1,01:14:31.728804,01:14:34.626737,10,1.0
1,01:14:31.728804,01:14:34.859905,-10,1.0
1,01:14:31.728804,01:14:35.059284,-10,1.0
1,01:14:31.728804,01:14:35.261460,10,1.0
1,01:14:31.728804,01:14:35.494051,10,1.0
1,01:14:31.728804,01:14:35.730330,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,01:14:35.736929,01:14:39.175138,10,1.0
2,01:14:35.736929,01:14:40.951920,-10,1.0
2,01:14:35.736929,01:14:41.302656,-10,1.0
2,01:14:35.736929,01:14:41.549809,10,1.0
2,01:14:35.736929,01:14:41.791123,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,01:14:41.796230,01:14:42.007904,-10,1.0
3,01:14:41.796230,01:14:45.266628,-10,1.0
3,01:14:41.796230,01:14:45.548473,10,1.0
3,01:14:41.796230,01:14:45.809893,10,1.0
3,01:14:41.796230,01:14:46.048490,10,1.0
3,01:14:41.796230,01:14:46.256459,10,1.0
3,01:14:41.796230,01:14:46.446750,10,1.0
3,01:14:41.796230,01:14:46.677239,10,1.0
3,01:14:41.796230,01:14:46.886218,10,1.0
3,01:14:41.796230,01:14:47.355128,10,1.0
3,01:14:41.796230,01:14:49.270406,-10,1.0
3,01:14:41.796230,01:14:49.472653,-10,1.0
3,01:14:41.796230,01:14:49.659091,10,1.0
3,01:14:41.796230,01:14:49.849075,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,01:14:49.855585,01:14:50.050215,-10,1.0
4,01:14:49.855585,01:14:51.422413,10,1.0
4,01:14:49.855585,01:14:51.612459,10,1.0
4,01:14:49.855585,01:14:51.821090,10,1.0
4,01:14:49.855585,01:14:52.014988,10,1.0
4,01:14:49.855585,01:14:53.671981,10,1.0
4,01:14:49.855585,01:14:53.879362,10,1.0
