Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,01:07:09.648678,01:07:11.163548,10,1.0
1,01:07:09.648678,01:07:11.658628,10,1.0
1,01:07:09.648678,01:07:12.277982,10,1.0
1,01:07:09.648678,01:07:13.002917,-10,1.0
1,01:07:09.648678,01:07:13.291175,-10,1.0
1,01:07:09.648678,01:07:13.486203,-10,1.0
1,01:07:09.648678,01:07:13.700087,10,1.0
1,01:07:09.648678,01:07:14.039692,10,1.0
1,01:07:09.648678,01:07:14.293512,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,01:07:14.296142,01:07:14.516601,10,1.0
2,01:07:14.296142,01:07:15.669793,-10,1.0
2,01:07:14.296142,01:07:15.930501,-10,1.0
2,01:07:14.296142,01:07:16.134285,10,1.0
2,01:07:14.296142,01:07:16.346243,10,1.0
2,01:07:14.296142,01:07:16.611993,10,1.0
2,01:07:14.296142,01:07:16.846150,10,1.0
2,01:07:14.296142,01:07:17.089345,10,1.0
2,01:07:14.296142,01:07:17.354250,10,1.0
2,01:07:14.296142,01:07:17.610383,10,1.0
2,01:07:14.296142,01:07:17.832544,10,1.0
2,01:07:14.296142,01:07:18.067409,10,1.0
2,01:07:14.296142,01:07:18.270717,10,1.0
2,01:07:14.296142,01:07:18.485057,10,1.0
2,01:07:14.296142,01:07:18.757354,10,1.0
2,01:07:14.296142,01:07:19.212440,10,1.0
2,01:07:14.296142,01:07:19.594417,-10,1.0
2,01:07:14.296142,01:07:19.778624,-10,1.0
2,01:07:14.296142,01:07:19.959425,10,1.0
2,01:07:14.296142,01:07:20.131623,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,01:07:20.137211,01:07:20.316234,-10,1.0
3,01:07:20.137211,01:07:20.906178,10,1.0
3,01:07:20.137211,01:07:21.088873,10,1.0
3,01:07:20.137211,01:07:21.270121,10,1.0
3,01:07:20.137211,01:07:21.452392,10,1.0
3,01:07:20.137211,01:07:21.730027,10,1.0
3,01:07:20.137211,01:07:22.029214,-10,1.0
3,01:07:20.137211,01:07:22.201449,-10,1.0
3,01:07:20.137211,01:07:22.374223,10,1.0
3,01:07:20.137211,01:07:22.557403,10,1.0
3,01:07:20.137211,01:07:22.719124,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,01:07:22.722016,01:07:22.881346,-10,1.0
4,01:07:22.722016,01:07:24.092511,10,1.0
4,01:07:22.722016,01:07:24.284041,10,1.0
4,01:07:22.722016,01:07:24.467958,10,1.0
4,01:07:22.722016,01:07:24.818540,10,1.0
4,01:07:22.722016,01:07:24.996172,10,1.0
4,01:07:22.722016,01:07:25.157414,10,1.0
4,01:07:22.722016,01:07:25.327863,10,1.0
4,01:07:22.722016,01:07:25.499124,10,1.0
4,01:07:22.722016,01:07:25.666406,10,1.0
4,01:07:22.722016,01:07:25.796468,10,1.0
4,01:07:22.722016,01:07:25.946265,10,1.0
4,01:07:22.722016,01:07:26.191065,10,1.0
4,01:07:22.722016,01:07:26.343775,10,1.0
4,01:07:22.722016,01:07:26.589555,10,1.0
4,01:07:22.722016,01:07:26.720524,10,1.0
4,01:07:22.722016,01:07:26.882411,10,1.0
4,01:07:22.722016,01:07:27.054081,10,1.0
4,01:07:22.722016,01:07:27.319502,10,1.0
4,01:07:22.722016,01:07:27.760104,-10,1.0
4,01:07:22.722016,01:07:27.919712,10,1.0
4,01:07:22.722016,01:07:28.081319,10,1.0
4,01:07:22.722016,01:07:28.253985,10,1.0
4,01:07:22.722016,01:07:28.386238,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,01:07:28.389084,01:07:28.539292,10,1.0
5,01:07:28.389084,01:07:28.962377,10,1.0
5,01:07:28.389084,01:07:29.426002,10,1.0
5,01:07:28.389084,01:07:29.661036,10,1.0
5,01:07:28.389084,01:07:30.011114,10,1.0
5,01:07:28.389084,01:07:30.318056,-10,1.0
5,01:07:28.389084,01:07:30.511675,10,1.0
5,01:07:28.389084,01:07:30.671572,10,1.0
5,01:07:28.389084,01:07:30.833219,10,1.0
5,01:07:28.389084,01:07:30.995234,10,1.0
5,01:07:28.389084,01:07:31.459023,10,1.0
5,01:07:28.389084,01:07:31.611346,10,1.0
5,01:07:28.389084,01:07:31.782144,10,1.0
5,01:07:28.389084,01:07:31.942664,10,1.0
5,01:07:28.389084,01:07:32.062242,10,1.0
5,01:07:28.389084,01:07:32.474325,10,1.0
5,01:07:28.389084,01:07:32.646252,10,1.0
5,01:07:28.389084,01:07:32.754197,10,1.0
5,01:07:28.389084,01:07:33.176236,10,1.0
5,01:07:28.389084,01:07:33.326279,10,1.0
5,01:07:28.389084,01:07:33.499787,10,1.0
5,01:07:28.389084,01:07:33.681338,10,1.0
5,01:07:28.389084,01:07:33.852271,10,1.0
5,01:07:28.389084,01:07:34.199961,10,1.0
5,01:07:28.389084,01:07:34.404377,10,1.0
5,01:07:28.389084,01:07:34.558200,10,1.0
5,01:07:28.389084,01:07:34.719582,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,01:07:34.723579,01:07:34.880363,10,1.0
6,01:07:34.723579,01:07:35.404681,10,1.0
6,01:07:34.723579,01:07:35.575966,10,1.0
6,01:07:34.723579,01:07:35.876015,10,1.0
6,01:07:34.723579,01:07:36.027158,10,1.0
6,01:07:34.723579,01:07:36.199833,10,1.0
6,01:07:34.723579,01:07:36.359982,10,1.0
6,01:07:34.723579,01:07:36.511265,10,1.0
6,01:07:34.723579,01:07:36.620889,10,1.0
6,01:07:34.723579,01:07:36.717076,10,1.0
6,01:07:34.723579,01:07:36.889004,10,1.0
6,01:07:34.723579,01:07:37.246170,10,1.0
6,01:07:34.723579,01:07:37.490230,10,1.0
6,01:07:34.723579,01:07:37.641480,10,1.0
6,01:07:34.723579,01:07:37.782365,10,1.0
6,01:07:34.723579,01:07:37.963269,10,1.0
6,01:07:34.723579,01:07:38.116186,10,1.0
6,01:07:34.723579,01:07:38.321689,10,1.0
6,01:07:34.723579,01:07:38.430568,10,1.0
6,01:07:34.723579,01:07:38.677712,10,1.0
6,01:07:34.723579,01:07:38.808990,10,1.0
6,01:07:34.723579,01:07:38.896150,10,1.0
6,01:07:34.723579,01:07:39.148477,10,1.0
6,01:07:34.723579,01:07:39.299766,10,1.0
6,01:07:34.723579,01:07:39.356489,10,1.0
6,01:07:34.723579,01:07:39.508284,10,1.0
6,01:07:34.723579,01:07:39.857941,10,1.0
6,01:07:34.723579,01:07:40.112207,-10,1.0
6,01:07:34.723579,01:07:40.358034,10,1.0
6,01:07:34.723579,01:07:40.531484,10,1.0
6,01:07:34.723579,01:07:40.672541,10,1.0
6,01:07:34.723579,01:07:40.844285,10,1.0
6,01:07:34.723579,01:07:40.942667,10,1.0
6,01:07:34.723579,01:07:41.239002,10,1.0
6,01:07:34.723579,01:07:41.393137,10,1.0
6,01:07:34.723579,01:07:41.526107,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,01:07:41.529093,01:07:41.668028,-10,1.0
7,01:07:41.529093,01:07:43.919865,10,1.0
7,01:07:41.529093,01:07:44.101086,10,1.0
7,01:07:41.529093,01:07:44.252492,10,1.0
7,01:07:41.529093,01:07:44.454125,10,1.0
7,01:07:41.529093,01:07:44.603566,10,1.0
7,01:07:41.529093,01:07:44.776919,10,1.0
7,01:07:41.529093,01:07:44.948766,10,1.0
