Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:26:08.695807,15:26:09.473737,-3,1.0
1,15:26:08.695807,15:26:09.864088,1,1.0
1,15:26:08.695807,15:26:10.057016,1,1.0
1,15:26:08.695807,15:26:10.269553,1,1.0
1,15:26:08.695807,15:26:10.524759,1,1.0
1,15:26:08.695807,15:26:10.721222,1,1.0
1,15:26:08.695807,15:26:10.936617,1,1.0
1,15:26:08.695807,15:26:11.128693,-3,1.0
1,15:26:08.695807,15:26:11.280450,-3,1.0
1,15:26:08.695807,15:26:11.515284,1,1.0
1,15:26:08.695807,15:26:11.701262,1,1.0
1,15:26:08.695807,15:26:11.893194,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:26:11.897140,15:26:12.107609,-3,1.0
2,15:26:11.897140,15:26:12.555603,-3,1.0
2,15:26:11.897140,15:26:13.875780,1,1.0
2,15:26:11.897140,15:26:14.395889,1,1.0
2,15:26:11.897140,15:26:15.771435,-3,1.0
2,15:26:11.897140,15:26:15.975000,1,1.0
2,15:26:11.897140,15:26:16.158258,1,1.0
2,15:26:11.897140,15:26:16.374481,1,1.0
2,15:26:11.897140,15:26:16.586531,1,1.0
2,15:26:11.897140,15:26:16.789358,1,1.0
2,15:26:11.897140,15:26:17.034131,1,1.0
2,15:26:11.897140,15:26:17.243376,1,1.0
2,15:26:11.897140,15:26:18.591524,-3,1.0
2,15:26:11.897140,15:26:18.774416,-3,1.0
2,15:26:11.897140,15:26:18.967002,-3,1.0
2,15:26:11.897140,15:26:19.138063,1,1.0
2,15:26:11.897140,15:26:19.338045,1,1.0
2,15:26:11.897140,15:26:19.530109,1,1.0
2,15:26:11.897140,15:26:19.733700,1,1.0
2,15:26:11.897140,15:26:19.946244,1,1.0
2,15:26:11.897140,15:26:20.146883,1,1.0
2,15:26:11.897140,15:26:20.772271,1,1.0
2,15:26:11.897140,15:26:21.474689,-3,1.0
2,15:26:11.897140,15:26:21.672418,-3,1.0
2,15:26:11.897140,15:26:21.868663,-3,1.0
2,15:26:11.897140,15:26:22.062513,1,1.0
2,15:26:11.897140,15:26:22.256065,1,1.0
2,15:26:11.897140,15:26:22.593696,1,1.0
2,15:26:11.897140,15:26:22.829885,1,1.0
2,15:26:11.897140,15:26:23.086103,1,1.0
2,15:26:11.897140,15:26:23.330176,1,1.0
2,15:26:11.897140,15:26:23.616042,1,1.0
2,15:26:11.897140,15:26:25.454801,-3,1.0
2,15:26:11.897140,15:26:26.176011,-3,1.0
2,15:26:11.897140,15:26:26.452961,-3,1.0
2,15:26:11.897140,15:26:26.653813,1,1.0
2,15:26:11.897140,15:26:26.834029,1,1.0
2,15:26:11.897140,15:26:27.057134,1,1.0
2,15:26:11.897140,15:26:27.239953,1,1.0
2,15:26:11.897140,15:26:27.451472,1,1.0
2,15:26:11.897140,15:26:27.671929,1,1.0
2,15:26:11.897140,15:26:27.914204,1,1.0
2,15:26:11.897140,15:26:28.170367,1,1.0
2,15:26:11.897140,15:26:28.926683,-3,1.0
2,15:26:11.897140,15:26:29.130368,-3,1.0
2,15:26:11.897140,15:26:29.293430,-3,1.0
2,15:26:11.897140,15:26:29.486159,-3,1.0
2,15:26:11.897140,15:26:29.708447,1,1.0
2,15:26:11.897140,15:26:29.901580,1,1.0
2,15:26:11.897140,15:26:30.135568,1,1.0
2,15:26:11.897140,15:26:30.317042,1,1.0
2,15:26:11.897140,15:26:30.541390,1,1.0
2,15:26:11.897140,15:26:30.756083,1,1.0
2,15:26:11.897140,15:26:32.612046,-3,1.0
2,15:26:11.897140,15:26:32.930342,-3,1.0
2,15:26:11.897140,15:26:33.144235,-3,1.0
2,15:26:11.897140,15:26:33.327210,1,1.0
2,15:26:11.897140,15:26:33.540460,1,1.0
2,15:26:11.897140,15:26:34.215064,1,1.0
2,15:26:11.897140,15:26:34.430258,1,1.0
2,15:26:11.897140,15:26:34.633013,1,1.0
2,15:26:11.897140,15:26:34.858522,1,1.0
2,15:26:11.897140,15:26:35.090921,1,1.0
2,15:26:11.897140,15:26:35.459724,-3,1.0
2,15:26:11.897140,15:26:35.664807,-3,1.0
2,15:26:11.897140,15:26:35.858174,-3,1.0
2,15:26:11.897140,15:26:36.081522,-3,1.0
2,15:26:11.897140,15:26:36.274304,1,1.0
2,15:26:11.897140,15:26:36.498313,1,1.0
2,15:26:11.897140,15:26:36.725857,1,1.0
2,15:26:11.897140,15:26:37.010286,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,15:26:37.013440,15:26:38.604787,1,1.0
3,15:26:37.013440,15:26:39.253141,-3,1.0
3,15:26:37.013440,15:26:39.475272,-3,1.0
3,15:26:37.013440,15:26:39.687788,-3,1.0
3,15:26:37.013440,15:26:39.910364,1,1.0
3,15:26:37.013440,15:26:40.133418,1,1.0
3,15:26:37.013440,15:26:40.368271,1,1.0
3,15:26:37.013440,15:26:40.591406,1,1.0
3,15:26:37.013440,15:26:40.900364,1,1.0
3,15:26:37.013440,15:26:41.239569,1,1.0
3,15:26:37.013440,15:26:42.474523,-3,1.0
3,15:26:37.013440,15:26:42.957054,-3,1.0
3,15:26:37.013440,15:26:43.181922,-3,1.0
3,15:26:37.013440,15:26:43.395746,1,1.0
3,15:26:37.013440,15:26:43.606245,1,1.0
3,15:26:37.013440,15:26:43.819258,1,1.0
3,15:26:37.013440,15:26:44.034588,1,1.0
3,15:26:37.013440,15:26:44.259633,1,1.0
3,15:26:37.013440,15:26:44.507054,1,1.0
3,15:26:37.013440,15:26:44.805714,-3,1.0
3,15:26:37.013440,15:26:44.996769,-3,1.0
3,15:26:37.013440,15:26:45.220253,-3,1.0
3,15:26:37.013440,15:26:45.424134,-3,1.0
3,15:26:37.013440,15:26:45.625956,1,1.0
3,15:26:37.013440,15:26:45.839543,1,1.0
3,15:26:37.013440,15:26:46.066157,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,15:26:46.068803,15:26:46.323445,1,1.0
4,15:26:46.068803,15:26:48.391369,-3,1.0
4,15:26:46.068803,15:26:48.594526,-3,1.0
4,15:26:46.068803,15:26:48.828138,-3,1.0
4,15:26:46.068803,15:26:49.042272,1,1.0
4,15:26:46.068803,15:26:49.264435,1,1.0
4,15:26:46.068803,15:26:49.497825,1,1.0
4,15:26:46.068803,15:26:49.730325,1,1.0
4,15:26:46.068803,15:26:49.996419,1,1.0
4,15:26:46.068803,15:26:50.219425,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,15:26:50.222959,15:26:52.518336,-3,1.0
5,15:26:50.222959,15:26:52.773767,-3,1.0
5,15:26:50.222959,15:26:52.976273,1,1.0
5,15:26:50.222959,15:26:53.168248,1,1.0
5,15:26:50.222959,15:26:53.360309,1,1.0
5,15:26:50.222959,15:26:53.571765,1,1.0
5,15:26:50.222959,15:26:53.794673,1,1.0
5,15:26:50.222959,15:26:54.006634,1,1.0
5,15:26:50.222959,15:26:54.914806,-3,1.0
5,15:26:50.222959,15:26:55.118925,-3,1.0
5,15:26:50.222959,15:26:55.332785,-3,1.0
5,15:26:50.222959,15:26:55.538104,-3,1.0
5,15:26:50.222959,15:26:55.751059,1,1.0
5,15:26:50.222959,15:26:55.963826,1,1.0
5,15:26:50.222959,15:26:56.167321,1,1.0
5,15:26:50.222959,15:26:56.401625,1,1.0
