Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:21:21.615217,00:21:23.231396,1,1.0
1,00:21:21.615217,00:21:25.930826,-1,1.0
1,00:21:21.615217,00:21:26.219085,-1,1.0
1,00:21:21.615217,00:21:26.540147,-1,1.0
1,00:21:21.615217,00:21:26.795494,-1,1.0
1,00:21:21.615217,00:21:27.060314,-1,1.0
1,00:21:21.615217,00:21:27.377457,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:21:27.379320,00:21:30.412724,-1,1.0
2,00:21:27.379320,00:21:30.584506,-1,1.0
2,00:21:27.379320,00:21:30.734402,-1,1.0
2,00:21:27.379320,00:21:30.885923,-1,1.0
2,00:21:27.379320,00:21:31.026645,-1,1.0
2,00:21:27.379320,00:21:31.136579,-1,1.0
2,00:21:27.379320,00:21:31.225465,-1,1.0
