Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:29:42.876318,00:29:43.883733,2,1.0
1,00:29:42.876318,00:29:44.441725,2,1.0
1,00:29:42.876318,00:29:45.031836,2,1.0
1,00:29:42.876318,00:29:45.734606,2,1.0
1,00:29:42.876318,00:29:46.760908,-6,1.0
1,00:29:42.876318,00:29:47.536109,-6,1.0
1,00:29:42.876318,00:29:48.556088,2,1.0
1,00:29:42.876318,00:29:49.038919,2,1.0
1,00:29:42.876318,00:29:49.418210,2,1.0
1,00:29:42.876318,00:29:49.780352,2,1.0
1,00:29:42.876318,00:29:50.111060,2,1.0
1,00:29:42.876318,00:29:50.428656,2,1.0
1,00:29:42.876318,00:29:50.715302,2,1.0
1,00:29:42.876318,00:29:51.002610,2,1.0
1,00:29:42.876318,00:29:51.287856,2,1.0
1,00:29:42.876318,00:29:51.531879,2,1.0
1,00:29:42.876318,00:29:51.787215,2,1.0
1,00:29:42.876318,00:29:52.031186,2,1.0
1,00:29:42.876318,00:29:52.266165,2,1.0
1,00:29:42.876318,00:29:52.438614,2,1.0
1,00:29:42.876318,00:29:52.610313,2,1.0
1,00:29:42.876318,00:29:52.790818,2,1.0
1,00:29:42.876318,00:29:52.973242,2,1.0
1,00:29:42.876318,00:29:53.717207,2,1.0
1,00:29:42.876318,00:29:54.418155,-6,1.0
1,00:29:42.876318,00:29:54.893507,-6,1.0
1,00:29:42.876318,00:29:55.116476,-6,1.0
1,00:29:42.876318,00:29:55.289602,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:29:55.292553,00:30:06.145348,-6,1.0
2,00:29:55.292553,00:30:07.134648,2,1.0
2,00:29:55.292553,00:30:07.463074,2,1.0
2,00:29:55.292553,00:30:07.634384,2,1.0
2,00:29:55.292553,00:30:07.805936,2,1.0
2,00:29:55.292553,00:30:07.997858,2,1.0
2,00:29:55.292553,00:30:08.179425,2,1.0
2,00:29:55.292553,00:30:08.391938,2,1.0
2,00:29:55.292553,00:30:08.582911,2,1.0
2,00:29:55.292553,00:30:09.340420,2,1.0
2,00:29:55.292553,00:30:09.857976,-6,1.0
2,00:29:55.292553,00:30:10.007307,2,1.0
2,00:29:55.292553,00:30:10.160968,2,1.0
2,00:29:55.292553,00:30:10.290848,2,1.0
2,00:29:55.292553,00:30:10.472930,2,1.0
2,00:29:55.292553,00:30:10.612200,2,1.0
2,00:29:55.292553,00:30:10.763275,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:30:10.766272,00:30:10.905058,-6,1.0
3,00:30:10.766272,00:30:12.221043,2,1.0
3,00:30:10.766272,00:30:12.716610,2,1.0
3,00:30:10.766272,00:30:13.171630,2,1.0
3,00:30:10.766272,00:30:15.530348,-6,1.0
3,00:30:10.766272,00:30:16.232992,2,1.0
3,00:30:10.766272,00:30:16.372768,2,1.0
3,00:30:10.766272,00:30:16.532891,2,1.0
3,00:30:10.766272,00:30:16.686107,2,1.0
3,00:30:10.766272,00:30:16.818002,2,1.0
3,00:30:10.766272,00:30:16.958086,2,1.0
3,00:30:10.766272,00:30:17.087812,2,1.0
3,00:30:10.766272,00:30:17.238774,2,1.0
3,00:30:10.766272,00:30:17.378225,2,1.0
3,00:30:10.766272,00:30:17.518373,2,1.0
3,00:30:10.766272,00:30:17.657590,2,1.0
3,00:30:10.766272,00:30:17.797198,2,1.0
3,00:30:10.766272,00:30:17.937956,2,1.0
3,00:30:10.766272,00:30:23.705511,-6,1.0
3,00:30:10.766272,00:30:23.889491,2,1.0
3,00:30:10.766272,00:30:23.967627,2,1.0
3,00:30:10.766272,00:30:24.149859,2,1.0
