Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:43:05.839672,00:43:10.909589,-6,1.0
1,00:43:05.839672,00:43:11.041511,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:43:11.043510,00:43:11.178453,1,1.0
2,00:43:11.043510,00:43:11.308811,1,1.0
2,00:43:11.043510,00:43:12.301439,-6,1.0
2,00:43:11.043510,00:43:12.452710,1,1.0
2,00:43:11.043510,00:43:12.582680,1,1.0
2,00:43:11.043510,00:43:12.764128,1,1.0
2,00:43:11.043510,00:43:12.882778,1,1.0
2,00:43:11.043510,00:43:13.012700,1,1.0
2,00:43:11.043510,00:43:13.142776,1,1.0
2,00:43:11.043510,00:43:13.261593,1,1.0
2,00:43:11.043510,00:43:13.392775,1,1.0
2,00:43:11.043510,00:43:13.533160,1,1.0
2,00:43:11.043510,00:43:13.651881,1,1.0
2,00:43:11.043510,00:43:13.771561,1,1.0
2,00:43:11.043510,00:43:13.922735,1,1.0
2,00:43:11.043510,00:43:14.449676,1,1.0
2,00:43:11.043510,00:43:15.814729,-6,1.0
2,00:43:11.043510,00:43:16.029785,1,1.0
2,00:43:11.043510,00:43:16.128783,1,1.0
2,00:43:11.043510,00:43:16.258855,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:43:16.264585,00:43:16.380369,-6,1.0
3,00:43:16.264585,00:43:16.521424,1,1.0
3,00:43:16.264585,00:43:17.761623,-6,1.0
3,00:43:16.264585,00:43:17.892666,1,1.0
3,00:43:16.264585,00:43:18.105523,1,1.0
3,00:43:16.264585,00:43:18.224701,1,1.0
3,00:43:16.264585,00:43:18.355445,1,1.0
3,00:43:16.264585,00:43:18.475583,1,1.0
3,00:43:16.264585,00:43:18.595819,1,1.0
3,00:43:16.264585,00:43:19.130580,1,1.0
3,00:43:16.264585,00:43:19.585281,-6,1.0
3,00:43:16.264585,00:43:19.713133,1,1.0
3,00:43:16.264585,00:43:19.842803,1,1.0
3,00:43:16.264585,00:43:20.036635,1,1.0
3,00:43:16.264585,00:43:20.186601,1,1.0
3,00:43:16.264585,00:43:20.326122,1,1.0
3,00:43:16.264585,00:43:20.453092,1,1.0
3,00:43:16.264585,00:43:20.540553,1,1.0
3,00:43:16.264585,00:43:20.793001,1,1.0
3,00:43:16.264585,00:43:20.942040,1,1.0
3,00:43:16.264585,00:43:21.020212,1,1.0
3,00:43:16.264585,00:43:21.170731,1,1.0
3,00:43:16.264585,00:43:21.541911,1,1.0
3,00:43:16.264585,00:43:21.702780,1,1.0
3,00:43:16.264585,00:43:22.111470,1,1.0
3,00:43:16.264585,00:43:22.397100,1,1.0
3,00:43:16.264585,00:43:23.515763,-6,1.0
3,00:43:16.264585,00:43:23.644504,1,1.0
3,00:43:16.264585,00:43:23.775945,1,1.0
3,00:43:16.264585,00:43:23.905799,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,00:43:23.908895,00:43:24.046547,-6,1.0
4,00:43:23.908895,00:43:24.199599,-6,1.0
