Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:21:59.528458,00:22:01.361159,1,1.0
1,00:21:59.528458,00:22:05.273457,-1,1.0
1,00:21:59.528458,00:22:05.673582,-1,1.0
1,00:21:59.528458,00:22:06.020407,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:22:06.023531,00:22:07.511687,-1,1.0
2,00:22:06.023531,00:22:07.851609,-1,1.0
2,00:22:06.023531,00:22:08.138170,-1,1.0
2,00:22:06.023531,00:22:08.446086,-1,1.0
2,00:22:06.023531,00:22:08.722914,-1,1.0
2,00:22:06.023531,00:22:09.507346,-1,1.0
2,00:22:06.023531,00:22:10.002155,-1,1.0
2,00:22:06.023531,00:22:10.519422,-1,1.0
2,00:22:06.023531,00:22:10.880225,-1,1.0
2,00:22:06.023531,00:22:11.179434,-1,1.0
2,00:22:06.023531,00:22:11.589783,-1,1.0
2,00:22:06.023531,00:22:11.886569,-1,1.0
2,00:22:06.023531,00:22:12.163539,-1,1.0
2,00:22:06.023531,00:22:12.479154,-1,1.0
2,00:22:06.023531,00:22:12.794873,-1,1.0
2,00:22:06.023531,00:22:13.099689,-1,1.0
2,00:22:06.023531,00:22:13.408208,-1,1.0
2,00:22:06.023531,00:22:13.706504,-1,1.0
2,00:22:06.023531,00:22:14.035975,-1,1.0
2,00:22:06.023531,00:22:14.382627,-1,1.0
2,00:22:06.023531,00:22:14.706855,-1,1.0
2,00:22:06.023531,00:22:15.077326,-1,1.0
2,00:22:06.023531,00:22:15.360803,-1,1.0
