Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,01:18:44.157568,01:18:45.383111,10,1.0
1,01:18:44.157568,01:18:45.573224,10,1.0
1,01:18:44.157568,01:18:45.786149,10,1.0
1,01:18:44.157568,01:18:46.226364,-10,1.0
1,01:18:44.157568,01:18:46.428721,-10,1.0
1,01:18:44.157568,01:18:46.609640,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,01:18:46.618779,01:18:46.788147,-10,1.0
2,01:18:46.618779,01:18:47.050367,10,1.0
2,01:18:46.618779,01:18:47.696876,-10,1.0
2,01:18:46.618779,01:18:47.886790,-10,1.0
2,01:18:46.618779,01:18:48.120226,10,1.0
2,01:18:46.618779,01:18:48.326855,10,1.0
2,01:18:46.618779,01:18:48.514702,10,1.0
2,01:18:46.618779,01:18:48.723435,10,1.0
2,01:18:46.618779,01:18:48.933212,10,1.0
2,01:18:46.618779,01:18:49.101691,10,1.0
2,01:18:46.618779,01:18:49.313362,10,1.0
2,01:18:46.618779,01:18:49.513313,10,1.0
2,01:18:46.618779,01:18:49.722981,10,1.0
2,01:18:46.618779,01:18:49.900962,10,1.0
2,01:18:46.618779,01:18:50.101053,10,1.0
2,01:18:46.618779,01:18:50.323602,-10,1.0
2,01:18:46.618779,01:18:50.523417,-10,1.0
2,01:18:46.618779,01:18:50.713372,-10,1.0
2,01:18:46.618779,01:18:50.880475,-10,1.0
2,01:18:46.618779,01:18:51.079399,10,1.0
2,01:18:46.618779,01:18:51.290545,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,01:18:51.300403,01:18:51.504940,-10,1.0
3,01:18:51.300403,01:18:51.745362,10,1.0
3,01:18:51.300403,01:18:51.944036,10,1.0
3,01:18:51.300403,01:18:52.143327,10,1.0
3,01:18:51.300403,01:18:52.353218,10,1.0
3,01:18:51.300403,01:18:52.553232,10,1.0
3,01:18:51.300403,01:18:52.773355,10,1.0
3,01:18:51.300403,01:18:52.926629,-10,1.0
3,01:18:51.300403,01:18:53.103808,-10,1.0
3,01:18:51.300403,01:18:53.303125,10,1.0
3,01:18:51.300403,01:18:53.492395,10,1.0
3,01:18:51.300403,01:18:53.700963,10,1.0
3,01:18:51.300403,01:18:53.909649,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,01:18:53.915445,01:18:54.120035,-10,1.0
4,01:18:53.915445,01:18:54.350758,-10,1.0
4,01:18:53.915445,01:18:54.683635,-10,1.0
4,01:18:53.915445,01:18:54.829612,-10,1.0
4,01:18:53.915445,01:18:55.049601,10,1.0
4,01:18:53.915445,01:18:55.273156,10,1.0
4,01:18:53.915445,01:18:55.509263,10,1.0
4,01:18:53.915445,01:18:55.706409,10,1.0
4,01:18:53.915445,01:18:55.960250,10,1.0
4,01:18:53.915445,01:18:56.223135,-10,1.0
4,01:18:53.915445,01:18:56.410079,-10,1.0
4,01:18:53.915445,01:18:56.600175,10,1.0
4,01:18:53.915445,01:18:56.808604,10,1.0
4,01:18:53.915445,01:18:57.028577,10,1.0
4,01:18:53.915445,01:18:57.239381,10,1.0
4,01:18:53.915445,01:18:57.480376,10,1.0
4,01:18:53.915445,01:18:57.678136,10,1.0
4,01:18:53.915445,01:18:57.920718,10,1.0
4,01:18:53.915445,01:18:58.172319,10,1.0
4,01:18:53.915445,01:18:58.352966,-10,1.0
4,01:18:53.915445,01:18:58.526824,-10,1.0
4,01:18:53.915445,01:18:58.696096,-10,1.0
4,01:18:53.915445,01:18:58.904445,-10,1.0
4,01:18:53.915445,01:18:59.106957,-10,1.0
4,01:18:53.915445,01:18:59.306583,-10,1.0
4,01:18:53.915445,01:18:59.514907,-10,1.0
4,01:18:53.915445,01:18:59.724797,10,1.0
4,01:18:53.915445,01:18:59.913366,10,1.0
4,01:18:53.915445,01:19:00.123316,10,1.0
4,01:18:53.915445,01:19:00.353570,10,1.0
4,01:18:53.915445,01:19:00.552390,10,1.0
4,01:18:53.915445,01:19:00.777289,10,1.0
4,01:18:53.915445,01:19:00.974127,10,1.0
4,01:18:53.915445,01:19:01.188182,10,1.0
4,01:18:53.915445,01:19:01.419511,-10,1.0
4,01:18:53.915445,01:19:01.757208,10,1.0
4,01:18:53.915445,01:19:01.843696,-10,1.0
4,01:18:53.915445,01:19:02.059203,-10,1.0
4,01:18:53.915445,01:19:02.247922,-10,1.0
4,01:18:53.915445,01:19:02.440967,-10,1.0
4,01:18:53.915445,01:19:02.646628,-10,1.0
4,01:18:53.915445,01:19:02.848511,10,1.0
4,01:18:53.915445,01:19:03.070213,10,1.0
4,01:18:53.915445,01:19:03.297029,10,1.0
4,01:18:53.915445,01:19:03.487125,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,01:19:03.489629,01:19:03.780184,-10,1.0
5,01:19:03.489629,01:19:04.238944,10,1.0
5,01:19:03.489629,01:19:04.426872,10,1.0
5,01:19:03.489629,01:19:04.612165,10,1.0
5,01:19:03.489629,01:19:04.791160,10,1.0
5,01:19:03.489629,01:19:04.980533,10,1.0
5,01:19:03.489629,01:19:05.185526,10,1.0
5,01:19:03.489629,01:19:05.421164,10,1.0
5,01:19:03.489629,01:19:05.652080,10,1.0
5,01:19:03.489629,01:19:05.876977,10,1.0
5,01:19:03.489629,01:19:06.147109,10,1.0
5,01:19:03.489629,01:19:06.479284,-10,1.0
5,01:19:03.489629,01:19:06.657901,-10,1.0
5,01:19:03.489629,01:19:06.816376,-10,1.0
5,01:19:03.489629,01:19:07.026007,-10,1.0
5,01:19:03.489629,01:19:07.243404,10,1.0
5,01:19:03.489629,01:19:07.444177,10,1.0
5,01:19:03.489629,01:19:07.652616,10,1.0
5,01:19:03.489629,01:19:07.871962,10,1.0
5,01:19:03.489629,01:19:08.081186,10,1.0
5,01:19:03.489629,01:19:08.299240,10,1.0
5,01:19:03.489629,01:19:08.508220,10,1.0
5,01:19:03.489629,01:19:08.728112,10,1.0
5,01:19:03.489629,01:19:08.890825,-10,1.0
5,01:19:03.489629,01:19:09.095353,-10,1.0
5,01:19:03.489629,01:19:09.266578,-10,1.0
5,01:19:03.489629,01:19:09.454628,-10,1.0
5,01:19:03.489629,01:19:09.662262,-10,1.0
5,01:19:03.489629,01:19:09.872508,-10,1.0
5,01:19:03.489629,01:19:10.121804,10,1.0
5,01:19:03.489629,01:19:10.320529,10,1.0
5,01:19:03.489629,01:19:10.511901,10,1.0
5,01:19:03.489629,01:19:10.730720,10,1.0
5,01:19:03.489629,01:19:10.939122,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,01:19:10.947671,01:19:11.159520,10,1.0
6,01:19:10.947671,01:19:12.292832,10,1.0
6,01:19:10.947671,01:19:12.438549,10,1.0
6,01:19:10.947671,01:19:12.659418,10,1.0
6,01:19:10.947671,01:19:12.850201,10,1.0
6,01:19:10.947671,01:19:13.126176,10,1.0
6,01:19:10.947671,01:19:13.283159,10,1.0
6,01:19:10.947671,01:19:13.504780,10,1.0
6,01:19:10.947671,01:19:13.701955,10,1.0
6,01:19:10.947671,01:19:13.879581,-10,1.0
6,01:19:10.947671,01:19:14.051111,-10,1.0
6,01:19:10.947671,01:19:14.227268,-10,1.0
6,01:19:10.947671,01:19:14.398195,-10,1.0
6,01:19:10.947671,01:19:14.582160,10,1.0
6,01:19:10.947671,01:19:14.813929,10,1.0
6,01:19:10.947671,01:19:15.035630,10,1.0
6,01:19:10.947671,01:19:15.255803,10,1.0
6,01:19:10.947671,01:19:15.463403,10,1.0
6,01:19:10.947671,01:19:15.684356,10,1.0
6,01:19:10.947671,01:19:15.863213,10,1.0
6,01:19:10.947671,01:19:16.091973,10,1.0
6,01:19:10.947671,01:19:16.350332,10,1.0
6,01:19:10.947671,01:19:16.415743,-10,1.0
6,01:19:10.947671,01:19:16.583249,-10,1.0
6,01:19:10.947671,01:19:16.739325,-10,1.0
6,01:19:10.947671,01:19:16.906036,-10,1.0
6,01:19:10.947671,01:19:17.165977,-10,1.0
6,01:19:10.947671,01:19:17.335016,-10,1.0
6,01:19:10.947671,01:19:17.523885,-10,1.0
6,01:19:10.947671,01:19:17.692502,10,1.0
6,01:19:10.947671,01:19:17.963146,10,1.0
6,01:19:10.947671,01:19:18.156951,10,1.0
6,01:19:10.947671,01:19:18.408343,10,1.0
6,01:19:10.947671,01:19:18.594509,10,1.0
6,01:19:10.947671,01:19:18.843488,10,1.0
6,01:19:10.947671,01:19:19.012168,10,1.0
6,01:19:10.947671,01:19:19.232851,10,1.0
6,01:19:10.947671,01:19:19.447087,10,1.0
6,01:19:10.947671,01:19:19.637110,-10,1.0
6,01:19:10.947671,01:19:19.836542,-10,1.0
6,01:19:10.947671,01:19:20.005757,-10,1.0
6,01:19:10.947671,01:19:20.172176,-10,1.0
6,01:19:10.947671,01:19:20.360718,-10,1.0
6,01:19:10.947671,01:19:20.558715,-10,1.0
6,01:19:10.947671,01:19:20.726797,-10,1.0
6,01:19:10.947671,01:19:20.926385,-10,1.0
6,01:19:10.947671,01:19:21.131926,-10,1.0
6,01:19:10.947671,01:19:21.342462,-10,1.0
6,01:19:10.947671,01:19:21.563256,10,1.0
6,01:19:10.947671,01:19:21.744161,10,1.0
6,01:19:10.947671,01:19:21.953379,10,1.0
6,01:19:10.947671,01:19:22.163196,10,1.0
6,01:19:10.947671,01:19:22.385098,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,01:19:22.392196,01:19:22.633795,10,1.0
7,01:19:22.392196,01:19:22.934057,-10,1.0
7,01:19:22.392196,01:19:23.143324,-10,1.0
7,01:19:22.392196,01:19:23.353368,-10,1.0
7,01:19:22.392196,01:19:23.583709,-10,1.0
7,01:19:22.392196,01:19:23.803697,10,1.0
7,01:19:22.392196,01:19:24.046964,10,1.0
7,01:19:22.392196,01:19:24.241965,10,1.0
7,01:19:22.392196,01:19:24.478544,10,1.0
7,01:19:22.392196,01:19:24.709009,10,1.0
7,01:19:22.392196,01:19:24.902931,10,1.0
7,01:19:22.392196,01:19:25.131045,10,1.0
7,01:19:22.392196,01:19:25.360549,10,1.0
7,01:19:22.392196,01:19:25.571808,10,1.0
7,01:19:22.392196,01:19:25.822202,10,1.0
7,01:19:22.392196,01:19:26.011948,10,1.0
7,01:19:22.392196,01:19:26.096376,-10,1.0
7,01:19:22.392196,01:19:26.295344,-10,1.0
7,01:19:22.392196,01:19:26.493110,-10,1.0
7,01:19:22.392196,01:19:26.670786,-10,1.0
7,01:19:22.392196,01:19:26.880332,-10,1.0
7,01:19:22.392196,01:19:27.089301,10,1.0
7,01:19:22.392196,01:19:27.300854,10,1.0
7,01:19:22.392196,01:19:27.497882,10,1.0
7,01:19:22.392196,01:19:27.729152,10,1.0
7,01:19:22.392196,01:19:27.962011,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,01:19:27.969035,01:19:28.181234,10,1.0
8,01:19:27.969035,01:19:28.729880,10,1.0
8,01:19:27.969035,01:19:28.918389,10,1.0
8,01:19:27.969035,01:19:29.088272,-10,1.0
8,01:19:27.969035,01:19:29.268751,-10,1.0
8,01:19:27.969035,01:19:29.478502,-10,1.0
8,01:19:27.969035,01:19:29.647916,10,1.0
8,01:19:27.969035,01:19:29.854696,10,1.0
8,01:19:27.969035,01:19:30.065279,10,1.0
8,01:19:27.969035,01:19:30.263250,10,1.0
8,01:19:27.969035,01:19:30.473239,10,1.0
