Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:35:49.149199,00:35:50.487013,-1,1.0
1,00:35:49.149199,00:35:50.970699,1,1.0
1,00:35:49.149199,00:35:51.389454,1,1.0
1,00:35:49.149199,00:35:51.779330,1,1.0
1,00:35:49.149199,00:35:52.118936,1,1.0
1,00:35:49.149199,00:35:52.469945,1,1.0
1,00:35:49.149199,00:35:53.259175,1,1.0
1,00:35:49.149199,00:35:54.066774,1,1.0
1,00:35:49.149199,00:35:54.704017,-1,1.0
1,00:35:49.149199,00:35:55.230082,-1,1.0
1,00:35:49.149199,00:35:55.461296,-1,1.0
1,00:35:49.149199,00:35:55.676089,-1,1.0
1,00:35:49.149199,00:35:55.870157,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:35:55.873945,00:35:56.065167,-1,1.0
2,00:35:55.873945,00:35:56.825978,-1,1.0
2,00:35:55.873945,00:35:57.395258,1,1.0
2,00:35:55.873945,00:35:57.763717,1,1.0
2,00:35:55.873945,00:35:58.133746,1,1.0
2,00:35:55.873945,00:35:59.018982,1,1.0
2,00:35:55.873945,00:35:59.418557,1,1.0
2,00:35:55.873945,00:36:00.010022,1,1.0
2,00:35:55.873945,00:36:01.373990,-1,1.0
2,00:35:55.873945,00:36:01.594970,-1,1.0
2,00:35:55.873945,00:36:01.773975,-1,1.0
2,00:35:55.873945,00:36:01.936787,1,1.0
2,00:35:55.873945,00:36:02.120156,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:36:02.123739,00:36:02.301686,-1,1.0
3,00:36:02.123739,00:36:11.733845,1,1.0
3,00:36:02.123739,00:36:12.540646,1,1.0
3,00:36:02.123739,00:36:14.670332,1,1.0
3,00:36:02.123739,00:36:16.074564,1,1.0
3,00:36:02.123739,00:36:18.944891,-1,1.0
3,00:36:02.123739,00:36:19.366023,1,1.0
3,00:36:02.123739,00:36:19.745025,1,1.0
3,00:36:02.123739,00:36:20.690400,1,1.0
3,00:36:02.123739,00:36:21.073840,1,1.0
3,00:36:02.123739,00:36:21.193692,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,00:36:21.198864,00:36:21.307556,1,1.0
4,00:36:21.198864,00:36:21.498569,1,1.0
4,00:36:21.198864,00:36:25.087648,1,1.0
4,00:36:21.198864,00:36:25.573569,1,1.0
4,00:36:21.198864,00:36:25.936455,1,1.0
4,00:36:21.198864,00:36:26.119979,1,1.0
4,00:36:21.198864,00:36:26.282310,1,1.0
4,00:36:21.198864,00:36:26.453639,1,1.0
4,00:36:21.198864,00:36:26.616368,1,1.0
4,00:36:21.198864,00:36:26.776087,1,1.0
4,00:36:21.198864,00:36:26.946416,1,1.0
4,00:36:21.198864,00:36:27.118885,1,1.0
4,00:36:21.198864,00:36:27.291282,1,1.0
4,00:36:21.198864,00:36:28.951034,1,1.0
4,00:36:21.198864,00:36:30.653734,-1,1.0
4,00:36:21.198864,00:36:30.813553,1,1.0
4,00:36:21.198864,00:36:30.959735,1,1.0
4,00:36:21.198864,00:36:31.088753,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,00:36:31.092267,00:36:31.221271,1,1.0
5,00:36:31.092267,00:36:34.788293,1,1.0
5,00:36:31.092267,00:36:34.953525,1,1.0
5,00:36:31.092267,00:36:35.115217,1,1.0
5,00:36:31.092267,00:36:35.287547,1,1.0
5,00:36:31.092267,00:36:35.461691,1,1.0
5,00:36:31.092267,00:36:35.653742,1,1.0
5,00:36:31.092267,00:36:35.826265,1,1.0
5,00:36:31.092267,00:36:38.049755,-1,1.0
5,00:36:31.092267,00:36:38.189857,1,1.0
5,00:36:31.092267,00:36:38.320891,1,1.0
5,00:36:31.092267,00:36:38.462177,1,1.0
5,00:36:31.092267,00:36:38.529615,1,1.0
5,00:36:31.092267,00:36:38.659393,1,1.0
5,00:36:31.092267,00:36:38.778452,1,1.0
5,00:36:31.092267,00:36:38.899833,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,00:36:38.903518,00:36:39.021347,-1,1.0
6,00:36:38.903518,00:36:39.163681,-1,1.0
6,00:36:38.903518,00:36:43.267346,1,1.0
6,00:36:38.903518,00:36:43.429092,1,1.0
6,00:36:38.903518,00:36:43.602102,-1,1.0
6,00:36:38.903518,00:36:43.886677,1,1.0
6,00:36:38.903518,00:36:44.070533,1,1.0
6,00:36:38.903518,00:36:44.231927,1,1.0
6,00:36:38.903518,00:36:44.393865,1,1.0
6,00:36:38.903518,00:36:44.563960,1,1.0
6,00:36:38.903518,00:36:44.745122,1,1.0
6,00:36:38.903518,00:36:44.917928,1,1.0
6,00:36:38.903518,00:36:45.089483,1,1.0
6,00:36:38.903518,00:36:45.271483,1,1.0
6,00:36:38.903518,00:36:45.451755,1,1.0
6,00:36:38.903518,00:36:45.623697,1,1.0
6,00:36:38.903518,00:36:45.803243,1,1.0
6,00:36:38.903518,00:36:45.985064,-1,1.0
6,00:36:38.903518,00:36:46.189430,1,1.0
6,00:36:38.903518,00:36:46.318866,1,1.0
6,00:36:38.903518,00:36:46.428811,1,1.0
6,00:36:38.903518,00:36:46.517769,1,1.0
6,00:36:38.903518,00:36:46.628200,1,1.0
6,00:36:38.903518,00:36:46.757577,1,1.0
6,00:36:38.903518,00:36:46.878024,1,1.0
6,00:36:38.903518,00:36:47.006317,1,1.0
6,00:36:38.903518,00:36:47.123612,1,1.0
6,00:36:38.903518,00:36:47.233521,1,1.0
6,00:36:38.903518,00:36:47.353592,1,1.0
6,00:36:38.903518,00:36:47.490330,1,1.0
6,00:36:38.903518,00:36:47.608734,1,1.0
6,00:36:38.903518,00:36:47.728337,1,1.0
6,00:36:38.903518,00:36:47.997224,-1,1.0
6,00:36:38.903518,00:36:48.149383,1,1.0
6,00:36:38.903518,00:36:48.290427,1,1.0
6,00:36:38.903518,00:36:48.495454,1,1.0
6,00:36:38.903518,00:36:48.645543,1,1.0
6,00:36:38.903518,00:36:48.809454,1,1.0
6,00:36:38.903518,00:36:48.958901,1,1.0
6,00:36:38.903518,00:36:49.120418,1,1.0
6,00:36:38.903518,00:36:49.291100,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,00:36:49.294884,00:36:49.449922,-1,1.0
7,00:36:49.294884,00:36:49.627581,-1,1.0
