Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:47:48.970788,22:47:50.099955,1,-1.0
1,22:47:48.970788,22:47:50.291870,1,-1.0
1,22:47:48.970788,22:47:50.497249,1,-1.0
1,22:47:48.970788,22:47:50.691271,1,-1.0
1,22:47:48.970788,22:47:50.874426,1,-1.0
1,22:47:48.970788,22:47:51.060608,1,-1.0
1,22:47:48.970788,22:47:51.203517,1,-1.0
1,22:47:48.970788,22:47:51.396281,1,-1.0
1,22:47:48.970788,22:47:51.589730,1,-1.0
1,22:47:48.970788,22:47:51.761367,1,-1.0
1,22:47:48.970788,22:47:51.911327,1,-1.0
1,22:47:48.970788,22:47:52.097393,1,-1.0
1,22:47:48.970788,22:47:52.269056,1,-1.0
1,22:47:48.970788,22:47:52.431363,1,-1.0
1,22:47:48.970788,22:47:52.613517,1,-1.0
1,22:47:48.970788,22:47:52.805737,1,-1.0
1,22:47:48.970788,22:47:52.999137,1,-1.0
1,22:47:48.970788,22:47:53.191259,1,-1.0
1,22:47:48.970788,22:47:53.363578,1,-1.0
1,22:47:48.970788,22:47:53.535693,1,-1.0
1,22:47:48.970788,22:47:53.739114,1,-1.0
1,22:47:48.970788,22:47:53.913449,1,-1.0
1,22:47:48.970788,22:47:54.108743,1,-1.0
1,22:47:48.970788,22:47:54.302372,1,-1.0
1,22:47:48.970788,22:47:54.465785,1,-1.0
1,22:47:48.970788,22:47:54.681363,1,-1.0
1,22:47:48.970788,22:47:54.823905,1,-1.0
1,22:47:48.970788,22:47:55.153186,1,-1.0
1,22:47:48.970788,22:47:55.272472,1,-1.0
1,22:47:48.970788,22:47:55.658564,-1,-1.0
1,22:47:48.970788,22:47:56.760022,-1,-1.0
1,22:47:48.970788,22:47:57.125223,-1,-1.0
1,22:47:48.970788,22:47:57.675392,-1,-1.0
1,22:47:48.970788,22:47:57.864095,-1,-1.0
1,22:47:48.970788,22:47:58.017878,-1,-1.0
1,22:47:48.970788,22:47:58.169543,-1,-1.0
1,22:47:48.970788,22:47:58.333610,-1,-1.0
1,22:47:48.970788,22:47:58.472328,-1,-1.0
1,22:47:48.970788,22:47:58.614581,-1,-1.0
1,22:47:48.970788,22:47:59.047164,1,-1.0
1,22:47:48.970788,22:47:59.187861,1,-1.0
1,22:47:48.970788,22:47:59.318446,1,-1.0
1,22:47:48.970788,22:47:59.447811,1,-1.0
1,22:47:48.970788,22:47:59.588838,1,-1.0
1,22:47:48.970788,22:47:59.678193,1,-1.0
1,22:47:48.970788,22:47:59.822329,1,-1.0
1,22:47:48.970788,22:47:59.963053,1,-1.0
1,22:47:48.970788,22:48:00.095660,1,-1.0
1,22:47:48.970788,22:48:00.235261,1,-1.0
1,22:47:48.970788,22:48:00.376538,1,-1.0
1,22:47:48.970788,22:48:00.508497,1,-1.0
1,22:47:48.970788,22:48:00.650691,1,-1.0
1,22:47:48.970788,22:48:00.794459,1,-1.0
1,22:47:48.970788,22:48:00.913682,1,-1.0
1,22:47:48.970788,22:48:01.047905,1,-1.0
1,22:47:48.970788,22:48:01.191459,1,-1.0
1,22:47:48.970788,22:48:01.331442,1,-1.0
1,22:47:48.970788,22:48:01.485161,1,-1.0
1,22:47:48.970788,22:48:01.645896,1,-1.0
1,22:47:48.970788,22:48:01.805017,1,-1.0
1,22:47:48.970788,22:48:01.945500,1,-1.0
1,22:47:48.970788,22:48:02.084653,1,-1.0
1,22:47:48.970788,22:48:02.234566,1,-1.0
1,22:47:48.970788,22:48:02.374764,1,-1.0
1,22:47:48.970788,22:48:02.516357,1,-1.0
1,22:47:48.970788,22:48:02.678232,1,-1.0
1,22:47:48.970788,22:48:02.818665,1,-1.0
1,22:47:48.970788,22:48:02.959570,1,-1.0
1,22:47:48.970788,22:48:03.091270,1,-1.0
1,22:47:48.970788,22:48:03.232683,1,-1.0
1,22:47:48.970788,22:48:03.384162,1,-1.0
1,22:47:48.970788,22:48:03.536222,1,-1.0
1,22:47:48.970788,22:48:03.688739,1,-1.0
1,22:47:48.970788,22:48:03.911362,1,-1.0
1,22:47:48.970788,22:48:04.021357,1,-1.0
1,22:47:48.970788,22:48:04.153380,1,-1.0
1,22:47:48.970788,22:48:04.377191,1,-1.0
1,22:47:48.970788,22:48:04.578988,1,-1.0
1,22:47:48.970788,22:48:04.753913,1,-1.0
1,22:47:48.970788,22:48:04.967119,1,-1.0
1,22:47:48.970788,22:48:06.610090,1,-1.0
1,22:47:48.970788,22:48:06.940376,1,-1.0
1,22:47:48.970788,22:48:07.100587,1,-1.0
1,22:47:48.970788,22:48:07.272499,1,-1.0
1,22:47:48.970788,22:48:07.412304,1,-1.0
1,22:47:48.970788,22:48:07.572733,1,-1.0
1,22:47:48.970788,22:48:07.723019,1,-1.0
1,22:47:48.970788,22:48:07.854647,1,-1.0
1,22:47:48.970788,22:48:08.006884,1,-1.0
1,22:47:48.970788,22:48:08.157973,1,-1.0
1,22:47:48.970788,22:48:08.298434,1,-1.0
1,22:47:48.970788,22:48:08.470068,1,-1.0
1,22:47:48.970788,22:48:08.651686,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:48:09.266061,22:48:11.647970,1,-1.0
2,22:48:09.266061,22:48:11.843010,1,-1.0
