Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:49:05.882866,14:49:08.033609,1,-1.0
1,14:49:05.882866,14:49:09.527679,1,-1.0
1,14:49:05.882866,14:49:10.067545,1,-1.0
1,14:49:05.882866,14:49:10.303364,1,-1.0
1,14:49:05.882866,14:49:10.508944,1,-1.0
1,14:49:05.882866,14:49:10.721351,1,-1.0
1,14:49:05.882866,14:49:10.937296,1,-1.0
1,14:49:05.882866,14:49:11.141461,1,-1.0
1,14:49:05.882866,14:49:11.335775,1,-1.0
1,14:49:05.882866,14:49:11.539498,1,-1.0
1,14:49:05.882866,14:49:11.732225,1,-1.0
1,14:49:05.882866,14:49:11.955174,1,-1.0
1,14:49:05.882866,14:49:12.184447,1,-1.0
1,14:49:05.882866,14:49:12.389734,1,-1.0
1,14:49:05.882866,14:49:12.579590,1,-1.0
1,14:49:05.882866,14:49:12.803958,1,-1.0
1,14:49:05.882866,14:49:13.070263,1,-1.0
1,14:49:05.882866,14:49:13.344103,1,-1.0
1,14:49:05.882866,14:49:13.753249,1,-1.0
1,14:49:05.882866,14:49:14.009237,1,-1.0
1,14:49:05.882866,14:49:14.234850,1,-1.0
1,14:49:05.882866,14:49:14.437852,1,-1.0
1,14:49:05.882866,14:49:14.671385,1,-1.0
1,14:49:05.882866,14:49:14.929474,1,-1.0
1,14:49:05.882866,14:49:15.123821,1,-1.0
1,14:49:05.882866,14:49:15.779116,-1,-1.0
1,14:49:05.882866,14:49:15.983545,-1,-1.0
1,14:49:05.882866,14:49:16.217553,-1,-1.0
1,14:49:05.882866,14:49:16.391265,-1,-1.0
1,14:49:05.882866,14:49:16.597502,-1,-1.0
1,14:49:05.882866,14:49:16.825213,-1,-1.0
1,14:49:05.882866,14:49:17.018883,-1,-1.0
1,14:49:05.882866,14:49:17.213783,-1,-1.0
1,14:49:05.882866,14:49:17.427994,-1,-1.0
1,14:49:05.882866,14:49:17.999658,1,-1.0
1,14:49:05.882866,14:49:18.167877,1,-1.0
1,14:49:05.882866,14:49:18.341073,1,-1.0
1,14:49:05.882866,14:49:18.534066,1,-1.0
1,14:49:05.882866,14:49:18.716030,1,-1.0
1,14:49:05.882866,14:49:18.897555,1,-1.0
1,14:49:05.882866,14:49:19.089450,1,-1.0
1,14:49:05.882866,14:49:19.282231,1,-1.0
1,14:49:05.882866,14:49:19.471793,1,-1.0
1,14:49:05.882866,14:49:19.677885,1,-1.0
1,14:49:05.882866,14:49:19.859744,1,-1.0
1,14:49:05.882866,14:49:20.053195,1,-1.0
1,14:49:05.882866,14:49:20.235254,1,-1.0
1,14:49:05.882866,14:49:20.435763,1,-1.0
1,14:49:05.882866,14:49:20.629382,1,-1.0
1,14:49:05.882866,14:49:20.811996,1,-1.0
1,14:49:05.882866,14:49:21.008405,1,-1.0
1,14:49:05.882866,14:49:21.202025,1,-1.0
1,14:49:05.882866,14:49:21.417331,1,-1.0
1,14:49:05.882866,14:49:21.617465,1,-1.0
1,14:49:05.882866,14:49:21.799014,1,-1.0
1,14:49:05.882866,14:49:21.974251,1,-1.0
1,14:49:05.882866,14:49:22.189018,1,-1.0
1,14:49:05.882866,14:49:22.510013,1,-1.0
1,14:49:05.882866,14:49:22.712933,1,-1.0
1,14:49:05.882866,14:49:22.896183,1,-1.0
1,14:49:05.882866,14:49:23.087444,1,-1.0
1,14:49:05.882866,14:49:23.301229,1,-1.0
1,14:49:05.882866,14:49:23.495220,1,-1.0
1,14:49:05.882866,14:49:23.703305,1,-1.0
1,14:49:05.882866,14:49:23.907594,1,-1.0
1,14:49:05.882866,14:49:24.734092,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
