Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:10:30.319745,23:10:30.819102,-1,-1.0
1,23:10:30.319745,23:10:30.953358,-1,-1.0
1,23:10:30.319745,23:10:31.084281,1,-1.0
1,23:10:30.319745,23:10:31.223927,1,-1.0
1,23:10:30.319745,23:10:31.363750,1,-1.0
1,23:10:30.319745,23:10:31.514418,1,-1.0
1,23:10:30.319745,23:10:31.653366,1,-1.0
1,23:10:30.319745,23:10:31.803454,1,-1.0
1,23:10:30.319745,23:10:31.954920,1,-1.0
1,23:10:30.319745,23:10:32.082025,1,-1.0
1,23:10:30.319745,23:10:32.212426,1,-1.0
1,23:10:30.319745,23:10:32.352701,1,-1.0
1,23:10:30.319745,23:10:32.494041,1,-1.0
1,23:10:30.319745,23:10:32.634449,1,-1.0
1,23:10:30.319745,23:10:32.787480,1,-1.0
1,23:10:30.319745,23:10:32.942879,1,-1.0
1,23:10:30.319745,23:10:33.093139,1,-1.0
1,23:10:30.319745,23:10:33.234069,1,-1.0
1,23:10:30.319745,23:10:33.376527,1,-1.0
1,23:10:30.319745,23:10:33.517785,1,-1.0
1,23:10:30.319745,23:10:33.656393,1,-1.0
1,23:10:30.319745,23:10:33.797640,1,-1.0
1,23:10:30.319745,23:10:33.951632,1,-1.0
1,23:10:30.319745,23:10:34.104129,1,-1.0
1,23:10:30.319745,23:10:34.244704,1,-1.0
1,23:10:30.319745,23:10:34.394996,1,-1.0
1,23:10:30.319745,23:10:34.536054,1,-1.0
1,23:10:30.319745,23:10:34.667607,1,-1.0
1,23:10:30.319745,23:10:34.787603,1,-1.0
1,23:10:30.319745,23:10:35.011260,1,-1.0
1,23:10:30.319745,23:10:35.089291,1,-1.0
1,23:10:30.319745,23:10:35.208396,1,-1.0
1,23:10:30.319745,23:10:35.338115,1,-1.0
1,23:10:30.319745,23:10:35.478889,1,-1.0
1,23:10:30.319745,23:10:35.600290,1,-1.0
1,23:10:30.319745,23:10:35.750601,1,-1.0
1,23:10:30.319745,23:10:36.093870,1,-1.0
1,23:10:30.319745,23:10:36.215266,1,-1.0
1,23:10:30.319745,23:10:36.422673,1,-1.0
1,23:10:30.319745,23:10:36.530516,1,-1.0
1,23:10:30.319745,23:10:36.965430,-1,-1.0
1,23:10:30.319745,23:10:37.086602,-1,-1.0
1,23:10:30.319745,23:10:37.249514,-1,-1.0
