Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:28:15.334632,00:28:16.407391,2,1.0
1,00:28:15.334632,00:28:16.588601,2,1.0
1,00:28:15.334632,00:28:17.242583,-6,1.0
1,00:28:15.334632,00:28:17.372032,2,1.0
1,00:28:15.334632,00:28:17.521883,2,1.0
1,00:28:15.334632,00:28:17.868506,2,1.0
1,00:28:15.334632,00:28:17.968432,2,1.0
1,00:28:15.334632,00:28:18.078334,2,1.0
1,00:28:15.334632,00:28:18.207366,2,1.0
1,00:28:15.334632,00:28:18.338251,2,1.0
1,00:28:15.334632,00:28:18.467834,2,1.0
1,00:28:15.334632,00:28:18.609306,2,1.0
1,00:28:15.334632,00:28:18.813286,2,1.0
1,00:28:15.334632,00:28:19.413111,-6,1.0
1,00:28:15.334632,00:28:19.614996,-6,1.0
1,00:28:15.334632,00:28:19.735082,-6,1.0
1,00:28:15.334632,00:28:19.865518,2,1.0
1,00:28:15.334632,00:28:19.985630,2,1.0
1,00:28:15.334632,00:28:20.094646,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:28:20.098262,00:28:20.203576,2,1.0
2,00:28:20.098262,00:28:20.333290,2,1.0
2,00:28:20.098262,00:28:21.859544,-6,1.0
2,00:28:20.098262,00:28:22.228515,-6,1.0
2,00:28:20.098262,00:28:22.359445,2,1.0
2,00:28:20.098262,00:28:22.490201,2,1.0
2,00:28:20.098262,00:28:22.611066,2,1.0
2,00:28:20.098262,00:28:22.742279,2,1.0
2,00:28:20.098262,00:28:22.872252,2,1.0
2,00:28:20.098262,00:28:22.991055,2,1.0
2,00:28:20.098262,00:28:23.122644,2,1.0
2,00:28:20.098262,00:28:23.253670,2,1.0
2,00:28:20.098262,00:28:23.383376,2,1.0
2,00:28:20.098262,00:28:23.512765,2,1.0
2,00:28:20.098262,00:28:23.632733,2,1.0
2,00:28:20.098262,00:28:24.076593,2,1.0
2,00:28:20.098262,00:28:24.206712,2,1.0
2,00:28:20.098262,00:28:24.327229,2,1.0
2,00:28:20.098262,00:28:24.427283,-6,1.0
2,00:28:20.098262,00:28:24.627697,-6,1.0
2,00:28:20.098262,00:28:24.758691,2,1.0
2,00:28:20.098262,00:28:24.899314,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:28:24.902318,00:28:25.031335,-6,1.0
3,00:28:24.902318,00:28:25.151559,2,1.0
3,00:28:24.902318,00:28:25.911269,2,1.0
3,00:28:24.902318,00:28:26.071949,2,1.0
3,00:28:24.902318,00:28:26.244363,2,1.0
3,00:28:24.902318,00:28:26.407681,2,1.0
3,00:28:24.902318,00:28:26.590644,2,1.0
3,00:28:24.902318,00:28:26.742171,-6,1.0
3,00:28:24.902318,00:28:26.852157,2,1.0
3,00:28:24.902318,00:28:26.962913,2,1.0
3,00:28:24.902318,00:28:27.093433,2,1.0
3,00:28:24.902318,00:28:27.192178,2,1.0
3,00:28:24.902318,00:28:27.331671,2,1.0
3,00:28:24.902318,00:28:27.470228,2,1.0
3,00:28:24.902318,00:28:27.590987,2,1.0
3,00:28:24.902318,00:28:27.721296,2,1.0
3,00:28:24.902318,00:28:27.860921,2,1.0
3,00:28:24.902318,00:28:27.989580,2,1.0
3,00:28:24.902318,00:28:28.119355,2,1.0
3,00:28:24.902318,00:28:28.241164,2,1.0
3,00:28:24.902318,00:28:28.372058,2,1.0
3,00:28:24.902318,00:28:28.471461,2,1.0
3,00:28:24.902318,00:28:28.873932,-6,1.0
3,00:28:24.902318,00:28:28.941704,-6,1.0
3,00:28:24.902318,00:28:29.051636,2,1.0
3,00:28:24.902318,00:28:29.183686,2,1.0
3,00:28:24.902318,00:28:29.314498,2,1.0
3,00:28:24.902318,00:28:29.434184,2,1.0
3,00:28:24.902318,00:28:29.564528,2,1.0
3,00:28:24.902318,00:28:29.694635,2,1.0
3,00:28:24.902318,00:28:29.825187,2,1.0
3,00:28:24.902318,00:28:29.966287,2,1.0
3,00:28:24.902318,00:28:30.086002,2,1.0
