Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:24:00.449367,14:24:04.220548,1,-1.0
1,14:24:00.449367,14:24:05.141038,1,-1.0
1,14:24:00.449367,14:24:06.463451,1,-1.0
1,14:24:00.449367,14:24:08.246412,1,-1.0
1,14:24:00.449367,14:24:13.406272,1,-1.0
1,14:24:00.449367,14:24:13.777585,1,-1.0
1,14:24:00.449367,14:24:14.048633,1,-1.0
1,14:24:00.449367,14:24:14.274168,1,-1.0
1,14:24:00.449367,14:24:14.508403,1,-1.0
1,14:24:00.449367,14:24:14.720583,1,-1.0
1,14:24:00.449367,14:24:14.995084,1,-1.0
1,14:24:00.449367,14:24:15.541894,1,-1.0
1,14:24:00.449367,14:24:16.067140,1,-1.0
1,14:24:00.449367,14:24:16.396450,1,-1.0
1,14:24:00.449367,14:24:16.691154,1,-1.0
1,14:24:00.449367,14:24:16.955325,1,-1.0
1,14:24:00.449367,14:24:17.450477,1,-1.0
1,14:24:00.449367,14:24:20.976592,-1,-1.0
1,14:24:00.449367,14:24:21.260664,-1,-1.0
1,14:24:00.449367,14:24:21.474696,-1,-1.0
1,14:24:00.449367,14:24:21.658571,-1,-1.0
1,14:24:00.449367,14:24:21.844472,-1,-1.0
1,14:24:00.449367,14:24:22.015730,-1,-1.0
1,14:24:00.449367,14:24:22.239788,-1,-1.0
1,14:24:00.449367,14:24:23.319827,-1,-1.0
1,14:24:00.449367,14:24:34.028621,1,-1.0
1,14:24:00.449367,14:24:37.535435,1,-1.0
1,14:24:00.449367,14:24:39.850782,1,-1.0
1,14:24:00.449367,14:24:40.021934,1,-1.0
1,14:24:00.449367,14:24:40.175915,1,-1.0
1,14:24:00.449367,14:24:40.331174,1,-1.0
1,14:24:00.449367,14:24:40.490210,1,-1.0
1,14:24:00.449367,14:24:40.640659,1,-1.0
1,14:24:00.449367,14:24:47.058769,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:24:58.249162,14:24:58.488252,-1,-1.0
2,14:24:58.249162,14:25:08.232152,1,-1.0
2,14:24:58.249162,14:25:08.427594,1,-1.0
2,14:24:58.249162,14:25:08.598511,1,-1.0
2,14:24:58.249162,14:25:08.778529,1,-1.0
2,14:24:58.249162,14:25:09.019664,1,-1.0
2,14:24:58.249162,14:25:09.230063,-1,-1.0
2,14:24:58.249162,14:25:09.413485,-1,-1.0
2,14:24:58.249162,14:25:09.586895,-1,-1.0
2,14:24:58.249162,14:25:09.746527,1,-1.0
2,14:24:58.249162,14:25:10.041024,1,-1.0
2,14:24:58.249162,14:25:10.244919,1,-1.0
2,14:24:58.249162,14:25:10.540279,1,-1.0
2,14:24:58.249162,14:25:10.831854,1,-1.0
2,14:24:58.249162,14:25:11.013514,1,-1.0
2,14:24:58.249162,14:25:11.144340,1,-1.0
2,14:24:58.249162,14:25:11.317594,-1,-1.0
2,14:24:58.249162,14:25:11.480681,-1,-1.0
2,14:24:58.249162,14:25:11.650298,1,-1.0
2,14:24:58.249162,14:25:11.831834,1,-1.0
2,14:24:58.249162,14:25:11.991882,-1,-1.0
2,14:24:58.249162,14:25:12.010644,1,-1.0
2,14:24:58.249162,14:25:12.594414,1,-1.0
2,14:24:58.249162,14:25:14.721360,1,-1.0
2,14:24:58.249162,14:25:14.739335,-1,-1.0
2,14:24:58.249162,14:25:14.960420,1,-1.0
2,14:24:58.249162,14:25:15.172189,1,-1.0
2,14:24:58.249162,14:25:15.376712,1,-1.0
2,14:24:58.249162,14:25:15.559225,1,-1.0
2,14:24:58.249162,14:25:15.739552,1,-1.0
2,14:24:58.249162,14:25:15.899424,1,-1.0
2,14:24:58.249162,14:25:15.918484,-1,-1.0
2,14:24:58.249162,14:25:16.071036,1,-1.0
2,14:24:58.249162,14:25:16.221993,1,-1.0
2,14:24:58.249162,14:25:16.383610,1,-1.0
