Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:23:11.177164,16:23:13.128587,1,-1.0
1,16:23:11.177164,16:23:13.329330,1,-1.0
1,16:23:11.177164,16:23:13.571914,1,-1.0
1,16:23:11.177164,16:23:14.074251,1,-1.0
1,16:23:11.177164,16:23:14.310585,1,-1.0
1,16:23:11.177164,16:23:14.543386,1,-1.0
1,16:23:11.177164,16:23:14.863345,1,-1.0
1,16:23:11.177164,16:23:15.148567,1,-1.0
1,16:23:11.177164,16:23:16.040550,1,-1.0
1,16:23:11.177164,16:23:16.302878,1,-1.0
1,16:23:11.177164,16:23:16.504608,1,-1.0
1,16:23:11.177164,16:23:16.683986,1,-1.0
1,16:23:11.177164,16:23:16.901630,1,-1.0
1,16:23:11.177164,16:23:17.094387,1,-1.0
1,16:23:11.177164,16:23:17.326441,1,-1.0
1,16:23:11.177164,16:23:17.562071,1,-1.0
1,16:23:11.177164,16:23:17.798145,1,-1.0
1,16:23:11.177164,16:23:18.532545,-1,-1.0
1,16:23:11.177164,16:23:18.721315,-1,-1.0
1,16:23:11.177164,16:23:18.956850,-1,-1.0
1,16:23:11.177164,16:23:19.296665,-1,-1.0
1,16:23:11.177164,16:23:19.627231,-1,-1.0
1,16:23:11.177164,16:23:20.066271,-1,-1.0
1,16:23:11.177164,16:23:20.344248,-1,-1.0
1,16:23:11.177164,16:23:20.655574,-1,-1.0
1,16:23:11.177164,16:23:20.992185,-1,-1.0
1,16:23:11.177164,16:23:21.648946,-1,-1.0
1,16:23:11.177164,16:23:22.020069,1,-1.0
1,16:23:11.177164,16:23:22.161558,1,-1.0
1,16:23:11.177164,16:23:22.476797,1,-1.0
1,16:23:11.177164,16:23:22.687509,1,-1.0
1,16:23:11.177164,16:23:22.923215,1,-1.0
1,16:23:11.177164,16:23:23.305725,-1,-1.0
1,16:23:11.177164,16:23:23.701507,-1,-1.0
1,16:23:11.177164,16:23:24.157349,1,-1.0
1,16:23:11.177164,16:23:24.404051,1,-1.0
1,16:23:11.177164,16:23:24.629281,1,-1.0
1,16:23:11.177164,16:23:24.829154,1,-1.0
1,16:23:11.177164,16:23:25.040080,1,-1.0
1,16:23:11.177164,16:23:25.261954,1,-1.0
1,16:23:11.177164,16:23:25.485573,1,-1.0
1,16:23:11.177164,16:23:25.725319,1,-1.0
1,16:23:11.177164,16:23:25.941575,1,-1.0
1,16:23:11.177164,16:23:26.192362,1,-1.0
1,16:23:11.177164,16:23:26.372114,1,-1.0
1,16:23:11.177164,16:23:26.568346,1,-1.0
1,16:23:11.177164,16:23:26.836809,1,-1.0
1,16:23:11.177164,16:23:27.049386,1,-1.0
1,16:23:11.177164,16:23:27.277900,1,-1.0
1,16:23:11.177164,16:23:27.480168,1,-1.0
1,16:23:11.177164,16:23:27.702119,1,-1.0
1,16:23:11.177164,16:23:27.941329,1,-1.0
1,16:23:11.177164,16:23:28.190492,1,-1.0
1,16:23:11.177164,16:23:28.435814,1,-1.0
1,16:23:11.177164,16:23:28.693267,1,-1.0
1,16:23:11.177164,16:23:28.959346,1,-1.0
1,16:23:11.177164,16:23:29.562944,-1,-1.0
1,16:23:11.177164,16:23:29.930689,-1,-1.0
1,16:23:11.177164,16:23:30.178164,-1,-1.0
1,16:23:11.177164,16:23:30.437300,-1,-1.0
1,16:23:11.177164,16:23:30.781009,-1,-1.0
1,16:23:11.177164,16:23:31.168056,-1,-1.0
1,16:23:11.177164,16:23:31.709986,1,-1.0
1,16:23:11.177164,16:23:32.005445,1,-1.0
1,16:23:11.177164,16:23:32.255776,1,-1.0
1,16:23:11.177164,16:23:32.490488,1,-1.0
1,16:23:11.177164,16:23:32.735205,1,-1.0
1,16:23:11.177164,16:23:33.027589,1,-1.0
1,16:23:11.177164,16:23:33.254849,1,-1.0
1,16:23:11.177164,16:23:33.515457,1,-1.0
1,16:23:11.177164,16:23:33.769253,1,-1.0
1,16:23:11.177164,16:23:34.022276,1,-1.0
1,16:23:11.177164,16:23:34.270081,1,-1.0
1,16:23:11.177164,16:23:34.762160,1,-1.0
1,16:23:11.177164,16:23:35.041024,1,-1.0
1,16:23:11.177164,16:23:35.269298,1,-1.0
1,16:23:11.177164,16:23:35.504106,1,-1.0
1,16:23:11.177164,16:23:35.744402,1,-1.0
1,16:23:11.177164,16:23:36.023051,1,-1.0
1,16:23:11.177164,16:23:36.362483,1,-1.0
1,16:23:11.177164,16:23:36.594822,1,-1.0
1,16:23:11.177164,16:23:36.884040,1,-1.0
1,16:23:11.177164,16:23:37.167558,1,-1.0
1,16:23:11.177164,16:23:37.578868,-1,-1.0
1,16:23:11.177164,16:23:37.872459,-1,-1.0
1,16:23:11.177164,16:23:38.418607,-1,-1.0
1,16:23:11.177164,16:23:38.927905,-1,-1.0
1,16:23:11.177164,16:23:39.296747,-1,-1.0
1,16:23:11.177164,16:23:39.775951,1,-1.0
1,16:23:11.177164,16:23:40.108463,1,-1.0
1,16:23:11.177164,16:23:40.316660,1,-1.0
1,16:23:11.177164,16:23:40.533189,1,-1.0
1,16:23:11.177164,16:23:40.810387,1,-1.0
1,16:23:11.177164,16:23:41.080810,1,-1.0
1,16:23:11.177164,16:23:41.306020,1,-1.0
1,16:23:11.177164,16:23:41.579232,1,-1.0
1,16:23:11.177164,16:23:41.817967,1,-1.0
1,16:23:11.177164,16:23:42.053525,1,-1.0
1,16:23:11.177164,16:23:42.507317,1,-1.0
1,16:23:11.177164,16:23:42.729206,1,-1.0
1,16:23:11.177164,16:23:42.954242,1,-1.0
1,16:23:11.177164,16:23:43.185626,1,-1.0
1,16:23:11.177164,16:23:43.470752,1,-1.0
1,16:23:11.177164,16:23:43.712881,1,-1.0
1,16:23:11.177164,16:23:43.950958,1,-1.0
1,16:23:11.177164,16:23:44.188328,1,-1.0
1,16:23:11.177164,16:23:44.439609,1,-1.0
1,16:23:11.177164,16:23:44.728414,1,-1.0
1,16:23:11.177164,16:23:45.176149,1,-1.0
1,16:23:11.177164,16:23:45.461316,1,-1.0
1,16:23:11.177164,16:23:45.722754,1,-1.0
1,16:23:11.177164,16:23:45.965228,1,-1.0
1,16:23:11.177164,16:23:46.197677,1,-1.0
1,16:23:11.177164,16:23:46.457326,1,-1.0
1,16:23:11.177164,16:23:46.697920,1,-1.0
1,16:23:11.177164,16:23:46.975930,1,-1.0
1,16:23:11.177164,16:23:47.229466,1,-1.0
1,16:23:11.177164,16:23:47.521322,1,-1.0
1,16:23:11.177164,16:23:47.800011,1,-1.0
1,16:23:11.177164,16:23:48.090727,1,-1.0
1,16:23:11.177164,16:23:48.661699,1,-1.0
1,16:23:11.177164,16:23:48.910044,1,-1.0
1,16:23:11.177164,16:23:49.180356,1,-1.0
1,16:23:11.177164,16:23:49.473996,1,-1.0
1,16:23:11.177164,16:23:50.178459,1,-1.0
1,16:23:11.177164,16:23:50.415106,1,-1.0
1,16:23:11.177164,16:23:50.628541,1,-1.0
1,16:23:11.177164,16:23:50.863233,1,-1.0
1,16:23:11.177164,16:23:51.115260,1,-1.0
1,16:23:11.177164,16:23:51.316521,1,-1.0
1,16:23:11.177164,16:23:51.556380,1,-1.0
1,16:23:11.177164,16:23:51.833591,1,-1.0
1,16:23:11.177164,16:23:52.058828,1,-1.0
1,16:23:11.177164,16:23:52.367316,1,-1.0
1,16:23:11.177164,16:23:52.670953,1,-1.0
1,16:23:11.177164,16:23:52.913238,1,-1.0
1,16:23:11.177164,16:23:53.168404,1,-1.0
1,16:23:11.177164,16:23:53.450895,1,-1.0
1,16:23:11.177164,16:23:53.704002,1,-1.0
1,16:23:11.177164,16:23:53.962087,1,-1.0
1,16:23:11.177164,16:23:54.206418,1,-1.0
1,16:23:11.177164,16:23:54.461536,1,-1.0
1,16:23:11.177164,16:23:54.725014,1,-1.0
1,16:23:11.177164,16:23:54.968570,1,-1.0
1,16:23:11.177164,16:23:55.497773,-1,-1.0
1,16:23:11.177164,16:23:55.771667,-1,-1.0
1,16:23:11.177164,16:23:56.139932,-1,-1.0
1,16:23:11.177164,16:23:56.389137,-1,-1.0
1,16:23:11.177164,16:23:56.677452,-1,-1.0
1,16:23:11.177164,16:23:57.029250,-1,-1.0
1,16:23:11.177164,16:23:57.337545,-1,-1.0
1,16:23:11.177164,16:23:57.735423,-1,-1.0
1,16:23:11.177164,16:23:58.013225,-1,-1.0
1,16:23:11.177164,16:23:58.397501,-1,-1.0
1,16:23:11.177164,16:23:58.690599,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:23:59.005452,16:23:59.689427,1,-1.0
2,16:23:59.005452,16:23:59.923781,1,-1.0
2,16:23:59.005452,16:24:00.268203,1,-1.0
2,16:23:59.005452,16:24:00.510037,1,-1.0
2,16:23:59.005452,16:24:01.273661,1,-1.0
2,16:23:59.005452,16:24:01.499890,1,-1.0
2,16:23:59.005452,16:24:01.788334,1,-1.0
2,16:23:59.005452,16:24:02.057451,1,-1.0
2,16:23:59.005452,16:24:02.299579,1,-1.0
2,16:23:59.005452,16:24:02.576396,1,-1.0
2,16:23:59.005452,16:24:02.817826,1,-1.0
2,16:23:59.005452,16:24:03.126067,1,-1.0
2,16:23:59.005452,16:24:03.396303,1,-1.0
2,16:23:59.005452,16:24:03.664629,1,-1.0
2,16:23:59.005452,16:24:03.921459,1,-1.0
2,16:23:59.005452,16:24:04.174592,1,-1.0
2,16:23:59.005452,16:24:04.428748,1,-1.0
2,16:23:59.005452,16:24:04.869019,1,-1.0
2,16:23:59.005452,16:24:05.092426,1,-1.0
2,16:23:59.005452,16:24:05.386386,1,-1.0
2,16:23:59.005452,16:24:05.935535,1,-1.0
2,16:23:59.005452,16:24:06.341061,-1,-1.0
2,16:23:59.005452,16:24:06.602903,-1,-1.0
2,16:23:59.005452,16:24:06.911501,-1,-1.0
2,16:23:59.005452,16:24:07.248282,-1,-1.0
2,16:23:59.005452,16:24:07.516362,-1,-1.0
2,16:23:59.005452,16:24:07.795645,-1,-1.0
2,16:23:59.005452,16:24:08.332850,1,-1.0
2,16:23:59.005452,16:24:08.593058,1,-1.0
2,16:23:59.005452,16:24:08.829636,1,-1.0
2,16:23:59.005452,16:24:09.069292,1,-1.0
2,16:23:59.005452,16:24:09.334326,1,-1.0
2,16:23:59.005452,16:24:09.574258,1,-1.0
2,16:23:59.005452,16:24:09.795152,1,-1.0
2,16:23:59.005452,16:24:10.366882,1,-1.0
2,16:23:59.005452,16:24:10.501489,1,-1.0
2,16:23:59.005452,16:24:10.635890,1,-1.0
2,16:23:59.005452,16:24:10.770151,1,-1.0
2,16:23:59.005452,16:24:10.903119,1,-1.0
2,16:23:59.005452,16:24:11.058329,1,-1.0
2,16:23:59.005452,16:24:11.157319,1,-1.0
2,16:23:59.005452,16:24:11.329292,1,-1.0
2,16:23:59.005452,16:24:11.482244,1,-1.0
2,16:23:59.005452,16:24:11.639250,1,-1.0
2,16:23:59.005452,16:24:11.805567,1,-1.0
2,16:23:59.005452,16:24:11.948919,1,-1.0
2,16:23:59.005452,16:24:12.120004,1,-1.0
2,16:23:59.005452,16:24:12.266233,1,-1.0
2,16:23:59.005452,16:24:12.431567,1,-1.0
2,16:23:59.005452,16:24:12.767116,1,-1.0
2,16:23:59.005452,16:24:12.905583,1,-1.0
2,16:23:59.005452,16:24:13.054930,1,-1.0
2,16:23:59.005452,16:24:13.217946,1,-1.0
2,16:23:59.005452,16:24:13.375725,1,-1.0
2,16:23:59.005452,16:24:13.537866,1,-1.0
2,16:23:59.005452,16:24:13.691551,1,-1.0
2,16:23:59.005452,16:24:13.864481,1,-1.0
2,16:23:59.005452,16:24:14.047487,1,-1.0
2,16:23:59.005452,16:24:14.195627,1,-1.0
2,16:23:59.005452,16:24:14.366743,1,-1.0
2,16:23:59.005452,16:24:14.549559,1,-1.0
2,16:23:59.005452,16:24:14.712985,1,-1.0
2,16:23:59.005452,16:24:14.891092,1,-1.0
2,16:23:59.005452,16:24:15.060219,1,-1.0
2,16:23:59.005452,16:24:15.223024,1,-1.0
2,16:23:59.005452,16:24:20.578194,-1,-1.0
2,16:23:59.005452,16:24:20.761541,-1,-1.0
2,16:23:59.005452,16:24:21.376713,1,-1.0
2,16:23:59.005452,16:24:21.634221,1,-1.0
2,16:23:59.005452,16:24:21.840139,1,-1.0
2,16:23:59.005452,16:24:22.207117,1,-1.0
2,16:23:59.005452,16:24:22.472972,1,-1.0
2,16:23:59.005452,16:24:22.738766,1,-1.0
2,16:23:59.005452,16:24:22.982015,1,-1.0
2,16:23:59.005452,16:24:23.226194,1,-1.0
2,16:23:59.005452,16:24:23.455701,1,-1.0
2,16:23:59.005452,16:24:23.672330,1,-1.0
2,16:23:59.005452,16:24:23.917481,1,-1.0
2,16:23:59.005452,16:24:24.145438,1,-1.0
2,16:23:59.005452,16:24:24.374742,1,-1.0
2,16:23:59.005452,16:24:24.617630,1,-1.0
2,16:23:59.005452,16:24:24.884672,1,-1.0
2,16:23:59.005452,16:24:25.125598,1,-1.0
2,16:23:59.005452,16:24:25.378359,1,-1.0
2,16:23:59.005452,16:24:25.635672,1,-1.0
2,16:23:59.005452,16:24:25.892037,1,-1.0
2,16:23:59.005452,16:24:26.127405,1,-1.0
2,16:23:59.005452,16:24:26.370122,1,-1.0
2,16:23:59.005452,16:24:26.580041,1,-1.0
2,16:23:59.005452,16:24:26.839335,1,-1.0
2,16:23:59.005452,16:24:27.090711,1,-1.0
2,16:23:59.005452,16:24:27.351525,1,-1.0
2,16:23:59.005452,16:24:27.595687,1,-1.0
2,16:23:59.005452,16:24:27.815851,1,-1.0
2,16:23:59.005452,16:24:28.043246,1,-1.0
2,16:23:59.005452,16:24:28.276993,1,-1.0
2,16:23:59.005452,16:24:28.507765,1,-1.0
2,16:23:59.005452,16:24:28.752128,1,-1.0
2,16:23:59.005452,16:24:28.995875,1,-1.0
2,16:23:59.005452,16:24:29.248320,1,-1.0
2,16:23:59.005452,16:24:29.508830,1,-1.0
2,16:23:59.005452,16:24:29.759160,1,-1.0
2,16:23:59.005452,16:24:30.003790,1,-1.0
2,16:23:59.005452,16:24:30.255953,1,-1.0
2,16:23:59.005452,16:24:30.505745,1,-1.0
2,16:23:59.005452,16:24:30.753361,1,-1.0
2,16:23:59.005452,16:24:31.030502,1,-1.0
2,16:23:59.005452,16:24:31.315595,1,-1.0
2,16:23:59.005452,16:24:31.560085,1,-1.0
2,16:23:59.005452,16:24:31.831358,1,-1.0
2,16:23:59.005452,16:24:32.105635,1,-1.0
2,16:23:59.005452,16:24:32.381678,1,-1.0
2,16:23:59.005452,16:24:32.728039,1,-1.0
2,16:23:59.005452,16:24:32.953022,1,-1.0
2,16:23:59.005452,16:24:33.233531,1,-1.0
2,16:23:59.005452,16:24:33.496766,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,16:24:34.127819,16:24:34.885309,1,-1.0
3,16:24:34.127819,16:24:35.196548,1,-1.0
3,16:24:34.127819,16:24:35.703462,1,-1.0
3,16:24:34.127819,16:24:35.974743,1,-1.0
3,16:24:34.127819,16:24:36.211874,1,-1.0
3,16:24:34.127819,16:24:36.457547,1,-1.0
3,16:24:34.127819,16:24:36.705334,1,-1.0
3,16:24:34.127819,16:24:36.954465,1,-1.0
3,16:24:34.127819,16:24:37.192806,1,-1.0
3,16:24:34.127819,16:24:37.457701,1,-1.0
3,16:24:34.127819,16:24:37.694675,1,-1.0
3,16:24:34.127819,16:24:37.961761,1,-1.0
3,16:24:34.127819,16:24:38.236350,1,-1.0
3,16:24:34.127819,16:24:38.738506,1,-1.0
3,16:24:34.127819,16:24:38.945296,1,-1.0
3,16:24:34.127819,16:24:39.277369,1,-1.0
3,16:24:34.127819,16:24:39.457517,1,-1.0
3,16:24:34.127819,16:24:39.634409,1,-1.0
3,16:24:34.127819,16:24:39.810895,1,-1.0
3,16:24:34.127819,16:24:39.992995,1,-1.0
3,16:24:34.127819,16:24:40.165807,1,-1.0
3,16:24:34.127819,16:24:40.327998,1,-1.0
3,16:24:34.127819,16:24:40.493171,1,-1.0
3,16:24:34.127819,16:24:40.646393,1,-1.0
3,16:24:34.127819,16:24:40.820641,1,-1.0
3,16:24:34.127819,16:24:40.930566,-1,-1.0
3,16:24:34.127819,16:24:41.153563,-1,-1.0
3,16:24:34.127819,16:24:41.668093,1,-1.0
3,16:24:34.127819,16:24:41.840581,1,-1.0
3,16:24:34.127819,16:24:42.008442,1,-1.0
3,16:24:34.127819,16:24:42.185829,1,-1.0
3,16:24:34.127819,16:24:42.356593,1,-1.0
3,16:24:34.127819,16:24:42.514787,1,-1.0
3,16:24:34.127819,16:24:42.688498,1,-1.0
3,16:24:34.127819,16:24:42.858014,1,-1.0
3,16:24:34.127819,16:24:43.015436,1,-1.0
3,16:24:34.127819,16:24:43.199221,1,-1.0
3,16:24:34.127819,16:24:43.387832,1,-1.0
3,16:24:34.127819,16:24:43.585607,1,-1.0
3,16:24:34.127819,16:24:43.777512,1,-1.0
3,16:24:34.127819,16:24:43.962362,1,-1.0
3,16:24:34.127819,16:24:44.155573,1,-1.0
3,16:24:34.127819,16:24:44.352756,1,-1.0
3,16:24:34.127819,16:24:44.516675,1,-1.0
3,16:24:34.127819,16:24:44.698453,1,-1.0
3,16:24:34.127819,16:24:44.891040,1,-1.0
3,16:24:34.127819,16:24:45.084969,1,-1.0
3,16:24:34.127819,16:24:45.257512,1,-1.0
3,16:24:34.127819,16:24:45.561095,-1,-1.0
3,16:24:34.127819,16:24:45.871180,-1,-1.0
3,16:24:34.127819,16:24:46.345726,-1,-1.0
3,16:24:34.127819,16:24:46.595847,-1,-1.0
3,16:24:34.127819,16:24:46.875463,-1,-1.0
3,16:24:34.127819,16:24:47.221290,-1,-1.0
3,16:24:34.127819,16:24:47.473346,-1,-1.0
3,16:24:34.127819,16:24:47.777987,-1,-1.0
3,16:24:34.127819,16:24:48.141050,-1,-1.0
3,16:24:34.127819,16:24:48.446859,-1,-1.0
3,16:24:34.127819,16:24:48.750416,-1,-1.0
3,16:24:34.127819,16:24:49.112725,-1,-1.0
3,16:24:34.127819,16:24:49.550658,-1,-1.0
3,16:24:34.127819,16:24:49.925088,1,-1.0
3,16:24:34.127819,16:24:50.106041,1,-1.0
3,16:24:34.127819,16:24:50.290014,1,-1.0
3,16:24:34.127819,16:24:50.459060,1,-1.0
3,16:24:34.127819,16:24:50.644837,1,-1.0
3,16:24:34.127819,16:24:50.810506,1,-1.0
3,16:24:34.127819,16:24:50.989834,1,-1.0
3,16:24:34.127819,16:24:51.165887,1,-1.0
3,16:24:34.127819,16:24:51.331142,1,-1.0
3,16:24:34.127819,16:24:51.487844,1,-1.0
3,16:24:34.127819,16:24:51.652599,1,-1.0
3,16:24:34.127819,16:24:51.817963,1,-1.0
3,16:24:34.127819,16:24:51.995934,1,-1.0
3,16:24:34.127819,16:24:52.153599,1,-1.0
3,16:24:34.127819,16:24:52.338143,1,-1.0
3,16:24:34.127819,16:24:52.536456,1,-1.0
3,16:24:34.127819,16:24:52.678242,1,-1.0
3,16:24:34.127819,16:24:52.866365,1,-1.0
3,16:24:34.127819,16:24:53.021035,1,-1.0
3,16:24:34.127819,16:24:53.203956,1,-1.0
3,16:24:34.127819,16:24:53.378622,1,-1.0
3,16:24:34.127819,16:24:53.559545,1,-1.0
3,16:24:34.127819,16:24:53.730737,1,-1.0
3,16:24:34.127819,16:24:53.904603,1,-1.0
3,16:24:34.127819,16:24:54.073513,1,-1.0
3,16:24:34.127819,16:24:54.248115,1,-1.0
3,16:24:34.127819,16:24:54.430545,1,-1.0
3,16:24:34.127819,16:24:54.595492,1,-1.0
3,16:24:34.127819,16:24:54.891028,1,-1.0
3,16:24:34.127819,16:24:55.276698,-1,-1.0
3,16:24:34.127819,16:24:55.480626,-1,-1.0
3,16:24:34.127819,16:24:55.701460,1,-1.0
3,16:24:34.127819,16:24:55.911052,1,-1.0
3,16:24:34.127819,16:24:56.053402,-1,-1.0
3,16:24:34.127819,16:24:56.283835,-1,-1.0
3,16:24:34.127819,16:24:56.512823,-1,-1.0
3,16:24:34.127819,16:24:56.987973,-1,-1.0
3,16:24:34.127819,16:24:57.205457,1,-1.0
3,16:24:34.127819,16:24:57.367717,1,-1.0
3,16:24:34.127819,16:24:57.532748,1,-1.0
3,16:24:34.127819,16:24:57.725320,1,-1.0
3,16:24:34.127819,16:24:57.896528,1,-1.0
3,16:24:34.127819,16:24:58.067232,1,-1.0
3,16:24:34.127819,16:24:58.231577,1,-1.0
3,16:24:34.127819,16:24:58.402768,1,-1.0
3,16:24:34.127819,16:24:58.737467,-1,-1.0
3,16:24:34.127819,16:24:58.955546,-1,-1.0
3,16:24:34.127819,16:24:59.189009,-1,-1.0
3,16:24:34.127819,16:24:59.447210,-1,-1.0
3,16:24:34.127819,16:25:00.104905,1,-1.0
3,16:24:34.127819,16:25:00.267510,1,-1.0
3,16:24:34.127819,16:25:00.454956,1,-1.0
3,16:24:34.127819,16:25:00.620378,1,-1.0
3,16:24:34.127819,16:25:00.810839,1,-1.0
3,16:24:34.127819,16:25:01.003578,1,-1.0
3,16:24:34.127819,16:25:01.178968,1,-1.0
3,16:24:34.127819,16:25:01.353163,1,-1.0
3,16:24:34.127819,16:25:01.546100,1,-1.0
3,16:24:34.127819,16:25:01.748189,1,-1.0
3,16:24:34.127819,16:25:01.930835,1,-1.0
3,16:24:34.127819,16:25:02.332096,1,-1.0
3,16:24:34.127819,16:25:02.527182,1,-1.0
3,16:24:34.127819,16:25:02.702864,1,-1.0
3,16:24:34.127819,16:25:02.904233,1,-1.0
3,16:24:34.127819,16:25:03.067590,1,-1.0
3,16:24:34.127819,16:25:03.262125,1,-1.0
3,16:24:34.127819,16:25:03.404060,1,-1.0
3,16:24:34.127819,16:25:03.622493,1,-1.0
3,16:24:34.127819,16:25:03.807829,1,-1.0
3,16:24:34.127819,16:25:03.994629,1,-1.0
3,16:24:34.127819,16:25:04.149612,1,-1.0
3,16:24:34.127819,16:25:04.343467,1,-1.0
3,16:24:34.127819,16:25:04.537625,1,-1.0
3,16:24:34.127819,16:25:04.722838,1,-1.0
3,16:24:34.127819,16:25:04.926057,1,-1.0
3,16:24:34.127819,16:25:05.115542,1,-1.0
3,16:24:34.127819,16:25:05.297885,1,-1.0
3,16:24:34.127819,16:25:05.505081,1,-1.0
3,16:24:34.127819,16:25:05.692955,1,-1.0
3,16:24:34.127819,16:25:05.871919,1,-1.0
3,16:24:34.127819,16:25:06.038618,1,-1.0
3,16:24:34.127819,16:25:06.234742,1,-1.0
3,16:24:34.127819,16:25:06.439085,1,-1.0
3,16:24:34.127819,16:25:06.637844,1,-1.0
3,16:24:34.127819,16:25:06.870728,1,-1.0
3,16:24:34.127819,16:25:07.088386,1,-1.0
3,16:24:34.127819,16:25:07.249145,1,-1.0
3,16:24:34.127819,16:25:07.432481,1,-1.0
3,16:24:34.127819,16:25:07.765727,1,-1.0
3,16:24:34.127819,16:25:07.948221,1,-1.0
3,16:24:34.127819,16:25:08.139760,1,-1.0
3,16:24:34.127819,16:25:08.339091,1,-1.0
3,16:24:34.127819,16:25:08.548224,1,-1.0
3,16:24:34.127819,16:25:08.752394,1,-1.0
3,16:24:34.127819,16:25:08.933592,1,-1.0
3,16:24:34.127819,16:25:09.129047,1,-1.0
3,16:24:34.127819,16:25:09.329003,1,-1.0
3,16:24:34.127819,16:25:09.497432,1,-1.0
3,16:24:34.127819,16:25:09.673460,1,-1.0
3,16:24:34.127819,16:25:09.845424,1,-1.0
3,16:24:34.127819,16:25:10.033480,1,-1.0
3,16:24:34.127819,16:25:10.228742,1,-1.0
3,16:24:34.127819,16:25:10.388820,1,-1.0
3,16:24:34.127819,16:25:10.570615,1,-1.0
3,16:24:34.127819,16:25:10.786683,1,-1.0
3,16:24:34.127819,16:25:11.022968,1,-1.0
3,16:24:34.127819,16:25:11.238209,1,-1.0
3,16:24:34.127819,16:25:11.476755,1,-1.0
3,16:24:34.127819,16:25:11.694714,1,-1.0
3,16:24:34.127819,16:25:11.907968,1,-1.0
3,16:24:34.127819,16:25:12.110595,1,-1.0
3,16:24:34.127819,16:25:12.287729,1,-1.0
3,16:24:34.127819,16:25:12.481304,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,16:25:14.057269,16:25:15.287530,-1,-1.0
4,16:25:14.057269,16:25:15.493374,-1,-1.0
4,16:25:14.057269,16:25:16.730440,1,-1.0
4,16:25:14.057269,16:25:16.903786,1,-1.0
4,16:25:14.057269,16:25:17.088691,1,-1.0
4,16:25:14.057269,16:25:17.253184,1,-1.0
4,16:25:14.057269,16:25:17.420029,1,-1.0
4,16:25:14.057269,16:25:17.580669,1,-1.0
4,16:25:14.057269,16:25:17.781499,1,-1.0
4,16:25:14.057269,16:25:17.946464,1,-1.0
4,16:25:14.057269,16:25:18.130403,1,-1.0
4,16:25:14.057269,16:25:18.458639,1,-1.0
4,16:25:14.057269,16:25:18.613133,1,-1.0
4,16:25:14.057269,16:25:18.786664,1,-1.0
4,16:25:14.057269,16:25:18.976045,1,-1.0
4,16:25:14.057269,16:25:19.171202,1,-1.0
4,16:25:14.057269,16:25:19.369053,1,-1.0
4,16:25:14.057269,16:25:19.547376,1,-1.0
4,16:25:14.057269,16:25:19.741404,1,-1.0
4,16:25:14.057269,16:25:19.915531,1,-1.0
4,16:25:14.057269,16:25:20.116940,1,-1.0
4,16:25:14.057269,16:25:20.316805,1,-1.0
4,16:25:14.057269,16:25:20.505685,1,-1.0
4,16:25:14.057269,16:25:20.612773,-1,-1.0
4,16:25:14.057269,16:25:20.878863,-1,-1.0
4,16:25:14.057269,16:25:21.314515,1,-1.0
4,16:25:14.057269,16:25:21.455902,1,-1.0
4,16:25:14.057269,16:25:21.661277,1,-1.0
