Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:39:50.699420,10:39:51.520627,1,-1.0
1,10:39:50.699420,10:39:51.820479,1,-1.0
1,10:39:50.699420,10:39:52.168274,1,-1.0
1,10:39:50.699420,10:39:52.416641,1,-1.0
1,10:39:50.699420,10:39:52.599679,1,-1.0
1,10:39:50.699420,10:39:52.941871,1,-1.0
1,10:39:50.699420,10:39:53.154473,1,-1.0
1,10:39:50.699420,10:39:53.391493,1,-1.0
1,10:39:50.699420,10:39:53.601713,1,-1.0
1,10:39:50.699420,10:39:53.814172,1,-1.0
1,10:39:50.699420,10:39:54.146642,-1,-1.0
1,10:39:50.699420,10:39:54.372878,-1,-1.0
1,10:39:50.699420,10:39:54.710015,-1,-1.0
1,10:39:50.699420,10:39:54.933958,-1,-1.0
1,10:39:50.699420,10:39:55.239891,-1,-1.0
1,10:39:50.699420,10:39:55.548073,-1,-1.0
1,10:39:50.699420,10:39:55.819874,-1,-1.0
1,10:39:50.699420,10:39:56.204590,1,-1.0
1,10:39:50.699420,10:39:56.421314,1,-1.0
1,10:39:50.699420,10:39:56.641120,1,-1.0
1,10:39:50.699420,10:39:56.862972,1,-1.0
1,10:39:50.699420,10:39:57.088624,1,-1.0
1,10:39:50.699420,10:39:57.320859,1,-1.0
1,10:39:50.699420,10:39:57.581283,1,-1.0
1,10:39:50.699420,10:39:57.865644,1,-1.0
1,10:39:50.699420,10:39:58.106584,1,-1.0
1,10:39:50.699420,10:39:58.372742,1,-1.0
1,10:39:50.699420,10:39:58.622260,1,-1.0
1,10:39:50.699420,10:39:58.903826,1,-1.0
1,10:39:50.699420,10:39:59.141004,1,-1.0
1,10:39:50.699420,10:39:59.369434,1,-1.0
1,10:39:50.699420,10:39:59.621458,1,-1.0
1,10:39:50.699420,10:39:59.861899,1,-1.0
1,10:39:50.699420,10:40:00.101679,1,-1.0
1,10:39:50.699420,10:40:00.450727,-1,-1.0
1,10:39:50.699420,10:40:00.746847,-1,-1.0
1,10:39:50.699420,10:40:00.996243,-1,-1.0
1,10:39:50.699420,10:40:01.222450,-1,-1.0
1,10:39:50.699420,10:40:01.457431,-1,-1.0
1,10:39:50.699420,10:40:01.671008,-1,-1.0
1,10:39:50.699420,10:40:01.878893,1,-1.0
1,10:39:50.699420,10:40:02.217964,-1,-1.0
1,10:39:50.699420,10:40:02.490485,-1,-1.0
1,10:39:50.699420,10:40:02.914438,1,-1.0
1,10:39:50.699420,10:40:03.169779,1,-1.0
1,10:39:50.699420,10:40:03.366147,1,-1.0
1,10:39:50.699420,10:40:03.592936,1,-1.0
1,10:39:50.699420,10:40:03.810381,1,-1.0
1,10:39:50.699420,10:40:04.017220,1,-1.0
1,10:39:50.699420,10:40:04.279628,1,-1.0
1,10:39:50.699420,10:40:04.499581,1,-1.0
1,10:39:50.699420,10:40:04.738409,1,-1.0
1,10:39:50.699420,10:40:04.972003,1,-1.0
1,10:39:50.699420,10:40:05.233912,1,-1.0
1,10:39:50.699420,10:40:05.494840,1,-1.0
1,10:39:50.699420,10:40:05.755368,1,-1.0
1,10:39:50.699420,10:40:06.027266,1,-1.0
1,10:39:50.699420,10:40:06.315197,1,-1.0
1,10:39:50.699420,10:40:06.554217,1,-1.0
1,10:39:50.699420,10:40:06.825437,1,-1.0
1,10:39:50.699420,10:40:07.060616,1,-1.0
1,10:39:50.699420,10:40:07.368109,1,-1.0
1,10:39:50.699420,10:40:07.617495,1,-1.0
1,10:39:50.699420,10:40:07.876886,1,-1.0
1,10:39:50.699420,10:40:08.178453,1,-1.0
1,10:39:50.699420,10:40:08.517169,1,-1.0
1,10:39:50.699420,10:40:08.790949,1,-1.0
1,10:39:50.699420,10:40:09.091997,-1,-1.0
1,10:39:50.699420,10:40:09.343607,-1,-1.0
1,10:39:50.699420,10:40:09.644169,-1,-1.0
1,10:39:50.699420,10:40:10.073754,1,-1.0
1,10:39:50.699420,10:40:10.323409,1,-1.0
1,10:39:50.699420,10:40:10.524070,1,-1.0
1,10:39:50.699420,10:40:10.741414,1,-1.0
1,10:39:50.699420,10:40:10.944125,1,-1.0
1,10:39:50.699420,10:40:11.200053,1,-1.0
1,10:39:50.699420,10:40:11.518037,1,-1.0
1,10:39:50.699420,10:40:11.657233,1,-1.0
1,10:39:50.699420,10:40:11.819590,1,-1.0
1,10:39:50.699420,10:40:11.956669,1,-1.0
1,10:39:50.699420,10:40:12.111629,1,-1.0
1,10:39:50.699420,10:40:12.246882,1,-1.0
1,10:39:50.699420,10:40:12.421904,1,-1.0
1,10:39:50.699420,10:40:12.564329,1,-1.0
1,10:39:50.699420,10:40:12.711040,1,-1.0
1,10:39:50.699420,10:40:13.030205,1,-1.0
1,10:39:50.699420,10:40:13.188968,1,-1.0
1,10:39:50.699420,10:40:13.321228,1,-1.0
1,10:39:50.699420,10:40:13.595007,1,-1.0
1,10:39:50.699420,10:40:13.762983,1,-1.0
1,10:39:50.699420,10:40:13.907031,1,-1.0
1,10:39:50.699420,10:40:14.048909,1,-1.0
1,10:39:50.699420,10:40:14.246233,1,-1.0
1,10:39:50.699420,10:40:14.416112,1,-1.0
1,10:39:50.699420,10:40:14.580858,1,-1.0
1,10:39:50.699420,10:40:14.705909,1,-1.0
1,10:39:50.699420,10:40:14.866152,1,-1.0
1,10:39:50.699420,10:40:15.009422,1,-1.0
1,10:39:50.699420,10:40:15.167596,1,-1.0
1,10:39:50.699420,10:40:15.346760,1,-1.0
1,10:39:50.699420,10:40:15.524252,1,-1.0
1,10:39:50.699420,10:40:15.956391,1,-1.0
1,10:39:50.699420,10:40:16.055326,1,-1.0
1,10:39:50.699420,10:40:16.299517,1,-1.0
1,10:39:50.699420,10:40:16.434190,1,-1.0
1,10:39:50.699420,10:40:16.567246,1,-1.0
1,10:39:50.699420,10:40:16.752583,1,-1.0
1,10:39:50.699420,10:40:16.884474,1,-1.0
1,10:39:50.699420,10:40:17.046463,1,-1.0
1,10:39:50.699420,10:40:17.192962,1,-1.0
1,10:39:50.699420,10:40:17.322403,1,-1.0
1,10:39:50.699420,10:40:17.492055,1,-1.0
1,10:39:50.699420,10:40:17.644185,1,-1.0
1,10:39:50.699420,10:40:17.866937,1,-1.0
1,10:39:50.699420,10:40:18.031429,1,-1.0
1,10:39:50.699420,10:40:18.235609,1,-1.0
1,10:39:50.699420,10:40:18.381069,1,-1.0
1,10:39:50.699420,10:40:18.611025,1,-1.0
1,10:39:50.699420,10:40:18.962067,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:40:19.894895,10:40:20.104973,1,-1.0
2,10:40:19.894895,10:40:20.504768,1,-1.0
2,10:40:19.894895,10:40:20.668571,1,-1.0
2,10:40:19.894895,10:40:20.854794,1,-1.0
2,10:40:19.894895,10:40:21.009435,1,-1.0
2,10:40:19.894895,10:40:21.202349,1,-1.0
2,10:40:19.894895,10:40:21.368909,1,-1.0
2,10:40:19.894895,10:40:21.522694,1,-1.0
2,10:40:19.894895,10:40:21.677342,1,-1.0
2,10:40:19.894895,10:40:21.818804,1,-1.0
2,10:40:19.894895,10:40:21.964940,1,-1.0
2,10:40:19.894895,10:40:22.105582,1,-1.0
2,10:40:19.894895,10:40:22.227634,1,-1.0
2,10:40:19.894895,10:40:22.369217,1,-1.0
2,10:40:19.894895,10:40:22.514178,1,-1.0
2,10:40:19.894895,10:40:22.665455,1,-1.0
2,10:40:19.894895,10:40:22.975109,1,-1.0
2,10:40:19.894895,10:40:23.124634,1,-1.0
2,10:40:19.894895,10:40:23.200968,1,-1.0
2,10:40:19.894895,10:40:23.316962,1,-1.0
2,10:40:19.894895,10:40:23.454782,1,-1.0
2,10:40:19.894895,10:40:23.652443,1,-1.0
2,10:40:19.894895,10:40:23.915361,-1,-1.0
2,10:40:19.894895,10:40:24.182788,-1,-1.0
2,10:40:19.894895,10:40:24.578584,-1,-1.0
2,10:40:19.894895,10:40:24.962034,1,-1.0
2,10:40:19.894895,10:40:25.091057,1,-1.0
2,10:40:19.894895,10:40:25.243374,1,-1.0
2,10:40:19.894895,10:40:25.387150,1,-1.0
2,10:40:19.894895,10:40:25.581485,1,-1.0
2,10:40:19.894895,10:40:25.723383,1,-1.0
2,10:40:19.894895,10:40:25.899496,1,-1.0
2,10:40:19.894895,10:40:26.062381,1,-1.0
2,10:40:19.894895,10:40:26.246589,1,-1.0
2,10:40:19.894895,10:40:26.429251,1,-1.0
2,10:40:19.894895,10:40:26.610638,1,-1.0
2,10:40:19.894895,10:40:26.947002,1,-1.0
2,10:40:19.894895,10:40:27.205655,1,-1.0
2,10:40:19.894895,10:40:27.489559,1,-1.0
2,10:40:19.894895,10:40:27.702971,1,-1.0
2,10:40:19.894895,10:40:27.912789,1,-1.0
2,10:40:19.894895,10:40:28.103045,1,-1.0
2,10:40:19.894895,10:40:28.284414,1,-1.0
2,10:40:19.894895,10:40:28.499196,1,-1.0
2,10:40:19.894895,10:40:28.716215,1,-1.0
2,10:40:19.894895,10:40:28.895276,1,-1.0
2,10:40:19.894895,10:40:29.220338,1,-1.0
2,10:40:19.894895,10:40:29.410069,1,-1.0
2,10:40:19.894895,10:40:29.789026,1,-1.0
2,10:40:19.894895,10:40:30.001208,1,-1.0
2,10:40:19.894895,10:40:30.351954,1,-1.0
2,10:40:19.894895,10:40:30.580137,1,-1.0
