Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:18:53.816023,16:18:54.014722,1,-1.0
1,16:18:53.816023,16:18:54.345773,1,-1.0
1,16:18:53.816023,16:18:54.647581,1,-1.0
1,16:18:53.816023,16:18:54.933715,1,-1.0
1,16:18:53.816023,16:18:55.191323,1,-1.0
1,16:18:53.816023,16:18:55.468643,-1,-1.0
1,16:18:53.816023,16:18:55.765238,-1,-1.0
1,16:18:53.816023,16:18:56.074104,-1,-1.0
1,16:18:53.816023,16:18:56.338994,-1,-1.0
1,16:18:53.816023,16:18:56.998862,-1,-1.0
1,16:18:53.816023,16:18:57.258054,1,-1.0
1,16:18:53.816023,16:18:57.679613,-1,-1.0
1,16:18:53.816023,16:18:58.204624,1,-1.0
1,16:18:53.816023,16:18:58.444618,1,-1.0
1,16:18:53.816023,16:18:58.658706,1,-1.0
1,16:18:53.816023,16:18:58.870208,1,-1.0
1,16:18:53.816023,16:18:59.083006,1,-1.0
1,16:18:53.816023,16:18:59.309616,1,-1.0
1,16:18:53.816023,16:18:59.542583,1,-1.0
1,16:18:53.816023,16:18:59.769314,1,-1.0
1,16:18:53.816023,16:18:59.995977,1,-1.0
1,16:18:53.816023,16:19:00.213334,1,-1.0
1,16:18:53.816023,16:19:00.425486,1,-1.0
1,16:18:53.816023,16:19:00.654692,1,-1.0
1,16:18:53.816023,16:19:00.877552,1,-1.0
1,16:18:53.816023,16:19:01.105244,1,-1.0
1,16:18:53.816023,16:19:01.331136,1,-1.0
1,16:18:53.816023,16:19:01.587106,1,-1.0
1,16:18:53.816023,16:19:01.833413,1,-1.0
1,16:18:53.816023,16:19:02.071523,1,-1.0
1,16:18:53.816023,16:19:02.427158,-1,-1.0
1,16:18:53.816023,16:19:02.675521,-1,-1.0
1,16:18:53.816023,16:19:02.895664,-1,-1.0
1,16:18:53.816023,16:19:03.198228,-1,-1.0
1,16:18:53.816023,16:19:03.632914,-1,-1.0
1,16:18:53.816023,16:19:03.983531,-1,-1.0
1,16:18:53.816023,16:19:04.290808,-1,-1.0
1,16:18:53.816023,16:19:05.432999,1,-1.0
1,16:18:53.816023,16:19:05.881495,-1,-1.0
1,16:18:53.816023,16:19:06.262302,-1,-1.0
1,16:18:53.816023,16:19:06.757200,1,-1.0
1,16:18:53.816023,16:19:07.008865,1,-1.0
1,16:18:53.816023,16:19:07.241203,1,-1.0
1,16:18:53.816023,16:19:07.529149,1,-1.0
1,16:18:53.816023,16:19:07.780150,1,-1.0
1,16:18:53.816023,16:19:08.068067,1,-1.0
1,16:18:53.816023,16:19:08.325618,1,-1.0
1,16:18:53.816023,16:19:08.630429,1,-1.0
1,16:18:53.816023,16:19:08.907847,1,-1.0
1,16:18:53.816023,16:19:09.154813,1,-1.0
1,16:18:53.816023,16:19:09.380208,1,-1.0
1,16:18:53.816023,16:19:09.628832,1,-1.0
1,16:18:53.816023,16:19:09.890301,1,-1.0
1,16:18:53.816023,16:19:10.173492,1,-1.0
1,16:18:53.816023,16:19:10.425723,1,-1.0
1,16:18:53.816023,16:19:10.692757,1,-1.0
1,16:18:53.816023,16:19:10.969184,1,-1.0
1,16:18:53.816023,16:19:11.241712,1,-1.0
1,16:18:53.816023,16:19:11.520140,1,-1.0
1,16:18:53.816023,16:19:11.900159,-1,-1.0
1,16:18:53.816023,16:19:12.135476,-1,-1.0
1,16:18:53.816023,16:19:12.394543,-1,-1.0
1,16:18:53.816023,16:19:12.688699,-1,-1.0
1,16:18:53.816023,16:19:13.196477,1,-1.0
1,16:18:53.816023,16:19:13.447091,1,-1.0
1,16:18:53.816023,16:19:13.710385,1,-1.0
1,16:18:53.816023,16:19:13.921518,1,-1.0
1,16:18:53.816023,16:19:14.177743,1,-1.0
1,16:18:53.816023,16:19:14.401396,1,-1.0
1,16:18:53.816023,16:19:14.622239,1,-1.0
1,16:18:53.816023,16:19:14.857887,1,-1.0
1,16:18:53.816023,16:19:15.102654,1,-1.0
1,16:18:53.816023,16:19:15.360554,1,-1.0
1,16:18:53.816023,16:19:15.647337,1,-1.0
1,16:18:53.816023,16:19:15.884174,1,-1.0
