Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:29:06.564973,20:29:07.872241,1,-1.0
1,20:29:06.564973,20:29:08.420213,-1,-1.0
1,20:29:06.564973,20:29:08.649064,-1,-1.0
1,20:29:06.564973,20:29:08.984849,-1,-1.0
1,20:29:06.564973,20:29:09.370937,1,-1.0
1,20:29:06.564973,20:29:09.628220,1,-1.0
1,20:29:06.564973,20:29:09.858806,1,-1.0
1,20:29:06.564973,20:29:10.063150,1,-1.0
1,20:29:06.564973,20:29:10.263195,1,-1.0
1,20:29:06.564973,20:29:10.504262,1,-1.0
1,20:29:06.564973,20:29:10.690726,1,-1.0
1,20:29:06.564973,20:29:10.924176,1,-1.0
1,20:29:06.564973,20:29:11.136791,1,-1.0
1,20:29:06.564973,20:29:11.358418,1,-1.0
1,20:29:06.564973,20:29:11.590630,1,-1.0
1,20:29:06.564973,20:29:11.835189,1,-1.0
1,20:29:06.564973,20:29:12.023631,1,-1.0
1,20:29:06.564973,20:29:12.229294,1,-1.0
1,20:29:06.564973,20:29:12.441472,1,-1.0
1,20:29:06.564973,20:29:12.673757,1,-1.0
1,20:29:06.564973,20:29:12.877293,1,-1.0
1,20:29:06.564973,20:29:13.094696,1,-1.0
1,20:29:06.564973,20:29:13.308252,1,-1.0
1,20:29:06.564973,20:29:13.553494,1,-1.0
1,20:29:06.564973,20:29:13.791613,1,-1.0
1,20:29:06.564973,20:29:14.025326,1,-1.0
1,20:29:06.564973,20:29:14.239434,1,-1.0
1,20:29:06.564973,20:29:14.470297,1,-1.0
1,20:29:06.564973,20:29:14.698591,1,-1.0
1,20:29:06.564973,20:29:14.907740,1,-1.0
1,20:29:06.564973,20:29:15.162094,1,-1.0
1,20:29:06.564973,20:29:15.361843,1,-1.0
1,20:29:06.564973,20:29:15.584816,1,-1.0
1,20:29:06.564973,20:29:15.783424,1,-1.0
1,20:29:06.564973,20:29:15.993563,1,-1.0
1,20:29:06.564973,20:29:16.431593,-1,-1.0
1,20:29:06.564973,20:29:16.709961,-1,-1.0
1,20:29:06.564973,20:29:16.970623,-1,-1.0
1,20:29:06.564973,20:29:17.274711,-1,-1.0
1,20:29:06.564973,20:29:17.525592,-1,-1.0
1,20:29:06.564973,20:29:17.778075,-1,-1.0
1,20:29:06.564973,20:29:18.024047,-1,-1.0
1,20:29:06.564973,20:29:18.315794,-1,-1.0
1,20:29:06.564973,20:29:18.654205,-1,-1.0
1,20:29:06.564973,20:29:18.912798,-1,-1.0
1,20:29:06.564973,20:29:19.177734,-1,-1.0
1,20:29:06.564973,20:29:19.776696,-1,-1.0
1,20:29:06.564973,20:29:20.146621,1,-1.0
1,20:29:06.564973,20:29:20.383775,1,-1.0
1,20:29:06.564973,20:29:20.603758,1,-1.0
1,20:29:06.564973,20:29:20.848144,1,-1.0
1,20:29:06.564973,20:29:21.062515,1,-1.0
