Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:16:39.259717,14:16:39.888686,1,-1.0
1,14:16:39.259717,14:16:40.176355,1,-1.0
1,14:16:39.259717,14:16:40.641772,1,-1.0
1,14:16:39.259717,14:16:40.914928,1,-1.0
1,14:16:39.259717,14:16:41.138343,1,-1.0
1,14:16:39.259717,14:16:41.341304,1,-1.0
1,14:16:39.259717,14:16:41.617377,1,-1.0
1,14:16:39.259717,14:16:41.844447,1,-1.0
1,14:16:39.259717,14:16:42.070024,1,-1.0
1,14:16:39.259717,14:16:42.305520,1,-1.0
1,14:16:39.259717,14:16:42.516931,1,-1.0
1,14:16:39.259717,14:16:42.765710,1,-1.0
1,14:16:39.259717,14:16:42.993521,1,-1.0
1,14:16:39.259717,14:16:43.192578,1,-1.0
1,14:16:39.259717,14:16:43.421494,1,-1.0
1,14:16:39.259717,14:16:43.644882,1,-1.0
1,14:16:39.259717,14:16:43.875633,1,-1.0
1,14:16:39.259717,14:16:44.119792,1,-1.0
1,14:16:39.259717,14:16:44.313853,1,-1.0
1,14:16:39.259717,14:16:44.559578,1,-1.0
1,14:16:39.259717,14:16:44.801053,1,-1.0
1,14:16:39.259717,14:16:45.042195,1,-1.0
1,14:16:39.259717,14:16:45.274460,1,-1.0
1,14:16:39.259717,14:16:45.531172,1,-1.0
1,14:16:39.259717,14:16:45.813442,1,-1.0
1,14:16:39.259717,14:16:46.066394,1,-1.0
1,14:16:39.259717,14:16:46.326838,1,-1.0
1,14:16:39.259717,14:16:47.076400,-1,-1.0
1,14:16:39.259717,14:16:47.438227,-1,-1.0
1,14:16:39.259717,14:16:47.988932,-1,-1.0
1,14:16:39.259717,14:16:48.433096,-1,-1.0
1,14:16:39.259717,14:16:48.990261,-1,-1.0
1,14:16:39.259717,14:16:49.317553,-1,-1.0
1,14:16:39.259717,14:16:49.621865,-1,-1.0
1,14:16:39.259717,14:16:49.911678,-1,-1.0
1,14:16:39.259717,14:16:50.256334,-1,-1.0
1,14:16:39.259717,14:16:50.821545,-1,-1.0
1,14:16:39.259717,14:16:51.337876,1,-1.0
1,14:16:39.259717,14:16:51.572991,1,-1.0
1,14:16:39.259717,14:16:51.800670,1,-1.0
1,14:16:39.259717,14:16:52.001621,1,-1.0
1,14:16:39.259717,14:16:52.286335,1,-1.0
1,14:16:39.259717,14:16:52.618556,-1,-1.0
1,14:16:39.259717,14:16:52.858284,-1,-1.0
1,14:16:39.259717,14:16:53.147425,-1,-1.0
1,14:16:39.259717,14:16:53.521271,-1,-1.0
1,14:16:39.259717,14:16:53.749697,-1,-1.0
1,14:16:39.259717,14:16:54.085069,-1,-1.0
1,14:16:39.259717,14:16:54.562443,1,-1.0
1,14:16:39.259717,14:16:54.820060,1,-1.0
1,14:16:39.259717,14:16:55.017246,1,-1.0
1,14:16:39.259717,14:16:55.236804,1,-1.0
1,14:16:39.259717,14:16:55.461218,1,-1.0
1,14:16:39.259717,14:16:55.687789,1,-1.0
1,14:16:39.259717,14:16:55.923570,1,-1.0
1,14:16:39.259717,14:16:56.170421,1,-1.0
1,14:16:39.259717,14:16:56.398360,1,-1.0
1,14:16:39.259717,14:16:56.602872,1,-1.0
1,14:16:39.259717,14:16:56.878369,1,-1.0
1,14:16:39.259717,14:16:57.117016,1,-1.0
1,14:16:39.259717,14:16:57.356238,1,-1.0
1,14:16:39.259717,14:16:57.588095,1,-1.0
1,14:16:39.259717,14:16:57.807264,1,-1.0
1,14:16:39.259717,14:16:58.053178,1,-1.0
1,14:16:39.259717,14:16:58.291312,1,-1.0
1,14:16:39.259717,14:16:58.539826,1,-1.0
1,14:16:39.259717,14:16:58.818765,1,-1.0
1,14:16:39.259717,14:16:59.070590,1,-1.0
1,14:16:39.259717,14:16:59.302002,1,-1.0
1,14:16:39.259717,14:16:59.575633,1,-1.0
1,14:16:39.259717,14:16:59.819018,1,-1.0
1,14:16:39.259717,14:17:00.331835,1,-1.0
1,14:16:39.259717,14:17:00.622807,1,-1.0
1,14:16:39.259717,14:17:00.872433,1,-1.0
1,14:16:39.259717,14:17:01.178882,1,-1.0
1,14:16:39.259717,14:17:01.389064,1,-1.0
1,14:16:39.259717,14:17:01.661694,1,-1.0
1,14:16:39.259717,14:17:01.871201,1,-1.0
1,14:16:39.259717,14:17:02.263088,-1,-1.0
1,14:16:39.259717,14:17:02.553945,-1,-1.0
1,14:16:39.259717,14:17:02.757345,-1,-1.0
1,14:16:39.259717,14:17:03.087902,-1,-1.0
1,14:16:39.259717,14:17:03.344930,-1,-1.0
1,14:16:39.259717,14:17:03.598690,-1,-1.0
1,14:16:39.259717,14:17:04.065778,-1,-1.0
1,14:16:39.259717,14:17:04.299278,-1,-1.0
1,14:16:39.259717,14:17:05.106140,1,-1.0
1,14:16:39.259717,14:17:05.376484,1,-1.0
1,14:16:39.259717,14:17:05.590188,1,-1.0
1,14:16:39.259717,14:17:05.815830,1,-1.0
1,14:16:39.259717,14:17:06.111678,1,-1.0
1,14:16:39.259717,14:17:06.385957,1,-1.0
1,14:16:39.259717,14:17:06.629351,1,-1.0
1,14:16:39.259717,14:17:06.906988,1,-1.0
1,14:16:39.259717,14:17:07.209472,1,-1.0
1,14:16:39.259717,14:17:07.510470,1,-1.0
1,14:16:39.259717,14:17:07.725766,1,-1.0
1,14:16:39.259717,14:17:07.992278,1,-1.0
1,14:16:39.259717,14:17:08.259401,1,-1.0
1,14:16:39.259717,14:17:08.525708,1,-1.0
1,14:16:39.259717,14:17:08.930881,-1,-1.0
1,14:16:39.259717,14:17:09.201602,-1,-1.0
1,14:16:39.259717,14:17:09.465559,-1,-1.0
1,14:16:39.259717,14:17:09.803368,-1,-1.0
1,14:16:39.259717,14:17:10.753368,1,-1.0
1,14:16:39.259717,14:17:11.032228,1,-1.0
1,14:16:39.259717,14:17:11.320835,1,-1.0
1,14:16:39.259717,14:17:11.587222,1,-1.0
1,14:16:39.259717,14:17:11.892497,1,-1.0
1,14:16:39.259717,14:17:12.141161,1,-1.0
1,14:16:39.259717,14:17:12.437001,1,-1.0
1,14:16:39.259717,14:17:12.679347,1,-1.0
