Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:21:51.312548,14:21:59.839533,1,-1.0
1,14:21:51.312548,14:22:01.884299,-1,-1.0
1,14:21:51.312548,14:22:10.276170,1,-1.0
1,14:21:51.312548,14:22:11.552233,1,-1.0
1,14:21:51.312548,14:22:12.255572,1,-1.0
1,14:21:51.312548,14:22:13.028591,1,-1.0
1,14:21:51.312548,14:22:14.233605,1,-1.0
1,14:21:51.312548,14:22:16.754564,-1,-1.0
1,14:21:51.312548,14:22:18.977261,-1,-1.0
1,14:21:51.312548,14:22:20.610810,-1,-1.0
1,14:21:51.312548,14:22:22.741176,-1,-1.0
1,14:21:51.312548,14:22:29.942392,1,-1.0
1,14:21:51.312548,14:22:31.316952,1,-1.0
1,14:21:51.312548,14:22:32.957756,1,-1.0
1,14:21:51.312548,14:22:34.350825,1,-1.0
1,14:21:51.312548,14:22:35.229229,1,-1.0
1,14:21:51.312548,14:22:36.088607,1,-1.0
1,14:21:51.312548,14:22:37.412073,1,-1.0
1,14:21:51.312548,14:22:39.324441,-1,-1.0
1,14:21:51.312548,14:22:40.692994,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:22:50.011255,14:22:50.588600,1,-1.0
2,14:22:50.011255,14:22:51.601402,1,-1.0
2,14:22:50.011255,14:23:21.975005,-1,-1.0
2,14:22:50.011255,14:23:23.826333,-1,-1.0
2,14:22:50.011255,14:23:25.636308,1,-1.0
2,14:22:50.011255,14:23:25.978578,1,-1.0
2,14:22:50.011255,14:23:26.675584,1,-1.0
2,14:22:50.011255,14:23:27.278938,1,-1.0
2,14:22:50.011255,14:23:27.769542,1,-1.0
2,14:22:50.011255,14:23:35.421583,-1,-1.0
2,14:22:50.011255,14:23:36.823206,1,-1.0
2,14:22:50.011255,14:23:38.892295,1,-1.0
2,14:22:50.011255,14:23:39.084883,1,-1.0
2,14:22:50.011255,14:23:39.378724,-1,-1.0
2,14:22:50.011255,14:23:39.654426,-1,-1.0
2,14:22:50.011255,14:23:39.826877,-1,-1.0
2,14:22:50.011255,14:23:40.058454,-1,-1.0
2,14:22:50.011255,14:23:40.396996,-1,-1.0
2,14:22:50.011255,14:23:41.272063,1,-1.0
2,14:22:50.011255,14:23:42.539754,1,-1.0
2,14:22:50.011255,14:23:42.976657,1,-1.0
2,14:22:50.011255,14:23:43.159824,1,-1.0
2,14:22:50.011255,14:23:43.522471,-1,-1.0
2,14:22:50.011255,14:23:43.704255,-1,-1.0
2,14:22:50.011255,14:23:43.868396,-1,-1.0
2,14:22:50.011255,14:23:44.041527,-1,-1.0
2,14:22:50.011255,14:23:44.190651,-1,-1.0
2,14:22:50.011255,14:23:44.350571,-1,-1.0
2,14:22:50.011255,14:23:44.501398,-1,-1.0
2,14:22:50.011255,14:23:45.026422,-1,-1.0
2,14:22:50.011255,14:23:45.680748,-1,-1.0
2,14:22:50.011255,14:23:46.074433,-1,-1.0
2,14:22:50.011255,14:23:46.902078,-1,-1.0
