Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:19:51.219138,12:19:57.277648,1,-1.0
1,12:19:51.219138,12:20:05.475174,1,-1.0
1,12:19:51.219138,12:20:25.823841,-1,-1.0
1,12:19:51.219138,12:20:35.219057,-1,-1.0
1,12:19:51.219138,12:20:40.349790,-1,-1.0
1,12:19:51.219138,12:20:46.323991,1,-1.0
1,12:19:51.219138,12:20:56.321619,-1,-1.0
1,12:19:51.219138,12:21:01.433527,1,-1.0
1,12:19:51.219138,12:21:12.711971,-1,-1.0
1,12:19:51.219138,12:21:16.876370,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:21:30.224057,12:21:36.577692,1,-1.0
2,12:21:30.224057,12:21:44.909641,1,-1.0
2,12:21:30.224057,12:21:51.516574,-1,-1.0
2,12:21:30.224057,12:21:59.798740,-1,-1.0
2,12:21:30.224057,12:22:05.004755,1,-1.0
2,12:21:30.224057,12:22:12.632119,1,-1.0
2,12:21:30.224057,12:22:40.397755,-1,-1.0
