Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,13:14:05.331350,13:14:09.211610,1,-1.0
1,13:14:05.331350,13:14:16.683899,1,-1.0
1,13:14:05.331350,13:14:24.473056,-1,-1.0
1,13:14:05.331350,13:14:32.693942,-1,-1.0
1,13:14:05.331350,13:14:37.573014,1,-1.0
1,13:14:05.331350,13:14:44.539887,-1,-1.0
1,13:14:05.331350,13:14:48.766565,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,13:14:59.550254,13:15:10.281781,-1,-1.0
2,13:14:59.550254,13:15:13.906580,1,-1.0
2,13:14:59.550254,13:15:25.187743,1,-1.0
2,13:14:59.550254,13:15:43.958721,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,13:15:50.743118,13:15:57.247404,1,-1.0
3,13:15:50.743118,13:16:07.762429,-1,-1.0
3,13:15:50.743118,13:16:19.111754,-1,-1.0
3,13:15:50.743118,13:16:30.373627,-1,-1.0
3,13:15:50.743118,13:16:34.032374,1,-1.0
3,13:15:50.743118,13:16:56.387821,-1,-1.0
3,13:15:50.743118,13:16:59.589000,1,-1.0
3,13:15:50.743118,13:17:11.167879,1,-1.0
3,13:15:50.743118,13:17:23.488141,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,13:17:24.722880,13:17:30.242589,1,-1.0
4,13:17:24.722880,13:17:41.028464,-1,-1.0
4,13:17:24.722880,13:17:45.525398,1,-1.0
4,13:17:24.722880,13:18:01.089154,-1,-1.0
