Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:00:28.966409,15:00:31.829560,1,-1.0
1,15:00:28.966409,15:00:43.505235,-1,-1.0
1,15:00:28.966409,15:00:45.298929,-1,-1.0
1,15:00:28.966409,15:00:46.398143,1,-1.0
1,15:00:28.966409,15:00:49.007557,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:01:03.166926,15:01:05.226466,-1,-1.0
2,15:01:03.166926,15:01:07.361908,1,-1.0
2,15:01:03.166926,15:01:09.571470,1,-1.0
2,15:01:03.166926,15:01:19.075916,-1,-1.0
2,15:01:03.166926,15:01:19.968475,1,-1.0
2,15:01:03.166926,15:01:20.842704,1,-1.0
