Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,13:29:25.824601,13:29:41.912919,-1,-1.0
1,13:29:25.824601,13:29:46.198044,-1,-1.0
1,13:29:25.824601,13:29:52.022072,1,-1.0
1,13:29:25.824601,13:30:05.474891,-1,-1.0
1,13:29:25.824601,13:30:12.881453,-1,-1.0
1,13:29:25.824601,13:30:21.627578,-1,-1.0
1,13:29:25.824601,13:30:26.546405,-1,-1.0
1,13:29:25.824601,13:30:33.950095,-1,-1.0
1,13:29:25.824601,13:30:41.046221,1,-1.0
1,13:29:25.824601,13:30:49.341863,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,13:30:57.963552,13:31:10.112836,-1,-1.0
2,13:30:57.963552,13:31:18.196960,-1,-1.0
2,13:30:57.963552,13:31:22.461007,-1,-1.0
2,13:30:57.963552,13:31:26.387406,1,-1.0
2,13:30:57.963552,13:31:32.780478,-1,-1.0
2,13:30:57.963552,13:31:37.625012,-1,-1.0
2,13:30:57.963552,13:31:44.344133,1,-1.0
2,13:30:57.963552,13:31:53.356713,-1,-1.0
2,13:30:57.963552,13:31:59.102488,-1,-1.0
2,13:30:57.963552,13:32:04.357844,1,-1.0
2,13:30:57.963552,13:32:09.105199,1,-1.0
2,13:30:57.963552,13:32:18.190345,-1,-1.0
2,13:30:57.963552,13:32:29.034541,1,-1.0
2,13:30:57.963552,13:32:33.356122,1,-1.0
2,13:30:57.963552,13:32:44.565187,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,13:32:49.192488,13:32:55.707565,1,-1.0
3,13:32:49.192488,13:33:12.154855,-1,-1.0
3,13:32:49.192488,13:33:16.955840,-1,-1.0
3,13:32:49.192488,13:33:24.585126,1,-1.0
3,13:32:49.192488,13:33:32.634273,-1,-1.0
3,13:32:49.192488,13:33:36.390985,-1,-1.0
3,13:32:49.192488,13:33:43.330062,-1,-1.0
3,13:32:49.192488,13:33:48.948251,1,-1.0
3,13:32:49.192488,13:33:54.505085,1,-1.0
3,13:32:49.192488,13:34:04.240841,1,-1.0
3,13:32:49.192488,13:34:19.062120,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,13:34:45.255990,13:34:54.703352,1,-1.0
4,13:34:45.255990,13:35:01.734140,-1,-1.0
4,13:34:45.255990,13:35:10.023929,1,-1.0
4,13:34:45.255990,13:35:22.559833,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,13:35:51.523517,13:36:02.441527,1,-1.0
5,13:35:51.523517,13:36:09.687515,1,-1.0
5,13:35:51.523517,13:36:19.201739,-1,-1.0
5,13:35:51.523517,13:36:23.984766,-1,-1.0
5,13:35:51.523517,13:36:32.495762,1,-1.0
5,13:35:51.523517,13:36:44.446539,1,-1.0
5,13:35:51.523517,13:37:06.169656,-1,-1.0
