Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,13:18:20.894555,13:18:38.796629,-1,-1.0
1,13:18:20.894555,13:18:43.142752,-1,-1.0
1,13:18:20.894555,13:18:48.560918,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,13:19:00.596010,13:19:05.399583,-1,-1.0
2,13:19:00.596010,13:19:10.261303,-1,-1.0
2,13:19:00.596010,13:19:20.648550,-1,-1.0
2,13:19:00.596010,13:19:30.865571,-1,-1.0
2,13:19:00.596010,13:19:46.201021,-1,-1.0
2,13:19:00.596010,13:19:56.470632,-1,-1.0
2,13:19:00.596010,13:20:00.991707,-1,-1.0
2,13:19:00.596010,13:20:04.452442,1,-1.0
2,13:19:00.596010,13:20:11.998243,-1,-1.0
2,13:19:00.596010,13:20:26.950421,-1,-1.0
2,13:19:00.596010,13:20:32.217863,-1,-1.0
2,13:19:00.596010,13:20:35.641124,-1,-1.0
2,13:19:00.596010,13:20:39.122972,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,13:20:52.396884,13:21:03.546598,-1,-1.0
3,13:20:52.396884,13:21:09.650159,1,-1.0
3,13:20:52.396884,13:21:20.931095,1,-1.0
3,13:20:52.396884,13:21:34.673995,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,13:21:39.289759,13:21:57.379540,-1,-1.0
4,13:21:39.289759,13:22:10.763732,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,13:22:25.940509,13:22:30.173637,1,-1.0
5,13:22:25.940509,13:22:39.157614,1,-1.0
5,13:22:25.940509,13:22:49.458316,-1,-1.0
5,13:22:25.940509,13:23:08.541299,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,13:23:23.685613,13:23:29.240092,-1,-1.0
6,13:23:23.685613,13:23:38.024314,1,-1.0
6,13:23:23.685613,13:23:46.508163,-1,-1.0
6,13:23:23.685613,13:23:52.556241,1,-1.0
6,13:23:23.685613,13:24:02.205636,-1,-1.0
6,13:23:23.685613,13:24:09.847132,1,-1.0
6,13:23:23.685613,13:24:18.621035,-1,-1.0
6,13:23:23.685613,13:24:23.181298,-1,-1.0
6,13:23:23.685613,13:24:29.544160,-1,-1.0
6,13:23:23.685613,13:24:34.090735,1,-1.0
6,13:23:23.685613,13:24:42.788280,-1,-1.0
6,13:23:23.685613,13:24:46.852171,-1,-1.0
6,13:23:23.685613,13:24:50.882206,-1,-1.0
6,13:23:23.685613,13:24:57.299884,-1,-1.0
6,13:23:23.685613,13:25:01.005524,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,13:25:17.943123,13:25:30.706131,-1,-1.0
7,13:25:17.943123,13:25:36.869355,-1,-1.0
7,13:25:17.943123,13:25:42.349937,-1,-1.0
7,13:25:17.943123,13:25:47.684474,-1,-1.0
7,13:25:17.943123,13:25:57.070178,-1,-1.0
7,13:25:17.943123,13:26:06.097662,1,-1.0
7,13:25:17.943123,13:26:17.935592,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
