Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:28:17.272882,23:28:29.898378,-1,-1.0
1,23:28:17.272882,23:28:33.786027,-1,-1.0
1,23:28:17.272882,23:28:34.461784,1,-1.0
1,23:28:17.272882,23:28:34.905420,1,-1.0
1,23:28:17.272882,23:28:35.211873,1,-1.0
1,23:28:17.272882,23:28:35.525939,1,-1.0
1,23:28:17.272882,23:28:35.776908,1,-1.0
1,23:28:17.272882,23:28:36.006131,1,-1.0
1,23:28:17.272882,23:28:36.239006,1,-1.0
1,23:28:17.272882,23:28:36.480086,1,-1.0
1,23:28:17.272882,23:28:36.702378,1,-1.0
1,23:28:17.272882,23:28:36.931880,1,-1.0
1,23:28:17.272882,23:28:37.147096,1,-1.0
1,23:28:17.272882,23:28:37.373522,1,-1.0
1,23:28:17.272882,23:28:37.590880,1,-1.0
1,23:28:17.272882,23:28:37.788953,1,-1.0
1,23:28:17.272882,23:28:37.995858,1,-1.0
1,23:28:17.272882,23:28:38.211608,1,-1.0
1,23:28:17.272882,23:28:38.409062,1,-1.0
1,23:28:17.272882,23:28:38.619701,1,-1.0
1,23:28:17.272882,23:28:38.819442,1,-1.0
1,23:28:17.272882,23:28:39.031205,1,-1.0
1,23:28:17.272882,23:28:39.253213,1,-1.0
1,23:28:17.272882,23:28:39.437956,1,-1.0
1,23:28:17.272882,23:28:39.647283,1,-1.0
1,23:28:17.272882,23:28:39.874252,1,-1.0
1,23:28:17.272882,23:28:40.091432,1,-1.0
1,23:28:17.272882,23:28:40.301530,1,-1.0
1,23:28:17.272882,23:28:40.520737,1,-1.0
1,23:28:17.272882,23:28:40.731376,1,-1.0
1,23:28:17.272882,23:28:40.954777,1,-1.0
1,23:28:17.272882,23:28:41.174294,1,-1.0
1,23:28:17.272882,23:28:41.391151,1,-1.0
1,23:28:17.272882,23:28:41.623921,1,-1.0
1,23:28:17.272882,23:28:42.349698,-1,-1.0
1,23:28:17.272882,23:28:42.569815,-1,-1.0
1,23:28:17.272882,23:28:42.770260,-1,-1.0
1,23:28:17.272882,23:28:42.961108,-1,-1.0
1,23:28:17.272882,23:28:43.173315,-1,-1.0
1,23:28:17.272882,23:28:43.382347,-1,-1.0
1,23:28:17.272882,23:28:43.581855,-1,-1.0
1,23:28:17.272882,23:28:44.372649,-1,-1.0
1,23:28:17.272882,23:28:44.547840,-1,-1.0
1,23:28:17.272882,23:28:44.768041,-1,-1.0
1,23:28:17.272882,23:28:44.967080,-1,-1.0
1,23:28:17.272882,23:28:45.197881,-1,-1.0
1,23:28:17.272882,23:28:45.419953,-1,-1.0
1,23:28:17.272882,23:28:45.931549,-1,-1.0
1,23:28:17.272882,23:28:46.998383,-1,-1.0
1,23:28:17.272882,23:28:47.371394,-1,-1.0
1,23:28:17.272882,23:28:47.581686,-1,-1.0
1,23:28:17.272882,23:28:47.767158,-1,-1.0
1,23:28:17.272882,23:28:47.967151,-1,-1.0
1,23:28:17.272882,23:28:48.164387,-1,-1.0
1,23:28:17.272882,23:28:48.366225,-1,-1.0
1,23:28:17.272882,23:28:48.584145,-1,-1.0
1,23:28:17.272882,23:28:48.803292,-1,-1.0
1,23:28:17.272882,23:28:49.073444,-1,-1.0
1,23:28:17.272882,23:28:49.323627,-1,-1.0
1,23:28:17.272882,23:28:49.553386,-1,-1.0
1,23:28:17.272882,23:28:49.781300,-1,-1.0
1,23:28:17.272882,23:28:50.004826,-1,-1.0
1,23:28:17.272882,23:28:50.213463,-1,-1.0
1,23:28:17.272882,23:28:50.454391,-1,-1.0
1,23:28:17.272882,23:28:50.871263,-1,-1.0
