Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:17:35.704376,23:17:38.069630,-1,-1.0
1,23:17:35.704376,23:17:38.295619,-1,-1.0
1,23:17:35.704376,23:17:38.493451,-1,-1.0
1,23:17:35.704376,23:17:38.705218,-1,-1.0
1,23:17:35.704376,23:17:38.964084,-1,-1.0
1,23:17:35.704376,23:17:39.368592,-1,-1.0
1,23:17:35.704376,23:17:39.597690,-1,-1.0
1,23:17:35.704376,23:17:39.773936,-1,-1.0
1,23:17:35.704376,23:17:40.638467,-1,-1.0
1,23:17:35.704376,23:17:40.860839,-1,-1.0
1,23:17:35.704376,23:17:41.262713,-1,-1.0
1,23:17:35.704376,23:17:42.847751,1,-1.0
1,23:17:35.704376,23:17:43.009312,1,-1.0
1,23:17:35.704376,23:17:43.205876,1,-1.0
1,23:17:35.704376,23:17:43.391698,1,-1.0
1,23:17:35.704376,23:17:43.568343,1,-1.0
1,23:17:35.704376,23:17:43.768545,1,-1.0
1,23:17:35.704376,23:17:43.965387,1,-1.0
1,23:17:35.704376,23:17:44.162515,1,-1.0
1,23:17:35.704376,23:17:44.351062,1,-1.0
1,23:17:35.704376,23:17:44.568537,1,-1.0
1,23:17:35.704376,23:17:44.743594,1,-1.0
1,23:17:35.704376,23:17:44.965737,1,-1.0
1,23:17:35.704376,23:17:45.153105,1,-1.0
1,23:17:35.704376,23:17:45.315008,1,-1.0
1,23:17:35.704376,23:17:45.587888,1,-1.0
1,23:17:35.704376,23:17:45.789179,1,-1.0
1,23:17:35.704376,23:17:45.978304,1,-1.0
1,23:17:35.704376,23:17:46.390776,-1,-1.0
1,23:17:35.704376,23:17:46.578573,-1,-1.0
1,23:17:35.704376,23:17:46.766749,-1,-1.0
1,23:17:35.704376,23:17:46.954121,-1,-1.0
1,23:17:35.704376,23:17:47.142091,-1,-1.0
1,23:17:35.704376,23:17:47.342906,-1,-1.0
1,23:17:35.704376,23:17:47.563630,-1,-1.0
1,23:17:35.704376,23:17:47.761665,-1,-1.0
1,23:17:35.704376,23:17:47.968530,-1,-1.0
1,23:17:35.704376,23:17:48.187728,-1,-1.0
1,23:17:35.704376,23:17:48.427272,-1,-1.0
1,23:17:35.704376,23:17:48.634685,-1,-1.0
1,23:17:35.704376,23:17:49.893554,-1,-1.0
1,23:17:35.704376,23:17:50.070558,-1,-1.0
1,23:17:35.704376,23:17:50.271356,-1,-1.0
1,23:17:35.704376,23:17:50.467405,-1,-1.0
1,23:17:35.704376,23:17:50.653590,-1,-1.0
1,23:17:35.704376,23:17:50.822212,-1,-1.0
1,23:17:35.704376,23:17:50.999378,-1,-1.0
1,23:17:35.704376,23:17:51.175912,-1,-1.0
1,23:17:35.704376,23:17:51.363306,-1,-1.0
1,23:17:35.704376,23:17:51.557184,-1,-1.0
1,23:17:35.704376,23:17:51.757158,-1,-1.0
1,23:17:35.704376,23:17:51.943860,-1,-1.0
1,23:17:35.704376,23:17:52.150862,-1,-1.0
1,23:17:35.704376,23:17:52.335453,-1,-1.0
1,23:17:35.704376,23:17:52.523504,-1,-1.0
1,23:17:35.704376,23:17:52.721681,-1,-1.0
1,23:17:35.704376,23:17:52.919707,-1,-1.0
1,23:17:35.704376,23:17:53.118403,-1,-1.0
1,23:17:35.704376,23:17:53.318220,-1,-1.0
1,23:17:35.704376,23:17:53.507145,-1,-1.0
1,23:17:35.704376,23:17:53.703102,-1,-1.0
1,23:17:35.704376,23:17:53.913762,-1,-1.0
1,23:17:35.704376,23:17:54.123620,-1,-1.0
1,23:17:35.704376,23:17:54.341069,-1,-1.0
1,23:17:35.704376,23:17:54.560413,-1,-1.0
1,23:17:35.704376,23:17:54.760717,-1,-1.0
1,23:17:35.704376,23:17:54.969058,-1,-1.0
1,23:17:35.704376,23:17:55.201889,-1,-1.0
1,23:17:35.704376,23:17:55.411119,-1,-1.0
1,23:17:35.704376,23:17:55.629309,-1,-1.0
1,23:17:35.704376,23:17:55.860400,-1,-1.0
1,23:17:35.704376,23:17:56.058317,-1,-1.0
1,23:17:35.704376,23:17:56.294010,-1,-1.0
1,23:17:35.704376,23:17:56.499548,-1,-1.0
1,23:17:35.704376,23:17:56.731631,-1,-1.0
1,23:17:35.704376,23:17:56.983977,1,-1.0
1,23:17:35.704376,23:17:57.178577,1,-1.0
1,23:17:35.704376,23:17:57.363278,1,-1.0
1,23:17:35.704376,23:17:57.548122,1,-1.0
1,23:17:35.704376,23:17:57.744207,1,-1.0
1,23:17:35.704376,23:17:57.940360,1,-1.0
1,23:17:35.704376,23:17:58.135436,1,-1.0
1,23:17:35.704376,23:17:58.332716,1,-1.0
1,23:17:35.704376,23:17:58.508991,1,-1.0
1,23:17:35.704376,23:17:58.696293,1,-1.0
1,23:17:35.704376,23:17:58.894070,1,-1.0
1,23:17:35.704376,23:17:59.071001,1,-1.0
1,23:17:35.704376,23:17:59.321381,1,-1.0
1,23:17:35.704376,23:18:01.392202,1,-1.0
1,23:17:35.704376,23:18:01.503012,1,-1.0
1,23:17:35.704376,23:18:01.605579,1,-1.0
1,23:17:35.704376,23:18:01.739915,1,-1.0
1,23:17:35.704376,23:18:01.852384,1,-1.0
1,23:17:35.704376,23:18:01.976035,1,-1.0
1,23:17:35.704376,23:18:02.097479,1,-1.0
1,23:17:35.704376,23:18:02.221130,1,-1.0
1,23:17:35.704376,23:18:02.355815,1,-1.0
1,23:17:35.704376,23:18:02.478525,1,-1.0
1,23:17:35.704376,23:18:02.600203,1,-1.0
1,23:17:35.704376,23:18:02.735075,1,-1.0
1,23:17:35.704376,23:18:02.859167,1,-1.0
1,23:17:35.704376,23:18:02.982621,1,-1.0
1,23:17:35.704376,23:18:03.107429,1,-1.0
1,23:17:35.704376,23:18:03.230981,1,-1.0
1,23:17:35.704376,23:18:03.362642,1,-1.0
1,23:17:35.704376,23:18:03.486059,1,-1.0
1,23:17:35.704376,23:18:03.612767,1,-1.0
1,23:17:35.704376,23:18:03.735326,1,-1.0
1,23:17:35.704376,23:18:03.851156,1,-1.0
1,23:17:35.704376,23:18:03.975522,1,-1.0
1,23:17:35.704376,23:18:04.089884,1,-1.0
1,23:17:35.704376,23:18:04.211140,1,-1.0
1,23:17:35.704376,23:18:04.322735,1,-1.0
1,23:17:35.704376,23:18:04.445277,1,-1.0
1,23:17:35.704376,23:18:04.578462,1,-1.0
1,23:17:35.704376,23:18:06.372003,-1,-1.0
1,23:17:35.704376,23:18:06.485176,-1,-1.0
1,23:17:35.704376,23:18:06.610593,-1,-1.0
1,23:17:35.704376,23:18:06.732844,-1,-1.0
1,23:17:35.704376,23:18:06.870419,-1,-1.0
1,23:17:35.704376,23:18:07.004797,-1,-1.0
1,23:17:35.704376,23:18:07.127810,-1,-1.0
1,23:17:35.704376,23:18:07.262372,-1,-1.0
1,23:17:35.704376,23:18:07.395096,-1,-1.0
1,23:17:35.704376,23:18:07.517709,-1,-1.0
1,23:17:35.704376,23:18:07.631926,-1,-1.0
1,23:17:35.704376,23:18:07.755658,-1,-1.0
1,23:17:35.704376,23:18:07.889849,-1,-1.0
1,23:17:35.704376,23:18:08.011022,-1,-1.0
1,23:17:35.704376,23:18:08.143272,-1,-1.0
1,23:17:35.704376,23:18:08.275501,-1,-1.0
1,23:17:35.704376,23:18:08.419519,-1,-1.0
1,23:17:35.704376,23:18:08.566960,-1,-1.0
1,23:17:35.704376,23:18:08.700309,-1,-1.0
1,23:17:35.704376,23:18:08.845212,-1,-1.0
1,23:17:35.704376,23:18:08.980113,-1,-1.0
1,23:17:35.704376,23:18:09.115153,-1,-1.0
1,23:17:35.704376,23:18:09.238531,-1,-1.0
1,23:17:35.704376,23:18:09.381308,-1,-1.0
1,23:17:35.704376,23:18:09.513582,-1,-1.0
1,23:17:35.704376,23:18:09.648807,-1,-1.0
1,23:17:35.704376,23:18:09.792475,-1,-1.0
1,23:17:35.704376,23:18:09.925707,-1,-1.0
1,23:17:35.704376,23:18:10.040181,-1,-1.0
1,23:17:35.704376,23:18:10.181767,-1,-1.0
1,23:17:35.704376,23:18:10.306095,-1,-1.0
1,23:17:35.704376,23:18:10.451092,-1,-1.0
1,23:17:35.704376,23:18:10.574119,-1,-1.0
1,23:17:35.704376,23:18:10.753257,-1,-1.0
1,23:17:35.704376,23:18:10.868959,-1,-1.0
1,23:17:35.704376,23:18:10.985550,-1,-1.0
1,23:17:35.704376,23:18:11.108383,-1,-1.0
1,23:17:35.704376,23:18:11.224051,-1,-1.0
1,23:17:35.704376,23:18:11.348383,-1,-1.0
1,23:17:35.704376,23:18:11.473280,-1,-1.0
1,23:17:35.704376,23:18:11.603375,-1,-1.0
1,23:17:35.704376,23:18:12.284575,1,-1.0
1,23:17:35.704376,23:18:12.420138,1,-1.0
1,23:17:35.704376,23:18:12.552344,1,-1.0
1,23:17:35.704376,23:18:12.686249,1,-1.0
1,23:17:35.704376,23:18:12.809334,1,-1.0
1,23:17:35.704376,23:18:12.972225,1,-1.0
1,23:17:35.704376,23:18:13.105159,1,-1.0
1,23:17:35.704376,23:18:13.248536,1,-1.0
1,23:17:35.704376,23:18:13.373657,1,-1.0
1,23:17:35.704376,23:18:13.498368,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,23:18:13.504359,23:18:13.628815,1,-1.0
2,23:18:13.504359,23:18:13.784453,1,-1.0
2,23:18:13.504359,23:18:13.928790,1,-1.0
2,23:18:13.504359,23:18:14.073038,1,-1.0
2,23:18:13.504359,23:18:14.215664,1,-1.0
2,23:18:13.504359,23:18:14.373596,1,-1.0
2,23:18:13.504359,23:18:14.498033,1,-1.0
2,23:18:13.504359,23:18:14.634289,1,-1.0
