Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:16:07.963219,23:16:09.429643,-1,-1.0
1,23:16:07.963219,23:16:09.633763,-1,-1.0
1,23:16:07.963219,23:16:09.832772,1,-1.0
1,23:16:07.963219,23:16:10.049161,1,-1.0
1,23:16:07.963219,23:16:10.231409,1,-1.0
1,23:16:07.963219,23:16:10.446438,1,-1.0
1,23:16:07.963219,23:16:10.650043,1,-1.0
1,23:16:07.963219,23:16:10.844612,1,-1.0
1,23:16:07.963219,23:16:11.039262,1,-1.0
1,23:16:07.963219,23:16:11.262897,1,-1.0
1,23:16:07.963219,23:16:11.446292,1,-1.0
1,23:16:07.963219,23:16:11.629373,1,-1.0
1,23:16:07.963219,23:16:11.820804,1,-1.0
1,23:16:07.963219,23:16:12.003497,1,-1.0
1,23:16:07.963219,23:16:12.224301,1,-1.0
1,23:16:07.963219,23:16:12.415934,1,-1.0
1,23:16:07.963219,23:16:12.631107,1,-1.0
1,23:16:07.963219,23:16:12.842785,1,-1.0
1,23:16:07.963219,23:16:13.044658,1,-1.0
1,23:16:07.963219,23:16:13.249282,1,-1.0
1,23:16:07.963219,23:16:13.454429,1,-1.0
1,23:16:07.963219,23:16:13.665900,1,-1.0
1,23:16:07.963219,23:16:13.851153,1,-1.0
1,23:16:07.963219,23:16:14.063454,1,-1.0
1,23:16:07.963219,23:16:14.267002,1,-1.0
1,23:16:07.963219,23:16:14.460418,1,-1.0
1,23:16:07.963219,23:16:14.673713,1,-1.0
1,23:16:07.963219,23:16:14.864938,1,-1.0
1,23:16:07.963219,23:16:15.083962,1,-1.0
1,23:16:07.963219,23:16:15.299571,1,-1.0
1,23:16:07.963219,23:16:15.495892,1,-1.0
1,23:16:07.963219,23:16:15.688387,1,-1.0
1,23:16:07.963219,23:16:15.903737,1,-1.0
1,23:16:07.963219,23:16:16.121578,1,-1.0
1,23:16:07.963219,23:16:16.336114,1,-1.0
1,23:16:07.963219,23:16:16.530227,1,-1.0
1,23:16:07.963219,23:16:16.733476,1,-1.0
1,23:16:07.963219,23:16:16.958016,1,-1.0
1,23:16:07.963219,23:16:17.131266,1,-1.0
1,23:16:07.963219,23:16:17.356084,1,-1.0
1,23:16:07.963219,23:16:17.560098,1,-1.0
1,23:16:07.963219,23:16:17.966000,1,-1.0
1,23:16:07.963219,23:16:19.199311,-1,-1.0
1,23:16:07.963219,23:16:19.393663,-1,-1.0
1,23:16:07.963219,23:16:19.584796,-1,-1.0
1,23:16:07.963219,23:16:19.745945,-1,-1.0
1,23:16:07.963219,23:16:19.939015,-1,-1.0
1,23:16:07.963219,23:16:20.124273,-1,-1.0
1,23:16:07.963219,23:16:20.316027,-1,-1.0
1,23:16:07.963219,23:16:20.510441,-1,-1.0
1,23:16:07.963219,23:16:20.684749,-1,-1.0
1,23:16:07.963219,23:16:20.878995,-1,-1.0
1,23:16:07.963219,23:16:21.062680,-1,-1.0
1,23:16:07.963219,23:16:21.268056,-1,-1.0
1,23:16:07.963219,23:16:21.472005,-1,-1.0
1,23:16:07.963219,23:16:21.653252,-1,-1.0
1,23:16:07.963219,23:16:21.847695,-1,-1.0
1,23:16:07.963219,23:16:22.050484,-1,-1.0
1,23:16:07.963219,23:16:22.266034,-1,-1.0
1,23:16:07.963219,23:16:22.468711,-1,-1.0
1,23:16:07.963219,23:16:22.672355,-1,-1.0
1,23:16:07.963219,23:16:22.875025,-1,-1.0
1,23:16:07.963219,23:16:23.086273,-1,-1.0
1,23:16:07.963219,23:16:23.291089,-1,-1.0
1,23:16:07.963219,23:16:23.494960,-1,-1.0
1,23:16:07.963219,23:16:23.726316,-1,-1.0
1,23:16:07.963219,23:16:23.939531,-1,-1.0
1,23:16:07.963219,23:16:24.144837,-1,-1.0
1,23:16:07.963219,23:16:24.348021,-1,-1.0
1,23:16:07.963219,23:16:24.579746,-1,-1.0
1,23:16:07.963219,23:16:24.774812,-1,-1.0
1,23:16:07.963219,23:16:24.992578,-1,-1.0
1,23:16:07.963219,23:16:25.214021,-1,-1.0
1,23:16:07.963219,23:16:25.406023,-1,-1.0
1,23:16:07.963219,23:16:25.621180,-1,-1.0
1,23:16:07.963219,23:16:25.854197,-1,-1.0
1,23:16:07.963219,23:16:26.046083,-1,-1.0
1,23:16:07.963219,23:16:26.281706,-1,-1.0
1,23:16:07.963219,23:16:26.548610,-1,-1.0
1,23:16:07.963219,23:16:26.878522,-1,-1.0
1,23:16:07.963219,23:16:27.092823,-1,-1.0
1,23:16:07.963219,23:16:27.277610,1,-1.0
1,23:16:07.963219,23:16:27.460383,1,-1.0
1,23:16:07.963219,23:16:27.662926,1,-1.0
1,23:16:07.963219,23:16:27.857494,1,-1.0
1,23:16:07.963219,23:16:28.063263,1,-1.0
1,23:16:07.963219,23:16:28.296300,1,-1.0
1,23:16:07.963219,23:16:28.511371,1,-1.0
1,23:16:07.963219,23:16:28.714786,1,-1.0
1,23:16:07.963219,23:16:28.940302,1,-1.0
1,23:16:07.963219,23:16:29.142714,1,-1.0
1,23:16:07.963219,23:16:29.356082,1,-1.0
1,23:16:07.963219,23:16:29.590143,1,-1.0
1,23:16:07.963219,23:16:29.795825,1,-1.0
1,23:16:07.963219,23:16:30.011842,1,-1.0
