Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:18:04.073069,00:18:05.502280,-1,1.0
1,00:18:04.073069,00:18:06.139417,-1,1.0
1,00:18:04.073069,00:18:06.416089,-1,1.0
1,00:18:04.073069,00:18:06.692765,-1,1.0
1,00:18:04.073069,00:18:07.117921,-1,1.0
1,00:18:04.073069,00:18:07.324904,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:18:07.328429,00:18:07.529048,-1,1.0
2,00:18:07.328429,00:18:09.119386,-1,1.0
2,00:18:07.328429,00:18:09.311590,-1,1.0
2,00:18:07.328429,00:18:09.505709,-1,1.0
2,00:18:07.328429,00:18:09.678132,-1,1.0
2,00:18:07.328429,00:18:09.871356,-1,1.0
2,00:18:07.328429,00:18:10.053940,-1,1.0
