Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:54:50.367610,11:54:51.136534,10,1.0
1,11:54:50.367610,11:54:51.581429,-10,1.0
1,11:54:50.367610,11:54:51.755265,10,1.0
1,11:54:50.367610,11:54:51.864678,10,1.0
1,11:54:50.367610,11:54:52.036286,10,1.0
1,11:54:50.367610,11:54:52.186320,10,1.0
1,11:54:50.367610,11:54:52.359958,10,1.0
1,11:54:50.367610,11:54:52.501163,10,1.0
1,11:54:50.367610,11:54:52.653104,10,1.0
1,11:54:50.367610,11:54:52.824902,10,1.0
1,11:54:50.367610,11:54:52.998300,10,1.0
1,11:54:50.367610,11:54:53.157173,10,1.0
1,11:54:50.367610,11:54:53.340593,10,1.0
1,11:54:50.367610,11:54:53.639192,10,1.0
1,11:54:50.367610,11:54:53.964056,10,1.0
1,11:54:50.367610,11:54:54.487416,-10,1.0
1,11:54:50.367610,11:54:54.630737,-10,1.0
1,11:54:50.367610,11:54:54.803332,-10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:54:54.806958,11:54:54.924026,-10,1.0
2,11:54:54.806958,11:54:55.053898,-10,1.0
2,11:54:54.806958,11:54:55.715409,10,1.0
2,11:54:54.806958,11:54:55.904447,10,1.0
2,11:54:54.806958,11:54:56.116013,-10,1.0
2,11:54:54.806958,11:54:56.278782,-10,1.0
2,11:54:54.806958,11:54:56.410471,10,1.0
2,11:54:54.806958,11:54:56.562772,10,1.0
