Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:26:09.079403,12:26:10.015541,10,1.0
1,12:26:09.079403,12:26:10.441460,-10,1.0
1,12:26:09.079403,12:26:10.631392,10,1.0
1,12:26:09.079403,12:26:10.856906,10,1.0
1,12:26:09.079403,12:26:11.093707,10,1.0
1,12:26:09.079403,12:26:11.293008,10,1.0
1,12:26:09.079403,12:26:11.525852,10,1.0
1,12:26:09.079403,12:26:11.740214,10,1.0
1,12:26:09.079403,12:26:11.966372,10,1.0
1,12:26:09.079403,12:26:12.171661,10,1.0
1,12:26:09.079403,12:26:12.383435,10,1.0
1,12:26:09.079403,12:26:12.597320,10,1.0
1,12:26:09.079403,12:26:12.833383,10,1.0
1,12:26:09.079403,12:26:13.151823,10,1.0
1,12:26:09.079403,12:26:14.024619,10,1.0
1,12:26:09.079403,12:26:14.576315,-10,1.0
1,12:26:09.079403,12:26:14.728059,-10,1.0
1,12:26:09.079403,12:26:14.866725,-10,1.0
1,12:26:09.079403,12:26:15.010402,-10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:26:15.013935,12:26:15.139974,-10,1.0
2,12:26:15.013935,12:26:16.091425,10,1.0
2,12:26:15.013935,12:26:16.266310,10,1.0
2,12:26:15.013935,12:26:16.425247,10,1.0
2,12:26:15.013935,12:26:16.585836,10,1.0
2,12:26:15.013935,12:26:16.726286,10,1.0
2,12:26:15.013935,12:26:16.865758,10,1.0
2,12:26:15.013935,12:26:16.992592,10,1.0
2,12:26:15.013935,12:26:17.135311,10,1.0
2,12:26:15.013935,12:26:17.370559,10,1.0
2,12:26:15.013935,12:26:17.757686,10,1.0
2,12:26:15.013935,12:26:18.033966,-10,1.0
2,12:26:15.013935,12:26:18.195280,-10,1.0
2,12:26:15.013935,12:26:18.344803,10,1.0
2,12:26:15.013935,12:26:18.452913,10,1.0
2,12:26:15.013935,12:26:18.626022,10,1.0
2,12:26:15.013935,12:26:18.694228,10,1.0
