Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:27:05.413115,12:27:05.647135,10,1.0
1,12:27:05.413115,12:27:06.018392,10,1.0
1,12:27:05.413115,12:27:06.430693,10,1.0
1,12:27:05.413115,12:27:07.526098,-10,1.0
1,12:27:05.413115,12:27:07.678082,-10,1.0
1,12:27:05.413115,12:27:07.828248,-10,1.0
1,12:27:05.413115,12:27:07.969673,10,1.0
1,12:27:05.413115,12:27:08.112583,10,1.0
1,12:27:05.413115,12:27:08.255673,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:27:08.258759,12:27:08.399995,10,1.0
2,12:27:08.258759,12:27:09.517205,-10,1.0
2,12:27:08.258759,12:27:10.115626,-10,1.0
2,12:27:08.258759,12:27:10.331201,-10,1.0
2,12:27:08.258759,12:27:10.511273,10,1.0
2,12:27:08.258759,12:27:10.735031,10,1.0
2,12:27:08.258759,12:27:10.949377,10,1.0
2,12:27:08.258759,12:27:11.161996,10,1.0
2,12:27:08.258759,12:27:11.396942,10,1.0
2,12:27:08.258759,12:27:11.600340,10,1.0
2,12:27:08.258759,12:27:11.805214,10,1.0
2,12:27:08.258759,12:27:12.022286,10,1.0
2,12:27:08.258759,12:27:12.246936,10,1.0
2,12:27:08.258759,12:27:12.481307,10,1.0
2,12:27:08.258759,12:27:12.736942,10,1.0
2,12:27:08.258759,12:27:13.125773,10,1.0
2,12:27:08.258759,12:27:14.211946,-10,1.0
2,12:27:08.258759,12:27:14.363628,-10,1.0
2,12:27:08.258759,12:27:14.526731,-10,1.0
2,12:27:08.258759,12:27:14.656401,-10,1.0
2,12:27:08.258759,12:27:14.808451,10,1.0
2,12:27:08.258759,12:27:14.930731,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:27:14.936738,12:27:15.054123,10,1.0
3,12:27:14.936738,12:27:15.195590,10,1.0
3,12:27:14.936738,12:27:15.733425,10,1.0
3,12:27:14.936738,12:27:15.894894,10,1.0
3,12:27:14.936738,12:27:16.253519,10,1.0
3,12:27:14.936738,12:27:16.528739,10,1.0
3,12:27:14.936738,12:27:16.750790,10,1.0
3,12:27:14.936738,12:27:17.008653,10,1.0
3,12:27:14.936738,12:27:17.190163,10,1.0
3,12:27:14.936738,12:27:17.383517,10,1.0
3,12:27:14.936738,12:27:17.584377,10,1.0
3,12:27:14.936738,12:27:17.802137,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:27:17.805136,12:27:18.036555,10,1.0
4,12:27:17.805136,12:27:18.284143,10,1.0
4,12:27:17.805136,12:27:18.527927,10,1.0
4,12:27:17.805136,12:27:18.776041,10,1.0
4,12:27:17.805136,12:27:19.023774,-10,1.0
4,12:27:17.805136,12:27:19.268259,10,1.0
4,12:27:17.805136,12:27:19.399853,10,1.0
4,12:27:17.805136,12:27:19.592979,10,1.0
4,12:27:17.805136,12:27:19.745077,10,1.0
4,12:27:17.805136,12:27:19.880012,10,1.0
4,12:27:17.805136,12:27:20.038130,10,1.0
4,12:27:17.805136,12:27:20.190454,10,1.0
4,12:27:17.805136,12:27:20.350794,10,1.0
4,12:27:17.805136,12:27:20.520938,10,1.0
4,12:27:17.805136,12:27:20.684027,10,1.0
4,12:27:17.805136,12:27:20.801192,-10,1.0
4,12:27:17.805136,12:27:20.973105,10,1.0
4,12:27:17.805136,12:27:21.154687,10,1.0
4,12:27:17.805136,12:27:21.357950,10,1.0
4,12:27:17.805136,12:27:21.547031,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:27:21.549936,12:27:21.751082,-10,1.0
