Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:53:40.485744,11:53:40.763506,10,1.0
1,11:53:40.485744,11:53:41.385365,10,1.0
1,11:53:40.485744,11:53:41.704753,10,1.0
1,11:53:40.485744,11:53:41.902127,10,1.0
1,11:53:40.485744,11:53:42.338132,-10,1.0
1,11:53:40.485744,11:53:42.502130,-10,1.0
1,11:53:40.485744,11:53:42.658332,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:53:42.661140,11:53:42.797293,-10,1.0
2,11:53:42.661140,11:53:43.413705,10,1.0
2,11:53:42.661140,11:53:44.290697,-10,1.0
2,11:53:42.661140,11:53:44.444109,10,1.0
2,11:53:42.661140,11:53:44.594492,10,1.0
2,11:53:42.661140,11:53:44.725390,10,1.0
2,11:53:42.661140,11:53:44.896895,10,1.0
2,11:53:42.661140,11:53:45.037555,10,1.0
2,11:53:42.661140,11:53:45.199960,10,1.0
2,11:53:42.661140,11:53:45.352023,10,1.0
2,11:53:42.661140,11:53:45.502016,10,1.0
2,11:53:42.661140,11:53:45.662061,10,1.0
2,11:53:42.661140,11:53:45.824232,10,1.0
2,11:53:42.661140,11:53:45.976522,10,1.0
2,11:53:42.661140,11:53:46.955681,10,1.0
2,11:53:42.661140,11:53:47.170802,-10,1.0
2,11:53:42.661140,11:53:47.289644,-10,1.0
2,11:53:42.661140,11:53:47.420654,-10,1.0
2,11:53:42.661140,11:53:47.541952,10,1.0
2,11:53:42.661140,11:53:47.650560,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,11:53:47.655775,11:53:47.792120,10,1.0
3,11:53:47.655775,11:53:47.931906,10,1.0
3,11:53:47.655775,11:53:48.343135,10,1.0
3,11:53:47.655775,11:53:48.525704,10,1.0
3,11:53:47.655775,11:53:48.668180,-10,1.0
3,11:53:47.655775,11:53:48.810934,10,1.0
3,11:53:47.655775,11:53:48.962033,10,1.0
3,11:53:47.655775,11:53:49.102973,10,1.0
3,11:53:47.655775,11:53:49.263764,10,1.0
3,11:53:47.655775,11:53:49.413110,10,1.0
3,11:53:47.655775,11:53:49.545424,10,1.0
3,11:53:47.655775,11:53:49.686083,10,1.0
3,11:53:47.655775,11:53:49.891076,10,1.0
3,11:53:47.655775,11:53:50.032037,10,1.0
3,11:53:47.655775,11:53:50.203908,10,1.0
3,11:53:47.655775,11:53:50.924167,10,1.0
3,11:53:47.655775,11:53:51.087030,10,1.0
3,11:53:47.655775,11:53:51.267665,-10,1.0
3,11:53:47.655775,11:53:51.408923,-10,1.0
3,11:53:47.655775,11:53:51.527697,10,1.0
3,11:53:47.655775,11:53:51.653319,10,1.0
3,11:53:47.655775,11:53:51.782783,10,1.0
3,11:53:47.655775,11:53:51.903344,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,11:53:51.906343,11:53:52.035453,-10,1.0
4,11:53:51.906343,11:53:52.153371,-10,1.0
4,11:53:51.906343,11:53:52.976944,-10,1.0
4,11:53:51.906343,11:53:53.095060,-10,1.0
4,11:53:51.906343,11:53:53.439011,10,1.0
4,11:53:51.906343,11:53:53.592108,10,1.0
4,11:53:51.906343,11:53:53.733648,10,1.0
4,11:53:51.906343,11:53:53.883335,10,1.0
4,11:53:51.906343,11:53:54.035986,10,1.0
4,11:53:51.906343,11:53:54.205933,10,1.0
4,11:53:51.906343,11:53:54.365165,10,1.0
4,11:53:51.906343,11:53:54.517850,10,1.0
4,11:53:51.906343,11:53:54.925747,-10,1.0
4,11:53:51.906343,11:53:55.058799,10,1.0
4,11:53:51.906343,11:53:55.180896,10,1.0
4,11:53:51.906343,11:53:55.320837,10,1.0
4,11:53:51.906343,11:53:55.442014,10,1.0
4,11:53:51.906343,11:53:55.552056,10,1.0
4,11:53:51.906343,11:53:55.694297,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,11:53:55.697189,11:53:55.834562,-10,1.0
5,11:53:55.697189,11:53:56.427391,10,1.0
5,11:53:55.697189,11:53:56.571961,10,1.0
5,11:53:55.697189,11:53:56.725422,-10,1.0
5,11:53:55.697189,11:53:56.867692,-10,1.0
5,11:53:55.697189,11:53:57.019140,10,1.0
5,11:53:55.697189,11:53:57.159115,10,1.0
5,11:53:55.697189,11:53:57.289937,10,1.0
5,11:53:55.697189,11:53:57.432043,10,1.0
5,11:53:55.697189,11:53:57.572599,10,1.0
5,11:53:55.697189,11:53:57.693568,10,1.0
5,11:53:55.697189,11:53:58.161994,-10,1.0
5,11:53:55.697189,11:53:58.364916,10,1.0
5,11:53:55.697189,11:53:58.495426,10,1.0
5,11:53:55.697189,11:53:58.647396,10,1.0
5,11:53:55.697189,11:53:58.726568,10,1.0
5,11:53:55.697189,11:53:58.941018,10,1.0
5,11:53:55.697189,11:53:59.134974,10,1.0
5,11:53:55.697189,11:53:59.286140,10,1.0
5,11:53:55.697189,11:53:59.428838,10,1.0
5,11:53:55.697189,11:53:59.612072,10,1.0
5,11:53:55.697189,11:53:59.793087,10,1.0
5,11:53:55.697189,11:53:59.966072,10,1.0
5,11:53:55.697189,11:54:00.322905,10,1.0
5,11:53:55.697189,11:54:00.602159,-10,1.0
5,11:53:55.697189,11:54:00.784880,-10,1.0
5,11:53:55.697189,11:54:00.906592,10,1.0
5,11:53:55.697189,11:54:01.039672,10,1.0
5,11:53:55.697189,11:54:01.169347,10,1.0
5,11:53:55.697189,11:54:01.289344,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,11:54:01.292961,11:54:01.433513,-10,1.0
6,11:54:01.292961,11:54:02.036902,10,1.0
6,11:54:01.292961,11:54:02.188919,10,1.0
6,11:54:01.292961,11:54:02.444843,-10,1.0
6,11:54:01.292961,11:54:02.575245,10,1.0
6,11:54:01.292961,11:54:02.726052,10,1.0
6,11:54:01.292961,11:54:02.863738,10,1.0
6,11:54:01.292961,11:54:02.995606,10,1.0
6,11:54:01.292961,11:54:03.125712,10,1.0
6,11:54:01.292961,11:54:03.278039,10,1.0
6,11:54:01.292961,11:54:03.408527,10,1.0
6,11:54:01.292961,11:54:04.101331,10,1.0
6,11:54:01.292961,11:54:04.232067,10,1.0
6,11:54:01.292961,11:54:04.382723,10,1.0
6,11:54:01.292961,11:54:04.533220,10,1.0
6,11:54:01.292961,11:54:04.727530,10,1.0
6,11:54:01.292961,11:54:04.806331,10,1.0
6,11:54:01.292961,11:54:04.958143,10,1.0
6,11:54:01.292961,11:54:05.182474,10,1.0
6,11:54:01.292961,11:54:05.385629,10,1.0
6,11:54:01.292961,11:54:05.512447,10,1.0
6,11:54:01.292961,11:54:05.674071,10,1.0
6,11:54:01.292961,11:54:05.997466,10,1.0
6,11:54:01.292961,11:54:06.226215,10,1.0
6,11:54:01.292961,11:54:06.637221,10,1.0
6,11:54:01.292961,11:54:06.980777,10,1.0
6,11:54:01.292961,11:54:07.120954,10,1.0
6,11:54:01.292961,11:54:07.252577,10,1.0
6,11:54:01.292961,11:54:07.404091,10,1.0
6,11:54:01.292961,11:54:07.534692,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,11:54:07.537654,11:54:07.656477,10,1.0
7,11:54:07.537654,11:54:08.634415,10,1.0
7,11:54:07.537654,11:54:08.827808,10,1.0
7,11:54:07.537654,11:54:08.968569,10,1.0
7,11:54:07.537654,11:54:09.183849,10,1.0
7,11:54:07.537654,11:54:09.313887,10,1.0
7,11:54:07.537654,11:54:09.485967,10,1.0
7,11:54:07.537654,11:54:09.669987,10,1.0
7,11:54:07.537654,11:54:10.048151,10,1.0
7,11:54:07.537654,11:54:10.260963,10,1.0
7,11:54:07.537654,11:54:10.414260,10,1.0
7,11:54:07.537654,11:54:10.545168,10,1.0
7,11:54:07.537654,11:54:10.665339,10,1.0
7,11:54:07.537654,11:54:10.797560,10,1.0
7,11:54:07.537654,11:54:10.927776,10,1.0
7,11:54:07.537654,11:54:11.056969,10,1.0
7,11:54:07.537654,11:54:11.181189,10,1.0
7,11:54:07.537654,11:54:11.322313,10,1.0
7,11:54:07.537654,11:54:11.474875,10,1.0
7,11:54:07.537654,11:54:11.841034,10,1.0
7,11:54:07.537654,11:54:12.267847,10,1.0
7,11:54:07.537654,11:54:12.356935,10,1.0
7,11:54:07.537654,11:54:12.519567,10,1.0
