Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:41:28.483947,00:41:29.923069,-1,1.0
1,00:41:28.483947,00:41:30.093892,1,1.0
1,00:41:28.483947,00:41:30.266886,1,1.0
1,00:41:28.483947,00:41:30.427561,1,1.0
1,00:41:28.483947,00:41:30.588086,1,1.0
1,00:41:28.483947,00:41:30.758925,1,1.0
1,00:41:28.483947,00:41:30.930038,1,1.0
1,00:41:28.483947,00:41:32.128057,-1,1.0
1,00:41:28.483947,00:41:32.301310,-1,1.0
1,00:41:28.483947,00:41:32.431482,-1,1.0
1,00:41:28.483947,00:41:32.622784,-1,1.0
1,00:41:28.483947,00:41:32.796076,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:41:32.799591,00:41:32.967821,-1,1.0
2,00:41:32.799591,00:41:34.231502,1,1.0
2,00:41:32.799591,00:41:34.393451,1,1.0
2,00:41:32.799591,00:41:34.565382,1,1.0
2,00:41:32.799591,00:41:34.727158,1,1.0
2,00:41:32.799591,00:41:34.940796,1,1.0
2,00:41:32.799591,00:41:35.110134,1,1.0
2,00:41:32.799591,00:41:35.345678,-1,1.0
2,00:41:32.799591,00:41:35.507107,-1,1.0
2,00:41:32.799591,00:41:35.667883,-1,1.0
2,00:41:32.799591,00:41:35.850877,1,1.0
2,00:41:32.799591,00:41:36.024090,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:41:36.027094,00:41:36.218126,1,1.0
3,00:41:36.027094,00:41:36.741926,1,1.0
3,00:41:36.027094,00:41:36.913875,1,1.0
3,00:41:36.027094,00:41:37.496212,1,1.0
3,00:41:36.027094,00:41:37.979309,-1,1.0
3,00:41:36.027094,00:41:38.130087,-1,1.0
3,00:41:36.027094,00:41:38.342473,1,1.0
3,00:41:36.027094,00:41:38.510022,1,1.0
3,00:41:36.027094,00:41:38.682681,1,1.0
3,00:41:36.027094,00:41:38.863932,1,1.0
3,00:41:36.027094,00:41:39.065945,1,1.0
3,00:41:36.027094,00:41:39.243697,1,1.0
3,00:41:36.027094,00:41:39.413450,1,1.0
3,00:41:36.027094,00:41:39.601526,1,1.0
3,00:41:36.027094,00:41:39.781273,1,1.0
3,00:41:36.027094,00:41:39.963786,1,1.0
3,00:41:36.027094,00:41:40.136031,1,1.0
3,00:41:36.027094,00:41:40.253688,1,1.0
3,00:41:36.027094,00:41:40.434870,1,1.0
3,00:41:36.027094,00:41:41.033831,1,1.0
3,00:41:36.027094,00:41:41.464149,1,1.0
3,00:41:36.027094,00:41:41.790446,1,1.0
3,00:41:36.027094,00:41:42.512828,1,1.0
3,00:41:36.027094,00:41:42.995855,-1,1.0
3,00:41:36.027094,00:41:43.157062,-1,1.0
3,00:41:36.027094,00:41:43.337372,1,1.0
3,00:41:36.027094,00:41:43.520443,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,00:41:43.522439,00:41:44.289305,1,1.0
4,00:41:43.522439,00:41:44.492512,1,1.0
4,00:41:43.522439,00:41:44.674271,1,1.0
4,00:41:43.522439,00:41:44.867062,1,1.0
4,00:41:43.522439,00:41:45.436839,1,1.0
4,00:41:43.522439,00:41:45.869073,-1,1.0
4,00:41:43.522439,00:41:46.006784,-1,1.0
4,00:41:43.522439,00:41:46.187890,1,1.0
4,00:41:43.522439,00:41:46.369006,1,1.0
4,00:41:43.522439,00:41:46.540946,1,1.0
4,00:41:43.522439,00:41:46.899659,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,00:41:46.902653,00:41:47.073504,-1,1.0
5,00:41:46.902653,00:41:47.693961,1,1.0
5,00:41:46.902653,00:41:47.886185,1,1.0
5,00:41:46.902653,00:41:48.078100,1,1.0
5,00:41:46.902653,00:41:48.425635,1,1.0
5,00:41:46.902653,00:41:48.943764,-1,1.0
5,00:41:46.902653,00:41:49.103658,1,1.0
5,00:41:46.902653,00:41:49.294976,1,1.0
5,00:41:46.902653,00:41:49.486632,1,1.0
5,00:41:46.902653,00:41:49.676925,1,1.0
5,00:41:46.902653,00:41:49.910022,1,1.0
5,00:41:46.902653,00:41:50.090120,1,1.0
5,00:41:46.902653,00:41:50.292634,1,1.0
5,00:41:46.902653,00:41:50.519052,1,1.0
5,00:41:46.902653,00:41:50.704263,1,1.0
5,00:41:46.902653,00:41:50.884102,1,1.0
5,00:41:46.902653,00:41:51.099245,1,1.0
5,00:41:46.902653,00:41:51.292486,1,1.0
5,00:41:46.902653,00:41:51.503937,1,1.0
5,00:41:46.902653,00:41:51.696520,1,1.0
5,00:41:46.902653,00:41:51.930376,1,1.0
5,00:41:46.902653,00:41:52.501774,1,1.0
5,00:41:46.902653,00:41:53.768709,1,1.0
5,00:41:46.902653,00:41:53.931572,1,1.0
5,00:41:46.902653,00:41:54.113916,1,1.0
5,00:41:46.902653,00:41:54.316986,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,00:41:54.321427,00:41:54.532084,-1,1.0
6,00:41:54.321427,00:41:55.181550,1,1.0
6,00:41:54.321427,00:41:55.699232,1,1.0
6,00:41:54.321427,00:41:55.860765,1,1.0
6,00:41:54.321427,00:41:56.032683,1,1.0
6,00:41:54.321427,00:41:56.454582,1,1.0
6,00:41:54.321427,00:41:57.647171,1,1.0
6,00:41:54.321427,00:41:57.807103,1,1.0
6,00:41:54.321427,00:41:57.978947,1,1.0
6,00:41:54.321427,00:41:58.162562,1,1.0
6,00:41:54.321427,00:41:58.346361,1,1.0
6,00:41:54.321427,00:41:58.539147,1,1.0
6,00:41:54.321427,00:41:58.741625,1,1.0
6,00:41:54.321427,00:41:58.924920,1,1.0
6,00:41:54.321427,00:41:59.158231,1,1.0
6,00:41:54.321427,00:41:59.831458,-1,1.0
6,00:41:54.321427,00:41:59.962508,1,1.0
6,00:41:54.321427,00:42:00.321896,1,1.0
6,00:41:54.321427,00:42:00.493664,1,1.0
6,00:41:54.321427,00:42:00.718436,1,1.0
6,00:41:54.321427,00:42:00.949570,1,1.0
6,00:41:54.321427,00:42:01.163766,1,1.0
6,00:41:54.321427,00:42:01.355827,1,1.0
6,00:41:54.321427,00:42:01.570732,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,00:42:01.572524,00:42:01.778923,1,1.0
7,00:42:01.572524,00:42:02.527060,1,1.0
7,00:42:01.572524,00:42:02.905654,1,1.0
7,00:42:01.572524,00:42:04.080160,1,1.0
7,00:42:01.572524,00:42:04.251218,1,1.0
7,00:42:01.572524,00:42:04.446361,1,1.0
7,00:42:01.572524,00:42:04.637027,1,1.0
7,00:42:01.572524,00:42:04.859051,1,1.0
7,00:42:01.572524,00:42:05.081735,1,1.0
7,00:42:01.572524,00:42:05.315906,1,1.0
7,00:42:01.572524,00:42:05.532858,1,1.0
7,00:42:01.572524,00:42:05.811176,1,1.0
7,00:42:01.572524,00:42:06.548960,1,1.0
7,00:42:01.572524,00:42:07.649496,1,1.0
7,00:42:01.572524,00:42:07.832517,1,1.0
7,00:42:01.572524,00:42:08.025583,1,1.0
7,00:42:01.572524,00:42:08.219110,1,1.0
7,00:42:01.572524,00:42:08.412322,1,1.0
7,00:42:01.572524,00:42:08.615310,1,1.0
7,00:42:01.572524,00:42:08.819278,1,1.0
7,00:42:01.572524,00:42:09.010515,1,1.0
7,00:42:01.572524,00:42:09.204717,1,1.0
7,00:42:01.572524,00:42:09.419109,1,1.0
7,00:42:01.572524,00:42:09.632199,1,1.0
7,00:42:01.572524,00:42:10.054610,1,1.0
7,00:42:01.572524,00:42:11.137952,1,1.0
7,00:42:01.572524,00:42:11.319152,1,1.0
7,00:42:01.572524,00:42:11.490958,1,1.0
7,00:42:01.572524,00:42:11.685615,1,1.0
7,00:42:01.572524,00:42:11.889436,1,1.0
7,00:42:01.572524,00:42:12.092722,1,1.0
7,00:42:01.572524,00:42:12.316869,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,00:42:12.319826,00:42:12.519998,1,1.0
8,00:42:12.319826,00:42:13.644856,1,1.0
8,00:42:12.319826,00:42:13.826457,1,1.0
8,00:42:12.319826,00:42:14.018960,1,1.0
8,00:42:12.319826,00:42:14.201507,1,1.0
8,00:42:12.319826,00:42:14.393645,1,1.0
8,00:42:12.319826,00:42:14.585777,1,1.0
8,00:42:12.319826,00:42:15.236636,1,1.0
8,00:42:12.319826,00:42:15.420296,1,1.0
8,00:42:12.319826,00:42:15.603023,1,1.0
8,00:42:12.319826,00:42:15.803878,1,1.0
8,00:42:12.319826,00:42:16.005517,1,1.0
8,00:42:12.319826,00:42:16.209041,1,1.0
8,00:42:12.319826,00:42:16.394180,1,1.0
8,00:42:12.319826,00:42:16.588110,1,1.0
8,00:42:12.319826,00:42:16.812348,1,1.0
8,00:42:12.319826,00:42:17.364984,1,1.0
8,00:42:12.319826,00:42:17.907273,1,1.0
8,00:42:12.319826,00:42:18.069638,1,1.0
8,00:42:12.319826,00:42:18.269440,1,1.0
8,00:42:12.319826,00:42:18.461882,1,1.0
8,00:42:12.319826,00:42:18.645427,1,1.0
8,00:42:12.319826,00:42:18.859054,1,1.0
8,00:42:12.319826,00:42:19.052622,1,1.0
8,00:42:12.319826,00:42:19.245294,1,1.0
8,00:42:12.319826,00:42:19.445938,1,1.0
8,00:42:12.319826,00:42:19.626118,1,1.0
8,00:42:12.319826,00:42:19.806887,1,1.0
8,00:42:12.319826,00:42:20.019198,1,1.0
8,00:42:12.319826,00:42:20.213620,1,1.0
8,00:42:12.319826,00:42:20.416213,1,1.0
8,00:42:12.319826,00:42:21.529018,1,1.0
8,00:42:12.319826,00:42:21.679318,1,1.0
8,00:42:12.319826,00:42:21.850806,1,1.0
8,00:42:12.319826,00:42:22.045400,1,1.0
8,00:42:12.319826,00:42:22.248997,1,1.0
8,00:42:12.319826,00:42:22.452644,1,1.0
8,00:42:12.319826,00:42:22.666654,1,1.0
8,00:42:12.319826,00:42:22.847107,1,1.0
8,00:42:12.319826,00:42:23.030994,1,1.0
8,00:42:12.319826,00:42:23.213550,1,1.0
8,00:42:12.319826,00:42:23.395944,1,1.0
8,00:42:12.319826,00:42:23.577291,1,1.0
8,00:42:12.319826,00:42:23.760523,1,1.0
8,00:42:12.319826,00:42:23.963283,1,1.0
8,00:42:12.319826,00:42:24.144718,1,1.0
8,00:42:12.319826,00:42:24.347949,1,1.0
8,00:42:12.319826,00:42:25.449086,1,1.0
8,00:42:12.319826,00:42:25.609630,1,1.0
8,00:42:12.319826,00:42:25.781407,1,1.0
8,00:42:12.319826,00:42:25.963203,1,1.0
