Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:27:20.928815,00:27:24.210108,1,1.0
1,00:27:20.928815,00:27:24.698258,-4,1.0
1,00:27:20.928815,00:27:24.860574,1,1.0
1,00:27:20.928815,00:27:25.021722,1,1.0
1,00:27:20.928815,00:27:25.152569,1,1.0
1,00:27:20.928815,00:27:25.282049,1,1.0
1,00:27:20.928815,00:27:25.413366,1,1.0
1,00:27:20.928815,00:27:25.556101,1,1.0
1,00:27:20.928815,00:27:25.687830,1,1.0
1,00:27:20.928815,00:27:25.827487,1,1.0
1,00:27:20.928815,00:27:25.969847,1,1.0
1,00:27:20.928815,00:27:26.110993,1,1.0
1,00:27:20.928815,00:27:26.240696,1,1.0
1,00:27:20.928815,00:27:26.370597,1,1.0
1,00:27:20.928815,00:27:26.522391,-4,1.0
1,00:27:20.928815,00:27:26.673393,-4,1.0
1,00:27:20.928815,00:27:26.865320,-4,1.0
1,00:27:20.928815,00:27:27.057527,1,1.0
1,00:27:20.928815,00:27:27.218542,1,1.0
1,00:27:20.928815,00:27:27.358528,1,1.0
1,00:27:20.928815,00:27:27.472264,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:27:27.474768,00:27:27.600063,1,1.0
2,00:27:27.474768,00:27:27.720437,1,1.0
2,00:27:27.474768,00:27:29.117223,-4,1.0
2,00:27:27.474768,00:27:29.239351,-4,1.0
2,00:27:27.474768,00:27:29.369959,1,1.0
2,00:27:27.474768,00:27:29.501195,1,1.0
2,00:27:27.474768,00:27:29.630564,1,1.0
2,00:27:27.474768,00:27:29.750180,1,1.0
2,00:27:27.474768,00:27:29.890140,1,1.0
2,00:27:27.474768,00:27:30.032588,1,1.0
2,00:27:27.474768,00:27:30.163471,1,1.0
2,00:27:27.474768,00:27:30.290662,1,1.0
2,00:27:27.474768,00:27:30.420085,1,1.0
2,00:27:27.474768,00:27:30.560082,1,1.0
2,00:27:27.474768,00:27:30.700350,1,1.0
2,00:27:27.474768,00:27:30.830729,1,1.0
2,00:27:27.474768,00:27:30.983389,1,1.0
2,00:27:27.474768,00:27:31.438501,1,1.0
2,00:27:27.474768,00:27:31.526996,1,1.0
2,00:27:27.474768,00:27:31.616660,1,1.0
2,00:27:27.474768,00:27:31.726524,1,1.0
2,00:27:27.474768,00:27:31.875114,-4,1.0
2,00:27:27.474768,00:27:32.006847,1,1.0
2,00:27:27.474768,00:27:32.136842,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:27:32.138837,00:27:32.252322,-4,1.0
3,00:27:32.138837,00:27:32.383020,-4,1.0
3,00:27:32.138837,00:27:33.779971,-4,1.0
3,00:27:32.138837,00:27:33.900266,1,1.0
3,00:27:32.138837,00:27:34.040906,1,1.0
3,00:27:32.138837,00:27:34.232362,-4,1.0
3,00:27:32.138837,00:27:34.393418,1,1.0
3,00:27:32.138837,00:27:34.556015,1,1.0
3,00:27:32.138837,00:27:34.706424,1,1.0
3,00:27:32.138837,00:27:34.920953,1,1.0
3,00:27:32.138837,00:27:35.052290,1,1.0
3,00:27:32.138837,00:27:35.192440,1,1.0
3,00:27:32.138837,00:27:35.314042,1,1.0
3,00:27:32.138837,00:27:35.433393,1,1.0
3,00:27:32.138837,00:27:35.566691,1,1.0
3,00:27:32.138837,00:27:35.653728,1,1.0
3,00:27:32.138837,00:27:35.804143,1,1.0
3,00:27:32.138837,00:27:36.376029,-4,1.0
3,00:27:32.138837,00:27:36.503786,-4,1.0
3,00:27:32.138837,00:27:36.717037,-4,1.0
3,00:27:32.138837,00:27:36.890165,-4,1.0
3,00:27:32.138837,00:27:36.948596,1,1.0
3,00:27:32.138837,00:27:37.053793,1,1.0
3,00:27:32.138837,00:27:37.195747,1,1.0
3,00:27:32.138837,00:27:37.307086,1,1.0
3,00:27:32.138837,00:27:37.427456,1,1.0
3,00:27:32.138837,00:27:37.560181,1,1.0
3,00:27:32.138837,00:27:37.691523,1,1.0
3,00:27:32.138837,00:27:37.822728,1,1.0
3,00:27:32.138837,00:27:37.952071,1,1.0
3,00:27:32.138837,00:27:38.071610,1,1.0
3,00:27:32.138837,00:27:38.181806,1,1.0
3,00:27:32.138837,00:27:38.313549,1,1.0
3,00:27:32.138837,00:27:38.433395,1,1.0
3,00:27:32.138837,00:27:38.563494,1,1.0
3,00:27:32.138837,00:27:38.767824,-4,1.0
3,00:27:32.138837,00:27:38.929709,1,1.0
3,00:27:32.138837,00:27:39.040653,1,1.0
3,00:27:32.138837,00:27:39.161026,1,1.0
3,00:27:32.138837,00:27:39.290677,1,1.0
3,00:27:32.138837,00:27:39.419473,1,1.0
3,00:27:32.138837,00:27:39.550311,1,1.0
3,00:27:32.138837,00:27:39.679607,1,1.0
3,00:27:32.138837,00:27:39.808792,1,1.0
3,00:27:32.138837,00:27:39.928638,1,1.0
3,00:27:32.138837,00:27:40.039691,1,1.0
3,00:27:32.138837,00:27:40.149059,1,1.0
3,00:27:32.138837,00:27:40.279694,1,1.0
3,00:27:32.138837,00:27:40.400210,1,1.0
3,00:27:32.138837,00:27:40.509509,1,1.0
3,00:27:32.138837,00:27:40.650465,1,1.0
3,00:27:32.138837,00:27:43.940181,-4,1.0
3,00:27:32.138837,00:27:44.069870,-4,1.0
3,00:27:32.138837,00:27:44.200597,1,1.0
3,00:27:32.138837,00:27:44.320615,1,1.0
3,00:27:32.138837,00:27:44.460557,1,1.0
