Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:44:53.870131,00:44:57.566782,-1,1.0
1,00:44:53.870131,00:44:57.916848,1,1.0
1,00:44:53.870131,00:44:58.139184,1,1.0
1,00:44:53.870131,00:44:58.350954,1,1.0
1,00:44:53.870131,00:44:58.511902,1,1.0
1,00:44:53.870131,00:44:58.671518,1,1.0
1,00:44:53.870131,00:44:58.854071,1,1.0
1,00:44:53.870131,00:44:59.000893,1,1.0
1,00:44:53.870131,00:44:59.191383,1,1.0
1,00:44:53.870131,00:44:59.351592,1,1.0
1,00:44:53.870131,00:44:59.532503,1,1.0
1,00:44:53.870131,00:44:59.725405,1,1.0
1,00:44:53.870131,00:45:00.240178,1,1.0
1,00:44:53.870131,00:45:00.538447,1,1.0
1,00:44:53.870131,00:45:00.948850,1,1.0
1,00:44:53.870131,00:45:01.655128,1,1.0
1,00:44:53.870131,00:45:02.712956,-1,1.0
1,00:44:53.870131,00:45:02.936866,-1,1.0
1,00:44:53.870131,00:45:03.098893,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:45:03.102889,00:45:03.206424,-1,1.0
2,00:45:03.102889,00:45:04.721051,-1,1.0
2,00:45:03.102889,00:45:04.999476,-1,1.0
2,00:45:03.102889,00:45:05.190624,-1,1.0
2,00:45:03.102889,00:45:05.362587,1,1.0
2,00:45:03.102889,00:45:05.512663,1,1.0
2,00:45:03.102889,00:45:05.671890,1,1.0
2,00:45:03.102889,00:45:05.822070,1,1.0
2,00:45:03.102889,00:45:06.003581,1,1.0
2,00:45:03.102889,00:45:06.153970,1,1.0
2,00:45:03.102889,00:45:06.318170,1,1.0
2,00:45:03.102889,00:45:06.490245,1,1.0
2,00:45:03.102889,00:45:06.631090,1,1.0
2,00:45:03.102889,00:45:06.782832,1,1.0
2,00:45:03.102889,00:45:06.935190,1,1.0
2,00:45:03.102889,00:45:07.086228,1,1.0
2,00:45:03.102889,00:45:07.262727,1,1.0
2,00:45:03.102889,00:45:07.697077,1,1.0
2,00:45:03.102889,00:45:08.192957,1,1.0
2,00:45:03.102889,00:45:08.771069,-1,1.0
2,00:45:03.102889,00:45:08.945260,-1,1.0
2,00:45:03.102889,00:45:09.107876,1,1.0
2,00:45:03.102889,00:45:09.260132,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:45:09.264125,00:45:09.428275,1,1.0
3,00:45:09.264125,00:45:10.015494,1,1.0
3,00:45:09.264125,00:45:10.197474,1,1.0
3,00:45:09.264125,00:45:10.369617,1,1.0
3,00:45:09.264125,00:45:10.835952,1,1.0
3,00:45:09.264125,00:45:11.458383,1,1.0
3,00:45:09.264125,00:45:11.627815,1,1.0
3,00:45:09.264125,00:45:11.767607,1,1.0
3,00:45:09.264125,00:45:11.910146,1,1.0
3,00:45:09.264125,00:45:12.039648,1,1.0
3,00:45:09.264125,00:45:12.171036,1,1.0
3,00:45:09.264125,00:45:12.280751,1,1.0
3,00:45:09.264125,00:45:12.401662,1,1.0
3,00:45:09.264125,00:45:12.544357,1,1.0
3,00:45:09.264125,00:45:12.674511,1,1.0
3,00:45:09.264125,00:45:12.826350,1,1.0
3,00:45:09.264125,00:45:12.968269,1,1.0
3,00:45:09.264125,00:45:13.808325,-1,1.0
3,00:45:09.264125,00:45:13.969708,1,1.0
3,00:45:09.264125,00:45:14.133560,1,1.0
3,00:45:09.264125,00:45:14.295223,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,00:45:14.297306,00:45:14.443003,-1,1.0
4,00:45:14.297306,00:45:15.868335,-1,1.0
4,00:45:14.297306,00:45:16.040132,1,1.0
4,00:45:14.297306,00:45:16.204303,1,1.0
4,00:45:14.297306,00:45:16.365469,1,1.0
4,00:45:14.297306,00:45:16.548367,1,1.0
4,00:45:14.297306,00:45:16.699903,1,1.0
4,00:45:14.297306,00:45:16.871102,1,1.0
4,00:45:14.297306,00:45:17.042203,1,1.0
4,00:45:14.297306,00:45:17.412269,1,1.0
4,00:45:14.297306,00:45:18.093674,-1,1.0
4,00:45:14.297306,00:45:18.253689,1,1.0
4,00:45:14.297306,00:45:18.425398,1,1.0
4,00:45:14.297306,00:45:18.577218,1,1.0
4,00:45:14.297306,00:45:18.705573,1,1.0
4,00:45:14.297306,00:45:18.814016,1,1.0
4,00:45:14.297306,00:45:18.963563,1,1.0
4,00:45:14.297306,00:45:19.146127,1,1.0
4,00:45:14.297306,00:45:19.287588,1,1.0
4,00:45:14.297306,00:45:19.438203,1,1.0
4,00:45:14.297306,00:45:19.566489,1,1.0
4,00:45:14.297306,00:45:19.695699,1,1.0
4,00:45:14.297306,00:45:19.835255,1,1.0
4,00:45:14.297306,00:45:19.976097,1,1.0
4,00:45:14.297306,00:45:20.117992,1,1.0
4,00:45:14.297306,00:45:20.580366,1,1.0
4,00:45:14.297306,00:45:21.032212,1,1.0
4,00:45:14.297306,00:45:21.435391,1,1.0
4,00:45:14.297306,00:45:21.585675,1,1.0
4,00:45:14.297306,00:45:21.759903,1,1.0
4,00:45:14.297306,00:45:21.931075,1,1.0
4,00:45:14.297306,00:45:22.103076,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,00:45:22.106181,00:45:22.278079,1,1.0
5,00:45:22.106181,00:45:22.855309,1,1.0
5,00:45:22.106181,00:45:23.216724,1,1.0
5,00:45:22.106181,00:45:24.092575,1,1.0
5,00:45:22.106181,00:45:24.262769,1,1.0
5,00:45:22.106181,00:45:24.413079,1,1.0
5,00:45:22.106181,00:45:24.556343,1,1.0
5,00:45:22.106181,00:45:24.687666,1,1.0
5,00:45:22.106181,00:45:24.837520,1,1.0
5,00:45:22.106181,00:45:24.977340,1,1.0
5,00:45:22.106181,00:45:25.118018,1,1.0
5,00:45:22.106181,00:45:25.384459,1,1.0
5,00:45:22.106181,00:45:26.231422,1,1.0
5,00:45:22.106181,00:45:26.800627,1,1.0
5,00:45:22.106181,00:45:26.972696,1,1.0
5,00:45:22.106181,00:45:27.132562,1,1.0
5,00:45:22.106181,00:45:27.292383,1,1.0
5,00:45:22.106181,00:45:27.444839,1,1.0
5,00:45:22.106181,00:45:27.617579,1,1.0
5,00:45:22.106181,00:45:27.768812,1,1.0
5,00:45:22.106181,00:45:27.919622,1,1.0
5,00:45:22.106181,00:45:28.090154,1,1.0
5,00:45:22.106181,00:45:28.261543,1,1.0
5,00:45:22.106181,00:45:28.411274,1,1.0
5,00:45:22.106181,00:45:28.615166,1,1.0
5,00:45:22.106181,00:45:28.765268,1,1.0
5,00:45:22.106181,00:45:28.968029,1,1.0
5,00:45:22.106181,00:45:29.129844,1,1.0
5,00:45:22.106181,00:45:29.352743,1,1.0
5,00:45:22.106181,00:45:29.762908,1,1.0
5,00:45:22.106181,00:45:30.225600,1,1.0
5,00:45:22.106181,00:45:30.387332,1,1.0
5,00:45:22.106181,00:45:30.548073,1,1.0
5,00:45:22.106181,00:45:30.688967,1,1.0
5,00:45:22.106181,00:45:30.819840,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,00:45:30.822543,00:45:30.950842,-1,1.0
6,00:45:30.822543,00:45:31.081242,-1,1.0
6,00:45:30.822543,00:45:31.573301,1,1.0
6,00:45:30.822543,00:45:31.724521,-1,1.0
6,00:45:30.822543,00:45:31.875229,-1,1.0
6,00:45:30.822543,00:45:32.035378,-1,1.0
6,00:45:30.822543,00:45:32.864252,-1,1.0
6,00:45:30.822543,00:45:57.220583,1,1.0
6,00:45:30.822543,00:45:57.360829,1,1.0
6,00:45:30.822543,00:45:57.500796,1,1.0
6,00:45:30.822543,00:45:57.680839,1,1.0
6,00:45:30.822543,00:45:57.794113,1,1.0
6,00:45:30.822543,00:45:57.937054,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,00:45:57.940113,00:45:58.088788,1,1.0
7,00:45:57.940113,00:45:58.802364,1,1.0
7,00:45:57.940113,00:45:58.964183,1,1.0
7,00:45:57.940113,00:45:59.128792,1,1.0
7,00:45:57.940113,00:45:59.280858,1,1.0
7,00:45:57.940113,00:45:59.670556,1,1.0
7,00:45:57.940113,00:45:59.834310,1,1.0
7,00:45:57.940113,00:45:59.993410,1,1.0
7,00:45:57.940113,00:46:00.136152,1,1.0
7,00:45:57.940113,00:46:00.277758,1,1.0
7,00:45:57.940113,00:46:00.430285,1,1.0
7,00:45:57.940113,00:46:00.560901,1,1.0
7,00:45:57.940113,00:46:00.752573,1,1.0
7,00:45:57.940113,00:46:00.875167,1,1.0
7,00:45:57.940113,00:46:01.288912,1,1.0
7,00:45:57.940113,00:46:01.491080,1,1.0
7,00:45:57.940113,00:46:02.039201,1,1.0
7,00:45:57.940113,00:46:02.400637,1,1.0
7,00:45:57.940113,00:46:02.553978,1,1.0
7,00:45:57.940113,00:46:02.702778,1,1.0
7,00:45:57.940113,00:46:02.843105,1,1.0
7,00:45:57.940113,00:46:02.973219,1,1.0
7,00:45:57.940113,00:46:03.092611,1,1.0
7,00:45:57.940113,00:46:03.234285,1,1.0
7,00:45:57.940113,00:46:03.375820,1,1.0
7,00:45:57.940113,00:46:03.507280,1,1.0
7,00:45:57.940113,00:46:03.627801,1,1.0
7,00:45:57.940113,00:46:03.758725,1,1.0
7,00:45:57.940113,00:46:03.889974,1,1.0
7,00:45:57.940113,00:46:04.030611,1,1.0
7,00:45:57.940113,00:46:04.171439,1,1.0
7,00:45:57.940113,00:46:04.300395,1,1.0
7,00:45:57.940113,00:46:04.800473,1,1.0
7,00:45:57.940113,00:46:06.094170,1,1.0
7,00:45:57.940113,00:46:06.264048,1,1.0
7,00:45:57.940113,00:46:06.402434,1,1.0
7,00:45:57.940113,00:46:06.552293,1,1.0
7,00:45:57.940113,00:46:06.694055,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,00:46:06.696501,00:46:06.842028,1,1.0
8,00:46:06.696501,00:46:08.882705,1,1.0
8,00:46:06.696501,00:46:09.020110,1,1.0
8,00:46:06.696501,00:46:09.149542,1,1.0
