Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:31:14.640095,00:31:16.323193,-6,1.0
1,00:31:14.640095,00:31:16.591002,2,1.0
1,00:31:14.640095,00:31:16.784164,2,1.0
1,00:31:14.640095,00:31:17.196069,2,1.0
1,00:31:14.640095,00:31:17.595937,2,1.0
1,00:31:14.640095,00:31:17.967796,2,1.0
1,00:31:14.640095,00:31:23.743305,-6,1.0
1,00:31:14.640095,00:31:24.143231,-6,1.0
1,00:31:14.640095,00:31:24.344401,2,1.0
1,00:31:14.640095,00:31:24.507604,2,1.0
1,00:31:14.640095,00:31:24.688568,2,1.0
1,00:31:14.640095,00:31:24.871244,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:31:24.874755,00:31:25.074925,2,1.0
2,00:31:24.874755,00:31:25.863292,2,1.0
2,00:31:24.874755,00:31:26.273899,2,1.0
2,00:31:24.874755,00:31:27.109783,2,1.0
2,00:31:24.874755,00:31:28.048290,-6,1.0
2,00:31:24.874755,00:31:28.618026,-6,1.0
2,00:31:24.874755,00:31:28.914031,2,1.0
2,00:31:24.874755,00:31:29.296081,2,1.0
2,00:31:24.874755,00:31:29.626022,2,1.0
2,00:31:24.874755,00:31:29.977116,2,1.0
2,00:31:24.874755,00:31:30.338723,2,1.0
2,00:31:24.874755,00:31:30.678453,2,1.0
2,00:31:24.874755,00:31:31.029353,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:31:31.032193,00:31:32.421174,-6,1.0
3,00:31:31.032193,00:31:35.308182,-6,1.0
3,00:31:31.032193,00:31:36.521052,-6,1.0
3,00:31:31.032193,00:31:37.749381,-6,1.0
3,00:31:31.032193,00:31:38.506178,2,1.0
3,00:31:31.032193,00:31:38.887972,2,1.0
3,00:31:31.032193,00:31:39.197082,2,1.0
3,00:31:31.032193,00:31:39.513066,2,1.0
3,00:31:31.032193,00:31:39.809935,2,1.0
3,00:31:31.032193,00:31:40.106086,2,1.0
3,00:31:31.032193,00:31:41.571030,-6,1.0
3,00:31:31.032193,00:31:42.315860,-6,1.0
3,00:31:31.032193,00:31:42.549256,2,1.0
3,00:31:31.032193,00:31:43.467813,2,1.0
3,00:31:31.032193,00:31:43.661522,2,1.0
3,00:31:31.032193,00:31:43.853301,2,1.0
3,00:31:31.032193,00:31:44.191595,2,1.0
3,00:31:31.032193,00:31:44.539193,2,1.0
3,00:31:31.032193,00:31:44.858009,2,1.0
3,00:31:31.032193,00:31:45.166164,2,1.0
3,00:31:31.032193,00:31:45.502010,2,1.0
3,00:31:31.032193,00:31:45.775746,2,1.0
3,00:31:31.032193,00:31:45.977915,2,1.0
3,00:31:31.032193,00:31:46.167255,2,1.0
3,00:31:31.032193,00:31:46.349606,2,1.0
3,00:31:31.032193,00:31:46.532508,2,1.0
3,00:31:31.032193,00:31:46.713742,2,1.0
3,00:31:31.032193,00:31:47.198100,2,1.0
3,00:31:31.032193,00:31:47.976036,2,1.0
3,00:31:31.032193,00:31:48.864135,-6,1.0
3,00:31:31.032193,00:31:49.108122,2,1.0
3,00:31:31.032193,00:31:49.311195,2,1.0
3,00:31:31.032193,00:31:49.621633,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,00:31:49.624633,00:31:51.801439,2,1.0
4,00:31:49.624633,00:31:52.162318,2,1.0
4,00:31:49.624633,00:31:52.367152,2,1.0
4,00:31:49.624633,00:31:52.661361,2,1.0
4,00:31:49.624633,00:31:54.196715,-6,1.0
4,00:31:49.624633,00:31:55.240725,2,1.0
4,00:31:49.624633,00:31:55.443704,2,1.0
4,00:31:49.624633,00:31:55.605931,2,1.0
4,00:31:49.624633,00:31:55.768152,2,1.0
4,00:31:49.624633,00:31:55.918549,2,1.0
4,00:31:49.624633,00:31:56.079969,2,1.0
4,00:31:49.624633,00:31:56.243012,2,1.0
4,00:31:49.624633,00:31:56.403648,2,1.0
4,00:31:49.624633,00:31:56.783195,2,1.0
4,00:31:49.624633,00:31:56.953370,2,1.0
4,00:31:49.624633,00:31:57.096131,2,1.0
4,00:31:49.624633,00:31:57.494282,2,1.0
4,00:31:49.624633,00:31:59.516863,-6,1.0
4,00:31:49.624633,00:32:00.825213,2,1.0
4,00:31:49.624633,00:32:01.048811,2,1.0
4,00:31:49.624633,00:32:01.231614,2,1.0
4,00:31:49.624633,00:32:01.413467,2,1.0
4,00:31:49.624633,00:32:01.597847,2,1.0
4,00:31:49.624633,00:32:01.769613,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,00:32:01.772612,00:32:01.959917,-6,1.0
5,00:32:01.772612,00:32:03.030900,2,1.0
5,00:32:01.772612,00:32:03.221984,2,1.0
5,00:32:01.772612,00:32:03.382141,2,1.0
5,00:32:01.772612,00:32:03.532578,2,1.0
5,00:32:01.772612,00:32:04.388454,2,1.0
5,00:32:01.772612,00:32:04.853276,2,1.0
5,00:32:01.772612,00:32:05.255994,2,1.0
5,00:32:01.772612,00:32:05.520408,2,1.0
5,00:32:01.772612,00:32:05.798312,2,1.0
5,00:32:01.772612,00:32:06.053310,2,1.0
5,00:32:01.772612,00:32:06.389759,2,1.0
5,00:32:01.772612,00:32:06.593304,2,1.0
5,00:32:01.772612,00:32:06.806298,2,1.0
5,00:32:01.772612,00:32:07.059529,2,1.0
5,00:32:01.772612,00:32:07.396828,2,1.0
5,00:32:01.772612,00:32:07.790312,2,1.0
5,00:32:01.772612,00:32:09.066069,-6,1.0
5,00:32:01.772612,00:32:09.970670,2,1.0
5,00:32:01.772612,00:32:10.131198,2,1.0
5,00:32:01.772612,00:32:10.294027,2,1.0
5,00:32:01.772612,00:32:10.444937,2,1.0
5,00:32:01.772612,00:32:10.585992,2,1.0
5,00:32:01.772612,00:32:10.727718,2,1.0
5,00:32:01.772612,00:32:10.878736,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,00:32:10.881634,00:32:12.931937,2,1.0
6,00:32:10.881634,00:32:13.429284,2,1.0
6,00:32:10.881634,00:32:17.295749,-6,1.0
6,00:32:10.881634,00:32:18.021827,2,1.0
6,00:32:10.881634,00:32:18.203293,2,1.0
6,00:32:10.881634,00:32:18.374169,2,1.0
6,00:32:10.881634,00:32:18.555923,2,1.0
6,00:32:10.881634,00:32:18.852456,2,1.0
6,00:32:10.881634,00:32:19.287460,2,1.0
6,00:32:10.881634,00:32:19.624989,2,1.0
6,00:32:10.881634,00:32:20.225872,2,1.0
6,00:32:10.881634,00:32:21.180665,-6,1.0
6,00:32:10.881634,00:32:21.959704,2,1.0
6,00:32:10.881634,00:32:22.213653,2,1.0
6,00:32:10.881634,00:32:22.447862,2,1.0
6,00:32:10.881634,00:32:22.769674,2,1.0
6,00:32:10.881634,00:32:23.069027,2,1.0
6,00:32:10.881634,00:32:23.419125,2,1.0
6,00:32:10.881634,00:32:23.759191,2,1.0
6,00:32:10.881634,00:32:24.094687,2,1.0
6,00:32:10.881634,00:32:24.424499,2,1.0
6,00:32:10.881634,00:32:24.681637,2,1.0
6,00:32:10.881634,00:32:24.926074,2,1.0
6,00:32:10.881634,00:32:25.108564,2,1.0
6,00:32:10.881634,00:32:25.290741,2,1.0
6,00:32:10.881634,00:32:25.493754,2,1.0
6,00:32:10.881634,00:32:26.375903,2,1.0
6,00:32:10.881634,00:32:27.298075,2,1.0
6,00:32:10.881634,00:32:27.804316,2,1.0
6,00:32:10.881634,00:32:28.103823,2,1.0
6,00:32:10.881634,00:32:28.328268,2,1.0
6,00:32:10.881634,00:32:28.549501,2,1.0
6,00:32:10.881634,00:32:28.765971,2,1.0
6,00:32:10.881634,00:32:28.976307,2,1.0
6,00:32:10.881634,00:32:29.180302,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,00:32:29.183192,00:32:29.389045,2,1.0
7,00:32:29.183192,00:32:30.189545,2,1.0
7,00:32:29.183192,00:32:30.427726,2,1.0
7,00:32:29.183192,00:32:31.234925,2,1.0
7,00:32:29.183192,00:32:32.951854,-6,1.0
7,00:32:29.183192,00:32:33.745215,2,1.0
7,00:32:29.183192,00:32:33.916595,2,1.0
7,00:32:29.183192,00:32:34.087774,2,1.0
7,00:32:29.183192,00:32:34.258693,2,1.0
7,00:32:29.183192,00:32:34.431679,2,1.0
7,00:32:29.183192,00:32:34.611446,2,1.0
7,00:32:29.183192,00:32:34.794812,2,1.0
7,00:32:29.183192,00:32:34.977728,2,1.0
7,00:32:29.183192,00:32:35.348188,2,1.0
7,00:32:29.183192,00:32:35.511500,2,1.0
7,00:32:29.183192,00:32:35.694669,2,1.0
7,00:32:29.183192,00:32:35.875950,2,1.0
7,00:32:29.183192,00:32:37.519988,-6,1.0
7,00:32:29.183192,00:32:38.435983,2,1.0
7,00:32:29.183192,00:32:38.692940,2,1.0
7,00:32:29.183192,00:32:38.884016,2,1.0
7,00:32:29.183192,00:32:39.065832,2,1.0
7,00:32:29.183192,00:32:39.249210,2,1.0
7,00:32:29.183192,00:32:39.439065,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,00:32:39.443065,00:32:39.642665,-6,1.0
8,00:32:39.443065,00:32:40.179952,2,1.0
8,00:32:39.443065,00:32:40.346090,2,1.0
8,00:32:39.443065,00:32:40.529406,2,1.0
8,00:32:39.443065,00:32:40.710657,-6,1.0
8,00:32:39.443065,00:32:41.520597,2,1.0
8,00:32:39.443065,00:32:41.898498,2,1.0
8,00:32:39.443065,00:32:42.080424,2,1.0
8,00:32:39.443065,00:32:42.270786,2,1.0
8,00:32:39.443065,00:32:42.471466,2,1.0
8,00:32:39.443065,00:32:42.923241,2,1.0
8,00:32:39.443065,00:32:43.180004,2,1.0
8,00:32:39.443065,00:32:43.519397,2,1.0
8,00:32:39.443065,00:32:45.263478,2,1.0
8,00:32:39.443065,00:32:45.848797,2,1.0
8,00:32:39.443065,00:32:46.165912,2,1.0
8,00:32:39.443065,00:32:46.411194,2,1.0
8,00:32:39.443065,00:32:46.686129,2,1.0
8,00:32:39.443065,00:32:46.917398,2,1.0
8,00:32:39.443065,00:32:47.135940,2,1.0
8,00:32:39.443065,00:32:47.339204,2,1.0
8,00:32:39.443065,00:32:47.534563,2,1.0
8,00:32:39.443065,00:32:47.695926,2,1.0
8,00:32:39.443065,00:32:47.836031,2,1.0
8,00:32:39.443065,00:32:48.028190,2,1.0
8,00:32:39.443065,00:32:48.168853,2,1.0
8,00:32:39.443065,00:32:48.341602,2,1.0
8,00:32:39.443065,00:32:48.513067,2,1.0
8,00:32:39.443065,00:32:49.080756,2,1.0
8,00:32:39.443065,00:32:49.838129,2,1.0
8,00:32:39.443065,00:32:50.229650,2,1.0
8,00:32:39.443065,00:32:50.413137,2,1.0
8,00:32:39.443065,00:32:50.584038,2,1.0
8,00:32:39.443065,00:32:50.774397,2,1.0
8,00:32:39.443065,00:32:50.966540,2,1.0
8,00:32:39.443065,00:32:51.180249,2,1.0
8,00:32:39.443065,00:32:51.424630,2,1.0
