Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:14:58.241518,23:14:59.010560,-1,-1.0
1,23:14:58.241518,23:14:59.172812,-1,-1.0
1,23:14:58.241518,23:14:59.366450,-1,-1.0
1,23:14:58.241518,23:14:59.537534,-1,-1.0
1,23:14:58.241518,23:14:59.720327,-1,-1.0
1,23:14:58.241518,23:14:59.903205,-1,-1.0
1,23:14:58.241518,23:15:00.097565,-1,-1.0
1,23:14:58.241518,23:15:00.287378,-1,-1.0
1,23:14:58.241518,23:15:00.478620,-1,-1.0
1,23:14:58.241518,23:15:00.682029,-1,-1.0
1,23:14:58.241518,23:15:00.876206,-1,-1.0
1,23:14:58.241518,23:15:01.078109,-1,-1.0
1,23:14:58.241518,23:15:01.271875,-1,-1.0
1,23:14:58.241518,23:15:01.463021,-1,-1.0
1,23:14:58.241518,23:15:01.666375,-1,-1.0
1,23:14:58.241518,23:15:01.882660,-1,-1.0
1,23:14:58.241518,23:15:02.105985,-1,-1.0
1,23:14:58.241518,23:15:02.309729,-1,-1.0
1,23:14:58.241518,23:15:02.523364,-1,-1.0
1,23:14:58.241518,23:15:02.727758,-1,-1.0
1,23:14:58.241518,23:15:02.934638,-1,-1.0
1,23:14:58.241518,23:15:03.154582,-1,-1.0
1,23:14:58.241518,23:15:03.356518,-1,-1.0
1,23:14:58.241518,23:15:03.568001,-1,-1.0
1,23:14:58.241518,23:15:03.782905,-1,-1.0
1,23:14:58.241518,23:15:03.983060,-1,-1.0
1,23:14:58.241518,23:15:04.196288,-1,-1.0
1,23:14:58.241518,23:15:04.408300,-1,-1.0
1,23:14:58.241518,23:15:04.598510,1,-1.0
1,23:14:58.241518,23:15:04.730398,1,-1.0
1,23:14:58.241518,23:15:04.880924,1,-1.0
1,23:14:58.241518,23:15:04.946482,1,-1.0
1,23:14:58.241518,23:15:05.024853,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
