Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:26:42.254707,00:26:44.910847,-4,1.0
1,00:26:42.254707,00:26:46.349471,1,1.0
1,00:26:42.254707,00:26:46.592438,1,1.0
1,00:26:42.254707,00:26:46.782242,1,1.0
1,00:26:42.254707,00:26:46.965079,1,1.0
1,00:26:42.254707,00:26:47.128404,1,1.0
1,00:26:42.254707,00:26:47.292981,1,1.0
1,00:26:42.254707,00:26:47.538077,1,1.0
1,00:26:42.254707,00:26:49.252817,-4,1.0
1,00:26:42.254707,00:26:49.423680,-4,1.0
1,00:26:42.254707,00:26:49.573738,1,1.0
1,00:26:42.254707,00:26:49.704314,1,1.0
1,00:26:42.254707,00:26:49.823823,1,1.0
1,00:26:42.254707,00:26:49.922686,1,1.0
1,00:26:42.254707,00:26:50.011422,1,1.0
1,00:26:42.254707,00:26:50.151204,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:26:50.154716,00:26:50.280921,1,1.0
2,00:26:50.154716,00:26:52.627287,1,1.0
2,00:26:50.154716,00:26:52.832287,1,1.0
2,00:26:50.154716,00:26:53.013996,1,1.0
2,00:26:50.154716,00:26:53.218964,1,1.0
2,00:26:50.154716,00:26:53.411107,-4,1.0
2,00:26:50.154716,00:26:53.532643,1,1.0
2,00:26:50.154716,00:26:53.670814,1,1.0
2,00:26:50.154716,00:26:53.738104,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:26:53.740786,00:26:53.878946,-4,1.0
3,00:26:53.740786,00:26:53.988979,1,1.0
3,00:26:53.740786,00:26:56.544705,-4,1.0
3,00:26:53.740786,00:26:56.697291,1,1.0
3,00:26:53.740786,00:26:56.867766,1,1.0
3,00:26:53.740786,00:26:57.028221,1,1.0
3,00:26:53.740786,00:26:57.197776,1,1.0
3,00:26:53.740786,00:26:57.338580,1,1.0
3,00:26:53.740786,00:26:57.543343,1,1.0
3,00:26:53.740786,00:26:57.724061,1,1.0
3,00:26:53.740786,00:26:57.918036,1,1.0
3,00:26:53.740786,00:26:58.236361,-4,1.0
3,00:26:53.740786,00:26:58.357039,-4,1.0
3,00:26:53.740786,00:26:58.477601,1,1.0
3,00:26:53.740786,00:26:58.608102,1,1.0
3,00:26:53.740786,00:26:58.746597,1,1.0
3,00:26:53.740786,00:26:58.867162,1,1.0
3,00:26:53.740786,00:26:59.008520,1,1.0
3,00:26:53.740786,00:26:59.140740,1,1.0
