Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:20:04.478040,00:20:05.822491,-1,1.0
1,00:20:04.478040,00:20:06.131422,-1,1.0
1,00:20:04.478040,00:20:06.385349,-1,1.0
1,00:20:04.478040,00:20:06.712345,-1,1.0
1,00:20:04.478040,00:20:06.979310,-1,1.0
1,00:20:04.478040,00:20:07.661375,-1,1.0
1,00:20:04.478040,00:20:07.980973,-1,1.0
1,00:20:04.478040,00:20:08.228004,-1,1.0
1,00:20:04.478040,00:20:08.442541,-1,1.0
1,00:20:04.478040,00:20:08.677288,-1,1.0
1,00:20:04.478040,00:20:09.546148,-1,1.0
1,00:20:04.478040,00:20:09.771982,-1,1.0
1,00:20:04.478040,00:20:09.985642,-1,1.0
1,00:20:04.478040,00:20:10.200251,-1,1.0
1,00:20:04.478040,00:20:10.403465,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:20:10.406466,00:20:10.606515,-1,1.0
2,00:20:10.406466,00:20:11.407390,-1,1.0
2,00:20:10.406466,00:20:11.590912,-1,1.0
2,00:20:10.406466,00:20:11.762009,-1,1.0
2,00:20:10.406466,00:20:11.952655,-1,1.0
2,00:20:10.406466,00:20:12.135104,-1,1.0
2,00:20:10.406466,00:20:12.308648,-1,1.0
2,00:20:10.406466,00:20:12.482182,-1,1.0
2,00:20:10.406466,00:20:12.675087,-1,1.0
2,00:20:10.406466,00:20:12.857100,-1,1.0
2,00:20:10.406466,00:20:13.061088,-1,1.0
2,00:20:10.406466,00:20:13.265054,-1,1.0
2,00:20:10.406466,00:20:13.458529,-1,1.0
2,00:20:10.406466,00:20:13.671015,-1,1.0
2,00:20:10.406466,00:20:13.874525,-1,1.0
2,00:20:10.406466,00:20:14.077718,-1,1.0
2,00:20:10.406466,00:20:14.270312,-1,1.0
2,00:20:10.406466,00:20:14.483876,-1,1.0
2,00:20:10.406466,00:20:14.685418,-1,1.0
2,00:20:10.406466,00:20:14.897651,-1,1.0
2,00:20:10.406466,00:20:15.101654,-1,1.0
2,00:20:10.406466,00:20:15.307997,-1,1.0
2,00:20:10.406466,00:20:15.522256,-1,1.0
2,00:20:10.406466,00:20:15.736978,-1,1.0
2,00:20:10.406466,00:20:16.781177,-1,1.0
2,00:20:10.406466,00:20:17.633679,1,1.0
2,00:20:10.406466,00:20:17.816891,1,1.0
2,00:20:10.406466,00:20:18.008858,1,1.0
2,00:20:10.406466,00:20:18.201274,1,1.0
2,00:20:10.406466,00:20:18.384042,1,1.0
2,00:20:10.406466,00:20:18.584204,1,1.0
2,00:20:10.406466,00:20:19.048502,-1,1.0
2,00:20:10.406466,00:20:19.220868,-1,1.0
2,00:20:10.406466,00:20:19.415386,-1,1.0
2,00:20:10.406466,00:20:19.598876,-1,1.0
2,00:20:10.406466,00:20:19.795392,-1,1.0
