Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:33:36.934581,00:33:37.732123,1,1.0
1,00:33:36.934581,00:33:37.999217,1,1.0
1,00:33:36.934581,00:33:38.171642,1,1.0
1,00:33:36.934581,00:33:38.352661,1,1.0
1,00:33:36.934581,00:33:38.981659,1,1.0
1,00:33:36.934581,00:33:40.545437,-1,1.0
1,00:33:36.934581,00:33:41.163601,-1,1.0
1,00:33:36.934581,00:33:41.356610,-1,1.0
1,00:33:36.934581,00:33:41.519999,1,1.0
1,00:33:36.934581,00:33:41.705381,1,1.0
1,00:33:36.934581,00:33:42.128786,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:33:42.132442,00:33:42.280519,1,1.0
2,00:33:42.132442,00:33:43.504404,1,1.0
2,00:33:42.132442,00:33:43.664034,1,1.0
2,00:33:42.132442,00:33:43.837482,1,1.0
2,00:33:42.132442,00:33:47.316465,-1,1.0
2,00:33:42.132442,00:33:49.172840,-1,1.0
2,00:33:42.132442,00:33:49.564285,-1,1.0
2,00:33:42.132442,00:33:49.789117,1,1.0
2,00:33:42.132442,00:33:50.507941,1,1.0
2,00:33:42.132442,00:33:50.855799,1,1.0
2,00:33:42.132442,00:33:51.213518,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:33:51.219066,00:33:52.396369,1,1.0
3,00:33:51.219066,00:33:53.216240,1,1.0
3,00:33:51.219066,00:33:53.990868,1,1.0
3,00:33:51.219066,00:33:54.617506,-1,1.0
3,00:33:51.219066,00:33:55.027872,-1,1.0
3,00:33:51.219066,00:33:55.197651,1,1.0
3,00:33:51.219066,00:33:55.358505,1,1.0
3,00:33:51.219066,00:33:55.928168,1,1.0
3,00:33:51.219066,00:33:56.098107,1,1.0
3,00:33:51.219066,00:33:56.283538,1,1.0
3,00:33:51.219066,00:33:56.486136,1,1.0
3,00:33:51.219066,00:33:56.663197,1,1.0
3,00:33:51.219066,00:33:56.865977,1,1.0
3,00:33:51.219066,00:33:57.068551,1,1.0
3,00:33:51.219066,00:33:57.240736,1,1.0
3,00:33:51.219066,00:33:57.421286,1,1.0
3,00:33:51.219066,00:33:57.572487,1,1.0
3,00:33:51.219066,00:33:57.765724,1,1.0
3,00:33:51.219066,00:33:58.165779,1,1.0
3,00:33:51.219066,00:33:59.182178,1,1.0
3,00:33:51.219066,00:33:59.822389,-1,1.0
3,00:33:51.219066,00:34:00.026216,1,1.0
3,00:33:51.219066,00:34:00.228232,1,1.0
3,00:33:51.219066,00:34:00.580374,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,00:34:00.584268,00:34:01.617327,1,1.0
4,00:34:00.584268,00:34:01.950923,1,1.0
4,00:34:00.584268,00:34:02.177059,1,1.0
4,00:34:00.584268,00:34:03.673265,-1,1.0
4,00:34:00.584268,00:34:04.090299,-1,1.0
4,00:34:00.584268,00:34:04.282925,1,1.0
4,00:34:00.584268,00:34:04.466968,1,1.0
4,00:34:00.584268,00:34:04.638283,1,1.0
4,00:34:00.584268,00:34:04.852891,1,1.0
4,00:34:00.584268,00:34:05.184392,1,1.0
4,00:34:00.584268,00:34:05.367366,1,1.0
4,00:34:00.584268,00:34:05.528082,1,1.0
4,00:34:00.584268,00:34:05.725328,1,1.0
4,00:34:00.584268,00:34:05.916013,1,1.0
4,00:34:00.584268,00:34:06.120381,1,1.0
4,00:34:00.584268,00:34:06.281413,1,1.0
