Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:21:37.584133,00:21:37.600873,-1,1.0
1,00:21:37.584133,00:21:37.721438,-1,1.0
1,00:21:37.584133,00:21:37.860614,-1,1.0
1,00:21:37.584133,00:21:37.958579,-1,1.0
1,00:21:37.584133,00:21:38.066933,-1,1.0
1,00:21:37.584133,00:21:38.188504,-1,1.0
1,00:21:37.584133,00:21:38.308787,-1,1.0
1,00:21:37.584133,00:21:38.452148,-1,1.0
1,00:21:37.584133,00:21:38.582574,-1,1.0
1,00:21:37.584133,00:21:38.714136,-1,1.0
1,00:21:37.584133,00:21:38.844683,-1,1.0
1,00:21:37.584133,00:21:38.984275,-1,1.0
1,00:21:37.584133,00:21:39.136077,-1,1.0
1,00:21:37.584133,00:21:39.265885,-1,1.0
1,00:21:37.584133,00:21:39.399953,-1,1.0
1,00:21:37.584133,00:21:39.531484,-1,1.0
1,00:21:37.584133,00:21:39.663016,-1,1.0
1,00:21:37.584133,00:21:39.791771,-1,1.0
1,00:21:37.584133,00:21:39.921712,-1,1.0
1,00:21:37.584133,00:21:40.040347,-1,1.0
1,00:21:37.584133,00:21:40.182382,-1,1.0
1,00:21:37.584133,00:21:40.314241,-1,1.0
1,00:21:37.584133,00:21:40.454178,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:21:40.457171,00:21:40.596144,-1,1.0
2,00:21:40.457171,00:21:40.737366,-1,1.0
2,00:21:40.457171,00:21:40.898775,-1,1.0
2,00:21:40.457171,00:21:41.039948,-1,1.0
2,00:21:40.457171,00:21:41.150001,-1,1.0
2,00:21:40.457171,00:21:41.417697,-1,1.0
2,00:21:40.457171,00:21:42.301403,-1,1.0
2,00:21:40.457171,00:21:42.430813,-1,1.0
2,00:21:40.457171,00:21:42.561368,-1,1.0
2,00:21:40.457171,00:21:42.704429,-1,1.0
2,00:21:40.457171,00:21:42.844712,-1,1.0
2,00:21:40.457171,00:21:42.974406,-1,1.0
2,00:21:40.457171,00:21:43.107529,-1,1.0
2,00:21:40.457171,00:21:43.234547,-1,1.0
2,00:21:40.457171,00:21:43.374695,-1,1.0
2,00:21:40.457171,00:21:43.514639,-1,1.0
2,00:21:40.457171,00:21:43.647127,-1,1.0
2,00:21:40.457171,00:21:43.778022,-1,1.0
2,00:21:40.457171,00:21:43.919925,-1,1.0
2,00:21:40.457171,00:21:44.039659,-1,1.0
2,00:21:40.457171,00:21:44.180887,-1,1.0
2,00:21:40.457171,00:21:44.322050,-1,1.0
2,00:21:40.457171,00:21:44.442946,-1,1.0
2,00:21:40.457171,00:21:44.572721,-1,1.0
2,00:21:40.457171,00:21:44.703028,-1,1.0
2,00:21:40.457171,00:21:44.821953,-1,1.0
2,00:21:40.457171,00:21:45.158287,-1,1.0
2,00:21:40.457171,00:21:45.371260,-1,1.0
2,00:21:40.457171,00:21:45.491520,-1,1.0
2,00:21:40.457171,00:21:45.590777,-1,1.0
2,00:21:40.457171,00:21:45.712070,-1,1.0
