Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,01:11:26.532703,01:11:32.379000,-10,1.0
1,01:11:26.532703,01:11:32.569504,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,01:11:48.029728,01:11:53.045444,-10,1.0
4,01:11:48.029728,01:11:53.277037,10,1.0
4,01:11:48.029728,01:11:53.561258,10,1.0
4,01:11:48.029728,01:11:53.792196,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,01:11:53.795767,01:11:54.008146,10,1.0
5,01:11:53.795767,01:11:55.822131,10,1.0
