Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:30:31.337227,12:30:31.596307,-10,1.0
1,12:30:31.337227,12:30:31.799130,10,1.0
1,12:30:31.337227,12:30:31.994284,10,1.0
1,12:30:31.337227,12:30:32.177818,10,1.0
1,12:30:31.337227,12:30:32.373611,10,1.0
1,12:30:31.337227,12:30:32.765805,-10,1.0
1,12:30:31.337227,12:30:32.927680,-10,1.0
1,12:30:31.337227,12:30:33.101309,-10,1.0
1,12:30:31.337227,12:30:33.254573,-10,1.0
1,12:30:31.337227,12:30:33.415233,10,1.0
1,12:30:31.337227,12:30:33.575707,10,1.0
1,12:30:31.337227,12:30:33.718297,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:30:33.720752,12:30:33.878459,10,1.0
2,12:30:33.720752,12:30:34.316281,10,1.0
2,12:30:33.720752,12:30:34.622980,10,1.0
2,12:30:33.720752,12:30:34.867226,10,1.0
2,12:30:33.720752,12:30:35.093581,-10,1.0
2,12:30:33.720752,12:30:35.278060,-10,1.0
2,12:30:33.720752,12:30:35.451310,-10,1.0
2,12:30:33.720752,12:30:35.613998,-10,1.0
2,12:30:33.720752,12:30:35.774464,10,1.0
2,12:30:33.720752,12:30:35.945887,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:30:35.947883,12:30:36.103183,-10,1.0
3,12:30:35.947883,12:30:36.654298,-10,1.0
3,12:30:35.947883,12:30:36.924426,10,1.0
3,12:30:35.947883,12:30:37.190334,10,1.0
3,12:30:35.947883,12:30:37.428228,10,1.0
3,12:30:35.947883,12:30:37.670315,10,1.0
3,12:30:35.947883,12:30:37.895410,-10,1.0
3,12:30:35.947883,12:30:38.097668,-10,1.0
3,12:30:35.947883,12:30:38.289729,10,1.0
3,12:30:35.947883,12:30:38.464037,10,1.0
3,12:30:35.947883,12:30:38.637046,10,1.0
3,12:30:35.947883,12:30:38.790130,10,1.0
3,12:30:35.947883,12:30:38.962340,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:30:38.965283,12:30:39.131672,10,1.0
4,12:30:38.965283,12:30:39.492531,-10,1.0
4,12:30:38.965283,12:30:39.917684,-10,1.0
4,12:30:38.965283,12:30:40.121408,-10,1.0
4,12:30:38.965283,12:30:40.336470,10,1.0
4,12:30:38.965283,12:30:40.518332,10,1.0
4,12:30:38.965283,12:30:40.690030,10,1.0
4,12:30:38.965283,12:30:40.874452,10,1.0
4,12:30:38.965283,12:30:41.048464,10,1.0
4,12:30:38.965283,12:30:41.232379,10,1.0
4,12:30:38.965283,12:30:41.395625,10,1.0
4,12:30:38.965283,12:30:42.202624,-10,1.0
