Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:51:02.999718,14:51:06.088829,-1,-1.0
1,14:51:02.999718,14:51:08.152694,-1,-1.0
1,14:51:02.999718,14:51:08.709320,1,-1.0
1,14:51:02.999718,14:51:09.019838,1,-1.0
1,14:51:02.999718,14:51:09.255358,1,-1.0
1,14:51:02.999718,14:51:09.540698,1,-1.0
1,14:51:02.999718,14:51:09.798170,1,-1.0
1,14:51:02.999718,14:51:10.083742,1,-1.0
1,14:51:02.999718,14:51:10.365759,1,-1.0
1,14:51:02.999718,14:51:10.917565,1,-1.0
1,14:51:02.999718,14:51:11.206985,1,-1.0
1,14:51:02.999718,14:51:12.093786,1,-1.0
1,14:51:02.999718,14:51:12.387611,1,-1.0
1,14:51:02.999718,14:51:12.592054,1,-1.0
1,14:51:02.999718,14:51:12.827814,1,-1.0
1,14:51:02.999718,14:51:13.081822,1,-1.0
1,14:51:02.999718,14:51:18.707641,-1,-1.0
1,14:51:02.999718,14:51:19.485027,-1,-1.0
1,14:51:02.999718,14:51:20.086450,-1,-1.0
1,14:51:02.999718,14:51:20.783622,1,-1.0
1,14:51:02.999718,14:51:21.423586,-1,-1.0
1,14:51:02.999718,14:51:21.648416,-1,-1.0
1,14:51:02.999718,14:51:21.894608,-1,-1.0
1,14:51:02.999718,14:51:22.109802,-1,-1.0
1,14:51:02.999718,14:51:22.351108,-1,-1.0
1,14:51:02.999718,14:51:22.929488,-1,-1.0
1,14:51:02.999718,14:51:23.523587,-1,-1.0
1,14:51:02.999718,14:51:24.151563,-1,-1.0
1,14:51:02.999718,14:51:24.755493,-1,-1.0
1,14:51:02.999718,14:51:25.371014,1,-1.0
1,14:51:02.999718,14:51:25.552456,1,-1.0
1,14:51:02.999718,14:51:25.744387,1,-1.0
1,14:51:02.999718,14:51:25.958184,1,-1.0
1,14:51:02.999718,14:51:26.161530,1,-1.0
1,14:51:02.999718,14:51:26.363915,1,-1.0
1,14:51:02.999718,14:51:26.584787,1,-1.0
1,14:51:02.999718,14:51:26.810446,1,-1.0
