Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:29:06.898247,12:29:07.614128,10,1.0
1,12:29:06.898247,12:29:07.994623,10,1.0
1,12:29:06.898247,12:29:08.366527,10,1.0
1,12:29:06.898247,12:29:08.769331,10,1.0
1,12:29:06.898247,12:29:09.381545,-10,1.0
1,12:29:06.898247,12:29:09.677563,-10,1.0
1,12:29:06.898247,12:29:09.931336,-10,1.0
1,12:29:06.898247,12:29:10.165061,10,1.0
1,12:29:06.898247,12:29:10.429888,10,1.0
1,12:29:06.898247,12:29:10.695885,10,1.0
1,12:29:06.898247,12:29:10.919705,10,1.0
1,12:29:06.898247,12:29:11.185546,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:29:11.189452,12:29:11.540300,10,1.0
2,12:29:11.189452,12:29:11.763365,10,1.0
2,12:29:11.189452,12:29:13.209792,-10,1.0
2,12:29:11.189452,12:29:13.380068,-10,1.0
2,12:29:11.189452,12:29:13.551096,-10,1.0
2,12:29:11.189452,12:29:13.714897,10,1.0
2,12:29:11.189452,12:29:13.886953,10,1.0
2,12:29:11.189452,12:29:14.059719,10,1.0
2,12:29:11.189452,12:29:14.232065,10,1.0
2,12:29:11.189452,12:29:14.396187,10,1.0
2,12:29:11.189452,12:29:14.566198,10,1.0
2,12:29:11.189452,12:29:14.741091,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:29:14.746597,12:29:14.911390,10,1.0
3,12:29:14.746597,12:29:15.861239,-10,1.0
3,12:29:14.746597,12:29:16.115631,-10,1.0
3,12:29:14.746597,12:29:16.380595,10,1.0
3,12:29:14.746597,12:29:16.676886,10,1.0
3,12:29:14.746597,12:29:16.913714,10,1.0
3,12:29:14.746597,12:29:17.177166,10,1.0
3,12:29:14.746597,12:29:17.475665,10,1.0
3,12:29:14.746597,12:29:17.750092,10,1.0
3,12:29:14.746597,12:29:18.074761,10,1.0
3,12:29:14.746597,12:29:18.357153,10,1.0
3,12:29:14.746597,12:29:18.665365,10,1.0
3,12:29:14.746597,12:29:18.952981,10,1.0
3,12:29:14.746597,12:29:19.418284,10,1.0
3,12:29:14.746597,12:29:19.568292,10,1.0
3,12:29:14.746597,12:29:19.724423,10,1.0
3,12:29:14.746597,12:29:19.876158,10,1.0
3,12:29:14.746597,12:29:20.010396,10,1.0
3,12:29:14.746597,12:29:20.149293,10,1.0
3,12:29:14.746597,12:29:20.290817,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:29:21.100570,12:29:21.974976,-10,1.0
4,12:29:21.100570,12:29:22.137308,-10,1.0
4,12:29:21.100570,12:29:22.277691,-10,1.0
4,12:29:21.100570,12:29:22.418980,-10,1.0
4,12:29:21.100570,12:29:22.809815,-10,1.0
4,12:29:21.100570,12:29:22.980532,10,1.0
4,12:29:21.100570,12:29:23.133187,10,1.0
4,12:29:21.100570,12:29:23.282689,10,1.0
4,12:29:21.100570,12:29:23.433380,10,1.0
4,12:29:21.100570,12:29:23.594233,10,1.0
4,12:29:21.100570,12:29:23.744149,10,1.0
4,12:29:21.100570,12:29:23.919371,10,1.0
4,12:29:21.100570,12:29:24.070799,10,1.0
4,12:29:21.100570,12:29:24.256777,10,1.0
4,12:29:21.100570,12:29:24.419782,10,1.0
4,12:29:21.100570,12:29:24.571068,10,1.0
4,12:29:21.100570,12:29:25.133290,10,1.0
4,12:29:21.100570,12:29:25.497602,10,1.0
4,12:29:21.100570,12:29:25.916995,10,1.0
4,12:29:21.100570,12:29:26.245987,10,1.0
4,12:29:21.100570,12:29:26.511555,-10,1.0
4,12:29:21.100570,12:29:26.663291,-10,1.0
4,12:29:21.100570,12:29:26.815508,10,1.0
4,12:29:21.100570,12:29:26.957199,10,1.0
4,12:29:21.100570,12:29:27.306453,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:29:27.309457,12:29:27.396495,10,1.0
5,12:29:27.309457,12:29:28.646296,10,1.0
5,12:29:27.309457,12:29:28.997322,10,1.0
5,12:29:27.309457,12:29:30.143224,10,1.0
5,12:29:27.309457,12:29:30.328261,10,1.0
5,12:29:27.309457,12:29:30.493270,10,1.0
5,12:29:27.309457,12:29:30.674854,10,1.0
5,12:29:27.309457,12:29:30.845536,10,1.0
5,12:29:27.309457,12:29:31.037753,10,1.0
5,12:29:27.309457,12:29:31.239438,10,1.0
5,12:29:27.309457,12:29:31.444091,10,1.0
5,12:29:27.309457,12:29:31.645735,10,1.0
5,12:29:27.309457,12:29:31.899290,10,1.0
5,12:29:27.309457,12:29:33.736746,-10,1.0
5,12:29:27.309457,12:29:33.898002,10,1.0
5,12:29:27.309457,12:29:34.080629,10,1.0
5,12:29:27.309457,12:29:34.240438,10,1.0
5,12:29:27.309457,12:29:34.414273,10,1.0
5,12:29:27.309457,12:29:34.585484,10,1.0
5,12:29:27.309457,12:29:34.763212,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:29:34.766612,12:29:34.946591,10,1.0
6,12:29:34.766612,12:29:35.683328,10,1.0
6,12:29:34.766612,12:29:36.091803,10,1.0
6,12:29:34.766612,12:29:36.422489,10,1.0
6,12:29:34.766612,12:29:36.636275,-10,1.0
6,12:29:34.766612,12:29:36.850094,10,1.0
6,12:29:34.766612,12:29:37.074585,10,1.0
6,12:29:34.766612,12:29:37.298883,10,1.0
6,12:29:34.766612,12:29:37.532854,10,1.0
6,12:29:34.766612,12:29:37.768848,10,1.0
6,12:29:34.766612,12:29:38.027737,10,1.0
6,12:29:34.766612,12:29:38.295923,10,1.0
6,12:29:34.766612,12:29:38.498272,10,1.0
6,12:29:34.766612,12:29:38.773335,10,1.0
6,12:29:34.766612,12:29:39.018648,10,1.0
6,12:29:34.766612,12:29:39.293346,10,1.0
6,12:29:34.766612,12:29:40.702009,10,1.0
6,12:29:34.766612,12:29:41.473212,-10,1.0
6,12:29:34.766612,12:29:41.729495,10,1.0
6,12:29:34.766612,12:29:41.975257,10,1.0
6,12:29:34.766612,12:29:42.211980,10,1.0
6,12:29:34.766612,12:29:42.446223,10,1.0
6,12:29:34.766612,12:29:42.683678,10,1.0
6,12:29:34.766612,12:29:42.929959,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,12:29:42.933462,12:29:43.690553,10,1.0
7,12:29:42.933462,12:29:43.981943,10,1.0
7,12:29:42.933462,12:29:44.238308,10,1.0
7,12:29:42.933462,12:29:44.474394,10,1.0
7,12:29:42.933462,12:29:44.751887,10,1.0
7,12:29:42.933462,12:29:45.029253,-10,1.0
7,12:29:42.933462,12:29:45.306292,10,1.0
7,12:29:42.933462,12:29:45.540476,10,1.0
7,12:29:42.933462,12:29:45.775478,10,1.0
7,12:29:42.933462,12:29:46.001269,10,1.0
7,12:29:42.933462,12:29:46.237011,10,1.0
7,12:29:42.933462,12:29:46.469883,10,1.0
