Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:29:36.244027,23:29:38.369133,-1,-1.0
1,23:29:36.244027,23:29:38.576193,-1,-1.0
1,23:29:36.244027,23:29:38.789781,-1,-1.0
1,23:29:36.244027,23:29:39.004607,-1,-1.0
1,23:29:36.244027,23:29:39.209602,-1,-1.0
1,23:29:36.244027,23:29:39.455759,-1,-1.0
1,23:29:36.244027,23:29:39.743962,-1,-1.0
1,23:29:36.244027,23:29:40.475332,-1,-1.0
1,23:29:36.244027,23:29:40.849748,-1,-1.0
1,23:29:36.244027,23:29:41.592679,-1,-1.0
1,23:29:36.244027,23:29:41.839767,-1,-1.0
1,23:29:36.244027,23:29:42.032853,-1,-1.0
1,23:29:36.244027,23:29:42.340369,-1,-1.0
1,23:29:36.244027,23:29:42.577758,-1,-1.0
1,23:29:36.244027,23:29:42.750007,1,-1.0
1,23:29:36.244027,23:29:43.013345,1,-1.0
1,23:29:36.244027,23:29:43.227193,1,-1.0
1,23:29:36.244027,23:29:43.430696,1,-1.0
1,23:29:36.244027,23:29:43.655172,1,-1.0
1,23:29:36.244027,23:29:43.877181,-1,-1.0
1,23:29:36.244027,23:29:44.092179,-1,-1.0
1,23:29:36.244027,23:29:44.283248,-1,-1.0
1,23:29:36.244027,23:29:44.484376,-1,-1.0
1,23:29:36.244027,23:29:44.688030,-1,-1.0
1,23:29:36.244027,23:29:44.873411,-1,-1.0
1,23:29:36.244027,23:29:45.107224,-1,-1.0
1,23:29:36.244027,23:29:45.289729,-1,-1.0
1,23:29:36.244027,23:29:45.514164,-1,-1.0
1,23:29:36.244027,23:29:45.753561,-1,-1.0
1,23:29:36.244027,23:29:45.967970,-1,-1.0
1,23:29:36.244027,23:29:46.180970,-1,-1.0
1,23:29:36.244027,23:29:46.385550,-1,-1.0
1,23:29:36.244027,23:29:46.589624,-1,-1.0
1,23:29:36.244027,23:29:46.803853,-1,-1.0
1,23:29:36.244027,23:29:47.025897,-1,-1.0
1,23:29:36.244027,23:29:47.258646,-1,-1.0
1,23:29:36.244027,23:29:47.473516,-1,-1.0
1,23:29:36.244027,23:29:47.711614,-1,-1.0
1,23:29:36.244027,23:29:47.912590,-1,-1.0
1,23:29:36.244027,23:29:48.136928,-1,-1.0
1,23:29:36.244027,23:29:48.363164,-1,-1.0
1,23:29:36.244027,23:29:48.601458,-1,-1.0
1,23:29:36.244027,23:29:48.804988,-1,-1.0
1,23:29:36.244027,23:29:49.043126,-1,-1.0
1,23:29:36.244027,23:29:49.249890,-1,-1.0
1,23:29:36.244027,23:29:49.473605,-1,-1.0
1,23:29:36.244027,23:29:49.709718,-1,-1.0
1,23:29:36.244027,23:29:49.925867,-1,-1.0
1,23:29:36.244027,23:29:50.149921,-1,-1.0
1,23:29:36.244027,23:29:50.364125,-1,-1.0
1,23:29:36.244027,23:29:50.587197,-1,-1.0
1,23:29:36.244027,23:29:50.814429,-1,-1.0
1,23:29:36.244027,23:29:51.388424,-1,-1.0
1,23:29:36.244027,23:29:51.667187,-1,-1.0
1,23:29:36.244027,23:29:51.861799,-1,-1.0
1,23:29:36.244027,23:29:52.097070,-1,-1.0
