Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:28:03.357131,12:28:04.300379,-10,1.0
1,12:28:03.357131,12:28:04.533094,10,1.0
1,12:28:03.357131,12:28:04.746461,10,1.0
1,12:28:03.357131,12:28:04.967851,10,1.0
1,12:28:03.357131,12:28:05.181905,10,1.0
1,12:28:03.357131,12:28:05.382758,10,1.0
1,12:28:03.357131,12:28:06.676140,10,1.0
1,12:28:03.357131,12:28:06.797096,-10,1.0
1,12:28:03.357131,12:28:06.978134,-10,1.0
1,12:28:03.357131,12:28:07.159775,-10,1.0
1,12:28:03.357131,12:28:07.342743,-10,1.0
1,12:28:03.357131,12:28:07.528317,10,1.0
1,12:28:03.357131,12:28:07.722168,10,1.0
1,12:28:03.357131,12:28:07.923738,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:28:07.926578,12:28:09.142561,-10,1.0
2,12:28:07.926578,12:28:09.869742,10,1.0
2,12:28:07.926578,12:28:10.460467,10,1.0
2,12:28:07.926578,12:28:10.895850,10,1.0
2,12:28:07.926578,12:28:11.300605,10,1.0
2,12:28:07.926578,12:28:11.697286,10,1.0
2,12:28:07.926578,12:28:12.823807,-10,1.0
2,12:28:07.926578,12:28:12.996791,-10,1.0
2,12:28:07.926578,12:28:13.210608,-10,1.0
2,12:28:07.926578,12:28:13.416888,10,1.0
2,12:28:07.926578,12:28:13.651648,10,1.0
2,12:28:07.926578,12:28:13.952549,10,1.0
2,12:28:07.926578,12:28:14.209305,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:28:14.212298,12:28:14.907251,10,1.0
3,12:28:14.212298,12:28:15.277708,10,1.0
3,12:28:14.212298,12:28:16.922530,-10,1.0
3,12:28:14.212298,12:28:17.103289,10,1.0
3,12:28:14.212298,12:28:17.284873,10,1.0
3,12:28:14.212298,12:28:17.488332,10,1.0
3,12:28:14.212298,12:28:17.694552,10,1.0
3,12:28:14.212298,12:28:17.888729,10,1.0
3,12:28:14.212298,12:28:18.084523,10,1.0
3,12:28:14.212298,12:28:18.298139,10,1.0
3,12:28:14.212298,12:28:18.542180,10,1.0
3,12:28:14.212298,12:28:19.318215,-10,1.0
3,12:28:14.212298,12:28:19.509408,-10,1.0
3,12:28:14.212298,12:28:19.692412,-10,1.0
3,12:28:14.212298,12:28:19.908034,-10,1.0
3,12:28:14.212298,12:28:20.070385,-10,1.0
3,12:28:14.212298,12:28:20.243844,10,1.0
3,12:28:14.212298,12:28:20.437269,10,1.0
3,12:28:14.212298,12:28:20.610633,10,1.0
3,12:28:14.212298,12:28:20.784530,10,1.0
3,12:28:14.212298,12:28:20.946440,10,1.0
3,12:28:14.212298,12:28:21.119101,10,1.0
3,12:28:14.212298,12:28:21.304297,10,1.0
3,12:28:14.212298,12:28:21.477345,10,1.0
3,12:28:14.212298,12:28:21.680379,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:28:21.684263,12:28:21.854518,10,1.0
4,12:28:21.684263,12:28:22.553099,10,1.0
4,12:28:21.684263,12:28:22.769929,10,1.0
