Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:36:38.155105,23:36:38.871028,1,-1.0
1,23:36:38.155105,23:36:39.128348,1,-1.0
1,23:36:38.155105,23:36:39.340831,1,-1.0
1,23:36:38.155105,23:36:39.560406,1,-1.0
1,23:36:38.155105,23:36:39.767346,1,-1.0
1,23:36:38.155105,23:36:40.027074,1,-1.0
1,23:36:38.155105,23:36:40.263962,1,-1.0
1,23:36:38.155105,23:36:40.468141,1,-1.0
1,23:36:38.155105,23:36:40.673208,1,-1.0
1,23:36:38.155105,23:36:40.868985,1,-1.0
1,23:36:38.155105,23:36:41.093249,1,-1.0
1,23:36:38.155105,23:36:41.286943,1,-1.0
1,23:36:38.155105,23:36:41.478836,1,-1.0
1,23:36:38.155105,23:36:41.687127,1,-1.0
1,23:36:38.155105,23:36:41.882223,1,-1.0
1,23:36:38.155105,23:36:42.086955,1,-1.0
1,23:36:38.155105,23:36:42.280382,1,-1.0
1,23:36:38.155105,23:36:42.486882,1,-1.0
1,23:36:38.155105,23:36:42.703428,1,-1.0
1,23:36:38.155105,23:36:42.897191,1,-1.0
1,23:36:38.155105,23:36:43.094133,1,-1.0
1,23:36:38.155105,23:36:43.308695,1,-1.0
1,23:36:38.155105,23:36:43.495832,1,-1.0
1,23:36:38.155105,23:36:43.690968,1,-1.0
1,23:36:38.155105,23:36:43.886067,1,-1.0
1,23:36:38.155105,23:36:44.703934,1,-1.0
1,23:36:38.155105,23:36:44.828608,-1,-1.0
1,23:36:38.155105,23:36:45.002273,1,-1.0
1,23:36:38.155105,23:36:45.218089,1,-1.0
1,23:36:38.155105,23:36:45.405605,1,-1.0
1,23:36:38.155105,23:36:45.600156,1,-1.0
1,23:36:38.155105,23:36:45.797238,1,-1.0
1,23:36:38.155105,23:36:45.983268,1,-1.0
1,23:36:38.155105,23:36:46.180435,1,-1.0
1,23:36:38.155105,23:36:46.394637,1,-1.0
1,23:36:38.155105,23:36:46.661833,1,-1.0
1,23:36:38.155105,23:36:46.852080,1,-1.0
1,23:36:38.155105,23:36:47.163435,-1,-1.0
1,23:36:38.155105,23:36:47.319466,-1,-1.0
1,23:36:38.155105,23:36:47.516597,-1,-1.0
1,23:36:38.155105,23:36:47.704499,-1,-1.0
1,23:36:38.155105,23:36:47.886514,-1,-1.0
1,23:36:38.155105,23:36:48.059013,-1,-1.0
1,23:36:38.155105,23:36:48.232221,-1,-1.0
1,23:36:38.155105,23:36:48.437866,-1,-1.0
1,23:36:38.155105,23:36:48.614537,-1,-1.0
1,23:36:38.155105,23:36:48.809152,-1,-1.0
1,23:36:38.155105,23:36:49.004156,1,-1.0
1,23:36:38.155105,23:36:49.191301,1,-1.0
1,23:36:38.155105,23:36:49.386095,1,-1.0
1,23:36:38.155105,23:36:49.580299,1,-1.0
1,23:36:38.155105,23:36:49.785436,1,-1.0
1,23:36:38.155105,23:36:49.978917,1,-1.0
1,23:36:38.155105,23:36:50.186334,1,-1.0
1,23:36:38.155105,23:36:50.400714,1,-1.0
1,23:36:38.155105,23:36:50.627471,1,-1.0
1,23:36:38.155105,23:36:50.835623,1,-1.0
1,23:36:38.155105,23:36:51.057436,1,-1.0
1,23:36:38.155105,23:36:51.284348,1,-1.0
1,23:36:38.155105,23:36:51.523844,1,-1.0
1,23:36:38.155105,23:36:51.738198,1,-1.0
1,23:36:38.155105,23:36:51.943358,1,-1.0
1,23:36:38.155105,23:36:52.157162,1,-1.0
1,23:36:38.155105,23:36:52.372916,1,-1.0
1,23:36:38.155105,23:36:52.570059,1,-1.0
1,23:36:38.155105,23:36:52.794633,1,-1.0
1,23:36:38.155105,23:36:53.001535,1,-1.0
1,23:36:38.155105,23:36:53.196259,1,-1.0
1,23:36:38.155105,23:36:53.391530,1,-1.0
1,23:36:38.155105,23:36:53.588779,1,-1.0
1,23:36:38.155105,23:36:53.797305,1,-1.0
1,23:36:38.155105,23:36:54.002796,1,-1.0
1,23:36:38.155105,23:36:54.217131,1,-1.0
1,23:36:38.155105,23:36:54.421755,1,-1.0
1,23:36:38.155105,23:36:54.625012,1,-1.0
1,23:36:38.155105,23:36:54.839551,1,-1.0
1,23:36:38.155105,23:36:55.045055,1,-1.0
1,23:36:38.155105,23:36:55.270457,1,-1.0
1,23:36:38.155105,23:36:55.485609,1,-1.0
1,23:36:38.155105,23:36:55.690814,1,-1.0
1,23:36:38.155105,23:36:55.907444,1,-1.0
1,23:36:38.155105,23:36:56.125862,1,-1.0
1,23:36:38.155105,23:36:56.351364,1,-1.0
1,23:36:38.155105,23:36:56.568969,1,-1.0
1,23:36:38.155105,23:36:56.786343,1,-1.0
1,23:36:38.155105,23:36:57.003988,1,-1.0
1,23:36:38.155105,23:36:57.252617,1,-1.0
1,23:36:38.155105,23:36:57.459100,1,-1.0
1,23:36:38.155105,23:36:57.687421,1,-1.0
1,23:36:38.155105,23:36:57.902480,1,-1.0
1,23:36:38.155105,23:36:58.116383,1,-1.0
1,23:36:38.155105,23:36:58.351715,1,-1.0
1,23:36:38.155105,23:36:58.587488,1,-1.0
1,23:36:38.155105,23:36:58.801411,1,-1.0
1,23:36:38.155105,23:36:59.028148,1,-1.0
1,23:36:38.155105,23:36:59.253792,1,-1.0
1,23:36:38.155105,23:36:59.498835,1,-1.0
1,23:36:38.155105,23:36:59.766484,1,-1.0
1,23:36:38.155105,23:37:00.051559,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,23:37:00.364986,23:37:00.388838,1,-1.0
2,23:37:00.364986,23:37:01.850488,1,-1.0
2,23:37:00.364986,23:37:02.031441,1,-1.0
2,23:37:00.364986,23:37:02.239001,1,-1.0
2,23:37:00.364986,23:37:02.448908,1,-1.0
2,23:37:00.364986,23:37:02.652452,1,-1.0
2,23:37:00.364986,23:37:02.884735,1,-1.0
2,23:37:00.364986,23:37:03.119315,1,-1.0
2,23:37:00.364986,23:37:03.336665,1,-1.0
2,23:37:00.364986,23:37:03.555433,1,-1.0
2,23:37:00.364986,23:37:03.769082,1,-1.0
2,23:37:00.364986,23:37:03.973825,1,-1.0
2,23:37:00.364986,23:37:04.210419,1,-1.0
2,23:37:00.364986,23:37:04.438072,1,-1.0
2,23:37:00.364986,23:37:04.654973,1,-1.0
2,23:37:00.364986,23:37:04.860872,1,-1.0
2,23:37:00.364986,23:37:05.084219,1,-1.0
2,23:37:00.364986,23:37:05.300571,1,-1.0
2,23:37:00.364986,23:37:05.505692,1,-1.0
2,23:37:00.364986,23:37:05.711479,1,-1.0
2,23:37:00.364986,23:37:05.938214,1,-1.0
2,23:37:00.364986,23:37:06.151688,1,-1.0
2,23:37:00.364986,23:37:06.367551,1,-1.0
2,23:37:00.364986,23:37:06.581808,1,-1.0
2,23:37:00.364986,23:37:06.818769,1,-1.0
