Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:20:24.760922,00:20:28.415675,1,1.0
1,00:20:24.760922,00:20:28.918021,-1,1.0
1,00:20:24.760922,00:20:29.340553,-1,1.0
1,00:20:24.760922,00:20:29.691250,-1,1.0
1,00:20:24.760922,00:20:29.861504,-1,1.0
1,00:20:24.760922,00:20:30.208822,-1,1.0
1,00:20:24.760922,00:20:30.378983,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:20:30.381989,00:20:30.539028,-1,1.0
2,00:20:30.381989,00:20:31.671507,-1,1.0
2,00:20:30.381989,00:20:32.364575,1,1.0
2,00:20:30.381989,00:20:32.855147,1,1.0
2,00:20:30.381989,00:20:33.248000,1,1.0
2,00:20:30.381989,00:20:33.546751,1,1.0
2,00:20:30.381989,00:20:33.833964,1,1.0
2,00:20:30.381989,00:20:35.154124,-1,1.0
2,00:20:30.381989,00:20:35.471047,-1,1.0
2,00:20:30.381989,00:20:35.832544,-1,1.0
2,00:20:30.381989,00:20:36.016971,-1,1.0
2,00:20:30.381989,00:20:36.222020,-1,1.0
2,00:20:30.381989,00:20:36.392612,-1,1.0
