Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,01:17:31.946848,01:17:32.579585,-10,1.0
1,01:17:31.946848,01:17:32.759278,10,1.0
1,01:17:31.946848,01:17:32.957185,10,1.0
1,01:17:31.946848,01:17:33.158800,10,1.0
1,01:17:31.946848,01:17:33.369721,10,1.0
1,01:17:31.946848,01:17:33.570801,10,1.0
1,01:17:31.946848,01:17:34.224912,10,1.0
1,01:17:31.946848,01:17:34.809510,-10,1.0
1,01:17:31.946848,01:17:35.019402,-10,1.0
1,01:17:31.946848,01:17:35.219795,-10,1.0
1,01:17:31.946848,01:17:35.420267,-10,1.0
1,01:17:31.946848,01:17:35.619057,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,01:17:35.625272,01:17:35.831896,-10,1.0
2,01:17:35.625272,01:17:36.819839,10,1.0
2,01:17:35.625272,01:17:37.113151,10,1.0
2,01:17:35.625272,01:17:37.309979,10,1.0
2,01:17:35.625272,01:17:37.511559,10,1.0
2,01:17:35.625272,01:17:37.743449,10,1.0
2,01:17:35.625272,01:17:38.018969,-10,1.0
2,01:17:35.625272,01:17:38.217578,-10,1.0
2,01:17:35.625272,01:17:38.419476,10,1.0
2,01:17:35.625272,01:17:38.647316,10,1.0
2,01:17:35.625272,01:17:38.816530,10,1.0
2,01:17:35.625272,01:17:39.056536,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,01:17:39.063548,01:17:39.247835,10,1.0
3,01:17:39.063548,01:17:41.338138,-10,1.0
3,01:17:39.063548,01:17:41.481892,10,1.0
3,01:17:39.063548,01:17:41.735297,10,1.0
3,01:17:39.063548,01:17:41.945172,10,1.0
3,01:17:39.063548,01:17:42.148365,10,1.0
3,01:17:39.063548,01:17:42.360030,10,1.0
3,01:17:39.063548,01:17:42.567376,10,1.0
3,01:17:39.063548,01:17:42.778362,10,1.0
3,01:17:39.063548,01:17:43.007911,10,1.0
3,01:17:39.063548,01:17:44.246951,-10,1.0
3,01:17:39.063548,01:17:44.455986,-10,1.0
3,01:17:39.063548,01:17:44.665180,-10,1.0
3,01:17:39.063548,01:17:44.906051,10,1.0
3,01:17:39.063548,01:17:45.154429,10,1.0
3,01:17:39.063548,01:17:45.425223,10,1.0
3,01:17:39.063548,01:17:45.696276,10,1.0
3,01:17:39.063548,01:17:45.947195,10,1.0
3,01:17:39.063548,01:17:46.291260,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,01:17:46.298791,01:17:47.156308,10,1.0
4,01:17:46.298791,01:17:47.365354,10,1.0
4,01:17:46.298791,01:17:47.583670,10,1.0
4,01:17:46.298791,01:17:48.799855,-10,1.0
4,01:17:46.298791,01:17:49.019915,10,1.0
4,01:17:46.298791,01:17:49.252967,10,1.0
4,01:17:46.298791,01:17:49.463713,10,1.0
4,01:17:46.298791,01:17:49.713425,10,1.0
4,01:17:46.298791,01:17:49.952828,10,1.0
4,01:17:46.298791,01:17:50.182948,10,1.0
4,01:17:46.298791,01:17:50.432634,10,1.0
4,01:17:46.298791,01:17:50.653519,10,1.0
4,01:17:46.298791,01:17:50.883807,10,1.0
4,01:17:46.298791,01:17:52.008530,10,1.0
4,01:17:46.298791,01:17:53.829386,10,1.0
4,01:17:46.298791,01:17:54.296087,-10,1.0
4,01:17:46.298791,01:17:54.713141,10,1.0
4,01:17:46.298791,01:17:54.945348,-10,1.0
4,01:17:46.298791,01:17:55.166205,10,1.0
