Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:35:52.883728,12:35:54.528559,1,1.0
1,12:35:52.883728,12:35:54.910749,-3,1.0
1,12:35:52.883728,12:35:55.073008,1,1.0
1,12:35:52.883728,12:35:55.245974,1,1.0
1,12:35:52.883728,12:35:55.397347,1,1.0
1,12:35:52.883728,12:35:55.547470,1,1.0
1,12:35:52.883728,12:35:55.677457,1,1.0
1,12:35:52.883728,12:35:55.828037,1,1.0
1,12:35:52.883728,12:35:56.000199,1,1.0
1,12:35:52.883728,12:35:56.543566,-3,1.0
1,12:35:52.883728,12:35:56.715401,-3,1.0
1,12:35:52.883728,12:35:56.897612,-3,1.0
1,12:35:52.883728,12:35:57.070312,1,1.0
1,12:35:52.883728,12:35:57.242414,1,1.0
1,12:35:52.883728,12:35:57.437569,1,1.0
1,12:35:52.883728,12:35:57.630809,1,1.0
1,12:35:52.883728,12:35:57.821732,1,1.0
1,12:35:52.883728,12:35:59.187336,1,1.0
1,12:35:52.883728,12:35:59.994321,-3,1.0
1,12:35:52.883728,12:36:00.135377,-3,1.0
1,12:35:52.883728,12:36:00.275322,-3,1.0
1,12:35:52.883728,12:36:00.385296,1,1.0
1,12:35:52.883728,12:36:00.529270,1,1.0
1,12:35:52.883728,12:36:00.736232,1,1.0
1,12:35:52.883728,12:36:00.867424,1,1.0
1,12:35:52.883728,12:36:01.009782,1,1.0
1,12:35:52.883728,12:36:01.160512,1,1.0
1,12:35:52.883728,12:36:02.267581,-3,1.0
1,12:35:52.883728,12:36:02.431211,-3,1.0
1,12:35:52.883728,12:36:02.612599,-3,1.0
1,12:35:52.883728,12:36:02.785792,1,1.0
1,12:35:52.883728,12:36:02.971925,1,1.0
1,12:35:52.883728,12:36:03.171417,1,1.0
1,12:35:52.883728,12:36:03.364233,1,1.0
1,12:35:52.883728,12:36:03.589075,1,1.0
1,12:35:52.883728,12:36:03.810618,1,1.0
1,12:35:52.883728,12:36:04.014322,1,1.0
1,12:35:52.883728,12:36:04.771243,-3,1.0
1,12:35:52.883728,12:36:04.881689,-3,1.0
1,12:35:52.883728,12:36:05.032351,-3,1.0
1,12:35:52.883728,12:36:05.182317,1,1.0
1,12:35:52.883728,12:36:05.322557,1,1.0
1,12:35:52.883728,12:36:05.472948,1,1.0
1,12:35:52.883728,12:36:05.614482,1,1.0
1,12:35:52.883728,12:36:05.910400,-3,1.0
1,12:35:52.883728,12:36:06.091907,-3,1.0
1,12:35:52.883728,12:36:06.285528,-3,1.0
1,12:35:52.883728,12:36:06.489518,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:36:06.492458,12:36:06.673262,1,1.0
2,12:36:06.492458,12:36:07.236222,1,1.0
2,12:36:06.492458,12:36:07.717877,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
