Save 0 - Episode 737/1500, Score: -106.0 (0.01), AVG Score: -109.88
Save 1 - Episode 738/1500, Score: -105.0 (0.01), AVG Score: -109.4
Save 2 - Episode 739/1500, Score: -105.0 (0.01), AVG Score: -109.61
Save 3 - Episode 743/1500, Score: -106.0 (0.01), AVG Score: -109.26
Save 4 - Episode 744/1500, Score: -104.0 (0.01), AVG Score: -109.45
Save 5 - Episode 745/1500, Score: -107.0 (0.01), AVG Score: -109.43
Save 6 - Episode 746/1500, Score: -104.0 (0.01), AVG Score: -109.43
Save 7 - Episode 751/1500, Score: -105.0 (0.01), AVG Score: -109.42
Save 8 - Episode 752/1500, Score: -105.0 (0.01), AVG Score: -109.39
Save 9 - Episode 754/1500, Score: -105.0 (0.01), AVG Score: -109.35
Save 10 - Episode 755/1500, Score: -107.0 (0.01), AVG Score: -109.38
Save 11 - Episode 757/1500, Score: -106.0 (0.01), AVG Score: -109.5
Save 12 - Episode 759/1500, Score: -106.0 (0.01), AVG Score: -109.64
Save 13 - Episode 762/1500, Score: -103.0 (0.01), AVG Score: -109.45
Save 14 - Episode 763/1500, Score: -106.0 (0.01), AVG Score: -109.47
Save 15 - Episode 764/1500, Score: -105.0 (0.01), AVG Score: -109.29
Save 16 - Episode 765/1500, Score: -107.0 (0.01), AVG Score: -109.31
Save 17 - Episode 766/1500, Score: -105.0 (0.01), AVG Score: -109.18
Save 18 - Episode 769/1500, Score: -103.0 (0.01), AVG Score: -108.88
Save 19 - Episode 770/1500, Score: -93.0 (0.01), AVG Score: -108.8
Save 20 - Episode 771/1500, Score: -106.0 (0.01), AVG Score: -108.76
Save 21 - Episode 772/1500, Score: -84.0 (0.01), AVG Score: -108.56
Save 22 - Episode 773/1500, Score: -105.0 (0.01), AVG Score: -108.13
Save 23 - Episode 774/1500, Score: -106.0 (0.01), AVG Score: -108.13
Save 24 - Episode 776/1500, Score: -104.0 (0.01), AVG Score: -109.04
Save 25 - Episode 777/1500, Score: -95.0 (0.01), AVG Score: -108.46
Save 26 - Episode 778/1500, Score: -103.0 (0.01), AVG Score: -108.4
Save 27 - Episode 779/1500, Score: -104.0 (0.01), AVG Score: -108.33
Save 28 - Episode 780/1500, Score: -104.0 (0.01), AVG Score: -108.32
Save 29 - Episode 781/1500, Score: -106.0 (0.01), AVG Score: -108.32
Save 30 - Episode 782/1500, Score: -103.0 (0.01), AVG Score: -108.24
Save 31 - Episode 784/1500, Score: -84.0 (0.01), AVG Score: -108.0
Save 32 - Episode 785/1500, Score: -85.0 (0.01), AVG Score: -107.81
Save 33 - Episode 788/1500, Score: -107.0 (0.01), AVG Score: -108.34
Save 34 - Episode 790/1500, Score: -104.0 (0.01), AVG Score: -108.27
Save 35 - Episode 791/1500, Score: -103.0 (0.01), AVG Score: -108.19
Save 36 - Episode 792/1500, Score: -103.0 (0.01), AVG Score: -108.16
Save 37 - Episode 793/1500, Score: -95.0 (0.01), AVG Score: -108.21
Save 38 - Episode 794/1500, Score: -104.0 (0.01), AVG Score: -108.21
Save 39 - Episode 795/1500, Score: -96.0 (0.01), AVG Score: -108.11
