Save 0 - Episode 872/1500, Score: -93.0 (0.01), AVG Score: -109.98
Save 1 - Episode 873/1500, Score: -107.0 (0.01), AVG Score: -109.92
Save 2 - Episode 874/1500, Score: -108.0 (0.01), AVG Score: -109.96
Save 3 - Episode 881/1500, Score: -95.0 (0.01), AVG Score: -109.86
Save 4 - Episode 882/1500, Score: -105.0 (0.01), AVG Score: -109.83
Save 5 - Episode 885/1500, Score: -105.0 (0.01), AVG Score: -109.79
Save 6 - Episode 886/1500, Score: -105.0 (0.01), AVG Score: -109.79
Save 7 - Episode 891/1500, Score: -103.0 (0.01), AVG Score: -109.51
Save 8 - Episode 892/1500, Score: -107.0 (0.01), AVG Score: -109.47
Save 9 - Episode 904/1500, Score: -93.0 (0.01), AVG Score: -109.35
Save 10 - Episode 908/1500, Score: -91.0 (0.01), AVG Score: -109.54
Save 11 - Episode 911/1500, Score: -89.0 (0.01), AVG Score: -109.38
Save 12 - Episode 912/1500, Score: -89.0 (0.01), AVG Score: -109.41
Save 13 - Episode 913/1500, Score: -104.0 (0.01), AVG Score: -109.38
Save 14 - Episode 914/1500, Score: -91.0 (0.01), AVG Score: -109.17
Save 15 - Episode 1071/1500, Score: -96.0 (0.01), AVG Score: -109.85
Save 16 - Episode 1095/1500, Score: -103.0 (0.01), AVG Score: -109.9
Save 17 - Episode 1100/1500, Score: -102.0 (0.01), AVG Score: -109.81
Save 18 - Episode 1101/1500, Score: -108.0 (0.01), AVG Score: -109.76
Save 19 - Episode 1103/1500, Score: -108.0 (0.01), AVG Score: -109.73
Save 20 - Episode 1104/1500, Score: -89.0 (0.01), AVG Score: -109.52
Save 21 - Episode 1105/1500, Score: -104.0 (0.01), AVG Score: -109.37
Save 22 - Episode 1106/1500, Score: -85.0 (0.01), AVG Score: -109.17
Save 23 - Episode 1109/1500, Score: -102.0 (0.01), AVG Score: -109.37
Save 24 - Episode 1110/1500, Score: -103.0 (0.01), AVG Score: -109.23
Save 25 - Episode 1114/1500, Score: -103.0 (0.01), AVG Score: -109.12
Save 26 - Episode 1115/1500, Score: -91.0 (0.01), AVG Score: -108.85
Save 27 - Episode 1116/1500, Score: -93.0 (0.01), AVG Score: -108.04
Save 28 - Episode 1118/1500, Score: -91.0 (0.01), AVG Score: -107.69
Save 29 - Episode 1119/1500, Score: -103.0 (0.01), AVG Score: -107.64
Save 30 - Episode 1120/1500, Score: -105.0 (0.01), AVG Score: -107.59
Save 31 - Episode 1128/1500, Score: -97.0 (0.01), AVG Score: -107.33
Save 32 - Episode 1129/1500, Score: -94.0 (0.01), AVG Score: -107.42
Save 33 - Episode 1131/1500, Score: -85.0 (0.01), AVG Score: -107.36
Save 34 - Episode 1133/1500, Score: -104.0 (0.01), AVG Score: -107.62
Save 35 - Episode 1134/1500, Score: -87.0 (0.01), AVG Score: -107.46
Save 36 - Episode 1137/1500, Score: -104.0 (0.01), AVG Score: -107.58
Save 37 - Episode 1138/1500, Score: -105.0 (0.01), AVG Score: -107.55
Save 38 - Episode 1139/1500, Score: -104.0 (0.01), AVG Score: -107.55
Save 39 - Episode 1140/1500, Score: -103.0 (0.01), AVG Score: -107.69
Save 40 - Episode 1141/1500, Score: -105.0 (0.01), AVG Score: -107.68
Save 41 - Episode 1146/1500, Score: -104.0 (0.01), AVG Score: -107.91
Save 42 - Episode 1147/1500, Score: -107.0 (0.01), AVG Score: -107.81
Save 43 - Episode 1148/1500, Score: -107.0 (0.01), AVG Score: -107.69
Save 44 - Episode 1151/1500, Score: -107.0 (0.01), AVG Score: -107.86
Save 45 - Episode 1152/1500, Score: -108.0 (0.01), AVG Score: -108.09
Save 46 - Episode 1155/1500, Score: -105.0 (0.01), AVG Score: -108.35
Save 47 - Episode 1159/1500, Score: -103.0 (0.01), AVG Score: -108.67
Save 48 - Episode 1162/1500, Score: -107.0 (0.01), AVG Score: -108.79
Save 49 - Episode 1164/1500, Score: -85.0 (0.01), AVG Score: -108.81
Save 50 - Episode 1165/1500, Score: -86.0 (0.01), AVG Score: -108.59
Save 51 - Episode 1167/1500, Score: -104.0 (0.01), AVG Score: -108.79
Save 52 - Episode 1169/1500, Score: -100.0 (0.01), AVG Score: -108.76
Save 53 - Episode 1170/1500, Score: -103.0 (0.01), AVG Score: -108.93
Save 54 - Episode 1173/1500, Score: -106.0 (0.01), AVG Score: -109.15
Save 55 - Episode 1174/1500, Score: -105.0 (0.01), AVG Score: -109.1
Save 56 - Episode 1176/1500, Score: -89.0 (0.01), AVG Score: -108.43
Save 57 - Episode 1177/1500, Score: -108.0 (0.01), AVG Score: -108.59
Save 58 - Episode 1180/1500, Score: -90.0 (0.01), AVG Score: -108.64
Save 59 - Episode 1182/1500, Score: -102.0 (0.01), AVG Score: -108.65
Save 60 - Episode 1184/1500, Score: -92.0 (0.01), AVG Score: -108.76
Save 61 - Episode 1186/1500, Score: -104.0 (0.01), AVG Score: -109.08
Save 62 - Episode 1187/1500, Score: -83.0 (0.01), AVG Score: -108.86
Save 63 - Episode 1188/1500, Score: -102.0 (0.01), AVG Score: -108.77
Save 64 - Episode 1189/1500, Score: -92.0 (0.01), AVG Score: -108.26
Save 65 - Episode 1190/1500, Score: -105.0 (0.01), AVG Score: -107.96
Save 66 - Episode 1191/1500, Score: -100.0 (0.01), AVG Score: -107.86
Save 67 - Episode 1193/1500, Score: -98.0 (0.01), AVG Score: -107.74
Save 68 - Episode 1194/1500, Score: -105.0 (0.01), AVG Score: -107.6
Save 69 - Episode 1195/1500, Score: -101.0 (0.01), AVG Score: -107.58
Save 70 - Episode 1196/1500, Score: -92.0 (0.01), AVG Score: -107.47
Save 71 - Episode 1197/1500, Score: -105.0 (0.01), AVG Score: -107.47
Save 72 - Episode 1200/1500, Score: -108.0 (0.01), AVG Score: -107.69
Save 73 - Episode 1203/1500, Score: -104.0 (0.01), AVG Score: -107.68
Save 74 - Episode 1204/1500, Score: -102.0 (0.01), AVG Score: -107.81
Save 75 - Episode 1205/1500, Score: -107.0 (0.01), AVG Score: -107.84
Save 76 - Episode 1208/1500, Score: -105.0 (0.01), AVG Score: -108.18
Save 77 - Episode 1209/1500, Score: -106.0 (0.01), AVG Score: -108.22
Save 78 - Episode 1211/1500, Score: -108.0 (0.01), AVG Score: -108.31
Save 79 - Episode 1212/1500, Score: -106.0 (0.01), AVG Score: -108.25
Save 80 - Episode 1213/1500, Score: -104.0 (0.01), AVG Score: -108.19
Save 81 - Episode 1214/1500, Score: -105.0 (0.01), AVG Score: -108.21
Save 82 - Episode 1215/1500, Score: -104.0 (0.01), AVG Score: -108.34
Save 83 - Episode 1216/1500, Score: -97.0 (0.01), AVG Score: -108.38
Save 84 - Episode 1217/1500, Score: -90.0 (0.01), AVG Score: -108.17
Save 85 - Episode 1218/1500, Score: -103.0 (0.01), AVG Score: -108.29
Save 86 - Episode 1219/1500, Score: -102.0 (0.01), AVG Score: -108.28
Save 87 - Episode 1220/1500, Score: -102.0 (0.01), AVG Score: -108.25
Save 88 - Episode 1221/1500, Score: -104.0 (0.01), AVG Score: -108.19
Save 89 - Episode 1223/1500, Score: -106.0 (0.01), AVG Score: -108.09
Save 90 - Episode 1224/1500, Score: -89.0 (0.01), AVG Score: -107.85
Save 91 - Episode 1227/1500, Score: -103.0 (0.01), AVG Score: -107.95
Save 92 - Episode 1228/1500, Score: -107.0 (0.01), AVG Score: -108.05
Save 93 - Episode 1229/1500, Score: -87.0 (0.01), AVG Score: -107.98
Save 94 - Episode 1232/1500, Score: -103.0 (0.01), AVG Score: -108.15
Save 95 - Episode 1233/1500, Score: -97.0 (0.01), AVG Score: -108.08
Save 96 - Episode 1234/1500, Score: -108.0 (0.01), AVG Score: -108.29
Save 97 - Episode 1235/1500, Score: -91.0 (0.01), AVG Score: -108.02
Save 98 - Episode 1236/1500, Score: -106.0 (0.01), AVG Score: -107.95
Save 99 - Episode 1237/1500, Score: -103.0 (0.01), AVG Score: -107.94
Save 100 - Episode 1241/1500, Score: -105.0 (0.01), AVG Score: -108.3
Save 101 - Episode 1242/1500, Score: -104.0 (0.01), AVG Score: -108.12
Save 102 - Episode 1243/1500, Score: -87.0 (0.01), AVG Score: -107.78
Save 103 - Episode 1248/1500, Score: -85.0 (0.01), AVG Score: -107.64
Save 104 - Episode 1250/1500, Score: -102.0 (0.01), AVG Score: -107.69
Save 105 - Episode 1251/1500, Score: -108.0 (0.01), AVG Score: -107.7
Save 106 - Episode 1253/1500, Score: -93.0 (0.01), AVG Score: -106.99
Save 107 - Episode 1256/1500, Score: -106.0 (0.01), AVG Score: -107.45
Save 108 - Episode 1257/1500, Score: -102.0 (0.01), AVG Score: -107.38
Save 109 - Episode 1259/1500, Score: -103.0 (0.01), AVG Score: -106.99
Save 110 - Episode 1260/1500, Score: -85.0 (0.01), AVG Score: -106.7
Save 111 - Episode 1261/1500, Score: -85.0 (0.01), AVG Score: -106.39
Save 112 - Episode 1263/1500, Score: -89.0 (0.01), AVG Score: -106.13
Save 113 - Episode 1273/1500, Score: -102.0 (0.01), AVG Score: -106.78
Save 114 - Episode 1274/1500, Score: -102.0 (0.01), AVG Score: -106.75
Save 115 - Episode 1275/1500, Score: -106.0 (0.01), AVG Score: -106.57
Save 116 - Episode 1276/1500, Score: -104.0 (0.01), AVG Score: -106.72
Save 117 - Episode 1277/1500, Score: -95.0 (0.01), AVG Score: -106.59
