Save 0 - Episode 923/1500, Score: -86.0 (0.01), AVG Score: -109.86
Save 1 - Episode 932/1500, Score: -98.0 (0.01), AVG Score: -109.14
Save 2 - Episode 934/1500, Score: -99.0 (0.01), AVG Score: -108.85
Save 3 - Episode 935/1500, Score: -89.0 (0.01), AVG Score: -108.78
Save 4 - Episode 940/1500, Score: -104.0 (0.01), AVG Score: -108.27
Save 5 - Episode 941/1500, Score: -87.0 (0.01), AVG Score: -107.94
Save 6 - Episode 942/1500, Score: -84.0 (0.01), AVG Score: -107.72
Save 7 - Episode 944/1500, Score: -93.0 (0.01), AVG Score: -107.57
Save 8 - Episode 945/1500, Score: -102.0 (0.01), AVG Score: -107.34
Save 9 - Episode 949/1500, Score: -108.0 (0.01), AVG Score: -107.61
Save 10 - Episode 953/1500, Score: -89.0 (0.01), AVG Score: -107.51
Save 11 - Episode 955/1500, Score: -84.0 (0.01), AVG Score: -107.25
Save 12 - Episode 956/1500, Score: -98.0 (0.01), AVG Score: -107.12
Save 13 - Episode 957/1500, Score: -103.0 (0.01), AVG Score: -107.07
Save 14 - Episode 958/1500, Score: -85.0 (0.01), AVG Score: -107.03
Save 15 - Episode 959/1500, Score: -92.0 (0.01), AVG Score: -106.83
Save 16 - Episode 960/1500, Score: -107.0 (0.01), AVG Score: -107.02
Save 17 - Episode 962/1500, Score: -105.0 (0.01), AVG Score: -106.81
Save 18 - Episode 964/1500, Score: -108.0 (0.01), AVG Score: -106.57
Save 19 - Episode 966/1500, Score: -105.0 (0.01), AVG Score: -106.98
Save 20 - Episode 967/1500, Score: -108.0 (0.01), AVG Score: -107.17
Save 21 - Episode 968/1500, Score: -105.0 (0.01), AVG Score: -107.1
Save 22 - Episode 969/1500, Score: -88.0 (0.01), AVG Score: -106.92
Save 23 - Episode 970/1500, Score: -89.0 (0.01), AVG Score: -106.71
Save 24 - Episode 971/1500, Score: -86.0 (0.01), AVG Score: -106.48
Save 25 - Episode 973/1500, Score: -102.0 (0.01), AVG Score: -105.94
Save 26 - Episode 975/1500, Score: -89.0 (0.01), AVG Score: -105.29
Save 27 - Episode 976/1500, Score: -89.0 (0.01), AVG Score: -105.07
Save 28 - Episode 978/1500, Score: -95.0 (0.01), AVG Score: -105.01
Save 29 - Episode 979/1500, Score: -91.0 (0.01), AVG Score: -104.86
Save 30 - Episode 980/1500, Score: -88.0 (0.01), AVG Score: -104.63
Save 31 - Episode 984/1500, Score: -102.0 (0.01), AVG Score: -104.91
Save 32 - Episode 986/1500, Score: -86.0 (0.01), AVG Score: -104.96
Save 33 - Episode 987/1500, Score: -105.0 (0.01), AVG Score: -104.9
Save 34 - Episode 989/1500, Score: -101.0 (0.01), AVG Score: -104.75
Save 35 - Episode 990/1500, Score: -84.0 (0.01), AVG Score: -104.45
Save 36 - Episode 993/1500, Score: -96.0 (0.01), AVG Score: -104.57
Save 37 - Episode 994/1500, Score: -105.0 (0.01), AVG Score: -104.76
Save 38 - Episode 995/1500, Score: -85.0 (0.01), AVG Score: -104.53
Save 39 - Episode 997/1500, Score: -107.0 (0.01), AVG Score: -104.54
Save 40 - Episode 1000/1500, Score: -106.0 (0.01), AVG Score: -104.5
Save 41 - Episode 1001/1500, Score: -94.0 (0.01), AVG Score: -104.4
Save 42 - Episode 1004/1500, Score: -95.0 (0.01), AVG Score: -104.44
Save 43 - Episode 1005/1500, Score: -87.0 (0.01), AVG Score: -104.35
Save 44 - Episode 1007/1500, Score: -89.0 (0.01), AVG Score: -104.27
Save 45 - Episode 1008/1500, Score: -107.0 (0.01), AVG Score: -104.48
Save 46 - Episode 1009/1500, Score: -102.0 (0.01), AVG Score: -104.66
Save 47 - Episode 1010/1500, Score: -85.0 (0.01), AVG Score: -104.4
Save 48 - Episode 1011/1500, Score: -88.0 (0.01), AVG Score: -104.19
Save 49 - Episode 1014/1500, Score: -106.0 (0.01), AVG Score: -104.05
Save 50 - Episode 1016/1500, Score: -90.0 (0.01), AVG Score: -103.97
Save 51 - Episode 1020/1500, Score: -90.0 (0.01), AVG Score: -104.07
Save 52 - Episode 1021/1500, Score: -85.0 (0.01), AVG Score: -103.79
Save 53 - Episode 1022/1500, Score: -104.0 (0.01), AVG Score: -103.82
Save 54 - Episode 1023/1500, Score: -99.0 (0.01), AVG Score: -103.95
Save 55 - Episode 1027/1500, Score: -108.0 (0.01), AVG Score: -103.9
Save 56 - Episode 1028/1500, Score: -108.0 (0.01), AVG Score: -103.84
Save 57 - Episode 1032/1500, Score: -93.0 (0.01), AVG Score: -103.74
Save 58 - Episode 1034/1500, Score: -94.0 (0.01), AVG Score: -103.69
Save 59 - Episode 1036/1500, Score: -106.0 (0.01), AVG Score: -103.83
Save 60 - Episode 1037/1500, Score: -106.0 (0.01), AVG Score: -103.78
Save 61 - Episode 1038/1500, Score: -91.0 (0.01), AVG Score: -103.54
Save 62 - Episode 1039/1500, Score: -104.0 (0.01), AVG Score: -103.47
Save 63 - Episode 1040/1500, Score: -86.0 (0.01), AVG Score: -103.29
Save 64 - Episode 1041/1500, Score: -105.0 (0.01), AVG Score: -103.47
Save 65 - Episode 1043/1500, Score: -91.0 (0.01), AVG Score: -103.5
Save 66 - Episode 1044/1500, Score: -87.0 (0.01), AVG Score: -103.44
Save 67 - Episode 1046/1500, Score: -95.0 (0.01), AVG Score: -103.37
Save 68 - Episode 1052/1500, Score: -107.0 (0.01), AVG Score: -103.34
Save 69 - Episode 1053/1500, Score: -95.0 (0.01), AVG Score: -103.4
Save 70 - Episode 1054/1500, Score: -89.0 (0.01), AVG Score: -103.18
Save 71 - Episode 1055/1500, Score: -84.0 (0.01), AVG Score: -103.18
Save 72 - Episode 1057/1500, Score: -107.0 (0.01), AVG Score: -103.39
Save 73 - Episode 1061/1500, Score: -108.0 (0.01), AVG Score: -104.0
Save 74 - Episode 1067/1500, Score: -86.0 (0.01), AVG Score: -104.05
Save 75 - Episode 1073/1500, Score: -92.0 (0.01), AVG Score: -104.93
Save 76 - Episode 1074/1500, Score: -88.0 (0.01), AVG Score: -104.64
Save 77 - Episode 1076/1500, Score: -94.0 (0.01), AVG Score: -104.89
Save 78 - Episode 1085/1500, Score: -86.0 (0.01), AVG Score: -105.82
Save 79 - Episode 1086/1500, Score: -91.0 (0.01), AVG Score: -105.87
Save 80 - Episode 1087/1500, Score: -105.0 (0.01), AVG Score: -105.87
Save 81 - Episode 1089/1500, Score: -103.0 (0.01), AVG Score: -105.91
Save 82 - Episode 1090/1500, Score: -105.0 (0.01), AVG Score: -106.12
Save 83 - Episode 1092/1500, Score: -87.0 (0.01), AVG Score: -105.85
Save 84 - Episode 1096/1500, Score: -106.0 (0.01), AVG Score: -106.29
Save 85 - Episode 1097/1500, Score: -94.0 (0.01), AVG Score: -106.16
Save 86 - Episode 1101/1500, Score: -106.0 (0.01), AVG Score: -106.33
Save 87 - Episode 1102/1500, Score: -106.0 (0.01), AVG Score: -106.22
Save 88 - Episode 1103/1500, Score: -92.0 (0.01), AVG Score: -106.01
Save 89 - Episode 1104/1500, Score: -87.0 (0.01), AVG Score: -105.93
Save 90 - Episode 1106/1500, Score: -85.0 (0.01), AVG Score: -105.92
Save 91 - Episode 1107/1500, Score: -103.0 (0.01), AVG Score: -106.06
Save 92 - Episode 1108/1500, Score: -101.0 (0.01), AVG Score: -106.0
Save 93 - Episode 1110/1500, Score: -94.0 (0.01), AVG Score: -106.25
Save 94 - Episode 1111/1500, Score: -92.0 (0.01), AVG Score: -106.29
Save 95 - Episode 1113/1500, Score: -96.0 (0.01), AVG Score: -106.19
Save 96 - Episode 1117/1500, Score: -105.0 (0.01), AVG Score: -107.13
Save 97 - Episode 1118/1500, Score: -102.0 (0.01), AVG Score: -107.02
Save 98 - Episode 1121/1500, Score: -88.0 (0.01), AVG Score: -107.19
Save 99 - Episode 1122/1500, Score: -86.0 (0.01), AVG Score: -107.01
Save 100 - Episode 1123/1500, Score: -106.0 (0.01), AVG Score: -107.08
Save 101 - Episode 1124/1500, Score: -91.0 (0.01), AVG Score: -106.9
Save 102 - Episode 1126/1500, Score: -93.0 (0.01), AVG Score: -106.64
Save 103 - Episode 1129/1500, Score: -91.0 (0.01), AVG Score: -106.5
Save 104 - Episode 1130/1500, Score: -88.0 (0.01), AVG Score: -106.29
Save 105 - Episode 1134/1500, Score: -89.0 (0.01), AVG Score: -106.41
Save 106 - Episode 1135/1500, Score: -85.0 (0.01), AVG Score: -106.17
Save 107 - Episode 1138/1500, Score: -87.0 (0.01), AVG Score: -106.21
Save 108 - Episode 1139/1500, Score: -88.0 (0.01), AVG Score: -106.05
Save 109 - Episode 1142/1500, Score: -104.0 (0.01), AVG Score: -106.36
Save 110 - Episode 1145/1500, Score: -106.0 (0.01), AVG Score: -106.73
Save 111 - Episode 1147/1500, Score: -102.0 (0.01), AVG Score: -106.8
Save 112 - Episode 1148/1500, Score: -108.0 (0.01), AVG Score: -106.79
Save 113 - Episode 1151/1500, Score: -85.0 (0.01), AVG Score: -106.62
Save 114 - Episode 1152/1500, Score: -100.0 (0.01), AVG Score: -106.55
Save 115 - Episode 1154/1500, Score: -102.0 (0.01), AVG Score: -106.87
Save 116 - Episode 1158/1500, Score: -106.0 (0.01), AVG Score: -107.27
Save 117 - Episode 1159/1500, Score: -89.0 (0.01), AVG Score: -106.97
Save 118 - Episode 1160/1500, Score: -95.0 (0.01), AVG Score: -106.79
Save 119 - Episode 1165/1500, Score: -91.0 (0.01), AVG Score: -106.72
Save 120 - Episode 1166/1500, Score: -87.0 (0.01), AVG Score: -106.48
