Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:53:18.243679,11:53:24.329443,1,-1.0
1,11:53:18.243679,11:53:30.976975,1,-1.0
1,11:53:18.243679,11:53:36.005521,1,-1.0
1,11:53:18.243679,11:53:41.124768,-1,-1.0
1,11:53:18.243679,11:53:44.945154,-1,-1.0
1,11:53:18.243679,11:53:48.737200,-1,-1.0
1,11:53:18.243679,11:53:53.493865,1,-1.0
1,11:53:18.243679,11:54:00.880316,1,-1.0
1,11:53:18.243679,11:54:05.662653,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:54:11.550861,11:54:16.611243,-1,-1.0
2,11:54:11.550861,11:54:26.669540,-1,-1.0
2,11:54:11.550861,11:54:30.737238,1,-1.0
2,11:54:11.550861,11:54:41.381095,-1,-1.0
2,11:54:11.550861,11:54:45.377015,-1,-1.0
2,11:54:11.550861,11:54:48.831144,1,-1.0
2,11:54:11.550861,11:55:01.786874,1,-1.0
2,11:54:11.550861,11:55:09.213899,1,-1.0
2,11:54:11.550861,11:55:20.353371,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,11:55:23.775186,11:55:28.242587,1,-1.0
3,11:55:23.775186,11:55:37.285176,-1,-1.0
3,11:55:23.775186,11:55:43.234634,1,-1.0
3,11:55:23.775186,11:55:49.925847,-1,-1.0
3,11:55:23.775186,11:55:54.912094,-1,-1.0
3,11:55:23.775186,11:55:59.601640,-1,-1.0
3,11:55:23.775186,11:56:05.088941,1,-1.0
3,11:55:23.775186,11:56:12.401979,-1,-1.0
3,11:55:23.775186,11:56:16.718035,1,-1.0
3,11:55:23.775186,11:56:21.932186,1,-1.0
3,11:55:23.775186,11:56:27.827245,1,-1.0
3,11:55:23.775186,11:56:34.421374,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,11:56:38.742141,11:56:42.834151,1,-1.0
4,11:56:38.742141,11:56:49.313262,1,-1.0
4,11:56:38.742141,11:56:55.390800,1,-1.0
4,11:56:38.742141,11:57:02.015601,1,-1.0
4,11:56:38.742141,11:57:09.800740,1,-1.0
4,11:56:38.742141,11:57:15.380874,1,-1.0
4,11:56:38.742141,11:57:21.267803,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,11:57:26.527819,11:57:36.001469,-1,-1.0
5,11:57:26.527819,11:57:40.818206,1,-1.0
5,11:57:26.527819,11:57:50.066512,-1,-1.0
5,11:57:26.527819,11:57:53.889011,-1,-1.0
5,11:57:26.527819,11:57:57.346100,-1,-1.0
5,11:57:26.527819,11:58:12.326395,1,-1.0
5,11:57:26.527819,11:58:19.472404,1,-1.0
