Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,13:04:19.491311,13:04:25.319479,1,-1.0
1,13:04:19.491311,13:04:32.031315,1,-1.0
1,13:04:19.491311,13:04:38.512886,1,-1.0
1,13:04:19.491311,13:04:49.029062,-1,-1.0
1,13:04:19.491311,13:04:54.858365,-1,-1.0
1,13:04:19.491311,13:04:59.604933,-1,-1.0
1,13:04:19.491311,13:05:05.764337,-1,-1.0
1,13:04:19.491311,13:05:10.022036,1,-1.0
1,13:04:19.491311,13:05:20.403381,-1,-1.0
1,13:04:19.491311,13:05:32.712013,-1,-1.0
1,13:04:19.491311,13:05:37.741329,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
