Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:25:02.824619,10:25:10.038303,1,-1.0
1,10:25:02.824619,10:25:17.030627,1,-1.0
1,10:25:02.824619,10:25:22.249422,1,-1.0
1,10:25:02.824619,10:25:26.339858,-1,-1.0
1,10:25:02.824619,10:25:30.758887,-1,-1.0
1,10:25:02.824619,10:25:34.577957,-1,-1.0
1,10:25:02.824619,10:25:38.574877,1,-1.0
1,10:25:02.824619,10:25:42.897496,1,-1.0
1,10:25:02.824619,10:25:47.616428,1,-1.0
1,10:25:02.824619,10:25:52.280641,1,-1.0
1,10:25:02.824619,10:25:56.812807,1,-1.0
1,10:25:02.824619,10:26:02.325494,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
