Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:03:58.764355,23:04:05.374544,1,-1.0
1,23:03:58.764355,23:04:12.682921,-1,-1.0
1,23:03:58.764355,23:04:17.084655,-1,-1.0
1,23:03:58.764355,23:04:24.147754,-1,-1.0
1,23:03:58.764355,23:04:29.415353,1,-1.0
1,23:03:58.764355,23:04:35.874887,-1,-1.0
1,23:03:58.764355,23:04:40.025194,-1,-1.0
1,23:03:58.764355,23:04:45.159273,-1,-1.0
1,23:03:58.764355,23:04:53.099589,-1,-1.0
1,23:03:58.764355,23:04:58.953426,-1,-1.0
1,23:03:58.764355,23:05:02.699020,-1,-1.0
1,23:03:58.764355,23:05:09.687528,1,-1.0
1,23:03:58.764355,23:05:14.302249,1,-1.0
1,23:03:58.764355,23:05:18.832316,1,-1.0
1,23:03:58.764355,23:05:24.828976,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,23:05:28.845236,23:05:36.084484,-1,-1.0
2,23:05:28.845236,23:05:40.766285,-1,-1.0
2,23:05:28.845236,23:05:50.358526,1,-1.0
2,23:05:28.845236,23:05:55.165584,1,-1.0
2,23:05:28.845236,23:06:01.706468,1,-1.0
2,23:05:28.845236,23:06:08.569860,1,-1.0
2,23:05:28.845236,23:06:16.025552,1,-1.0
