Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:10:26.390471,15:10:32.802925,1,-1.0
1,15:10:26.390471,15:10:42.222338,1,-1.0
1,15:10:26.390471,15:10:47.629322,-1,-1.0
1,15:10:26.390471,15:10:54.691312,1,-1.0
1,15:10:26.390471,15:11:03.741287,-1,-1.0
1,15:10:26.390471,15:11:09.490724,-1,-1.0
1,15:10:26.390471,15:11:12.534710,-1,-1.0
1,15:10:26.390471,15:11:13.167217,1,-1.0
1,15:10:26.390471,15:11:21.963307,-1,-1.0
1,15:10:26.390471,15:11:23.557018,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:11:26.635666,15:11:31.853925,1,-1.0
2,15:11:26.635666,15:11:38.133778,-1,-1.0
2,15:11:26.635666,15:11:39.117478,1,-1.0
2,15:11:26.635666,15:11:47.783333,-1,-1.0
2,15:11:26.635666,15:11:48.769665,1,-1.0
2,15:11:26.635666,15:11:51.432948,-1,-1.0
2,15:11:26.635666,15:11:53.691139,-1,-1.0
2,15:11:26.635666,15:11:55.137384,1,-1.0
2,15:11:26.635666,15:12:05.320864,1,-1.0
