Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:50:33.552295,11:50:42.885894,-1,-1.0
1,11:50:33.552295,11:50:46.943126,-1,-1.0
1,11:50:33.552295,11:50:51.889990,1,-1.0
1,11:50:33.552295,11:50:58.109641,1,-1.0
1,11:50:33.552295,11:51:03.661931,-1,-1.0
1,11:50:33.552295,11:51:08.060093,-1,-1.0
1,11:50:33.552295,11:51:12.977276,1,-1.0
1,11:50:33.552295,11:51:24.784470,1,-1.0
1,11:50:33.552295,11:51:32.738548,1,-1.0
1,11:50:33.552295,11:51:39.580286,-1,-1.0
1,11:50:33.552295,11:51:43.564898,1,-1.0
1,11:50:33.552295,11:51:48.655396,1,-1.0
1,11:50:33.552295,11:51:54.976361,1,-1.0
