Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:56:10.670567,15:56:11.245915,1,-1.0
1,15:56:10.670567,15:56:11.428059,1,-1.0
1,15:56:10.670567,15:56:11.593604,1,-1.0
1,15:56:10.670567,15:56:11.838929,1,-1.0
1,15:56:10.670567,15:56:11.989441,1,-1.0
1,15:56:10.670567,15:56:12.160766,1,-1.0
1,15:56:10.670567,15:56:12.322563,1,-1.0
1,15:56:10.670567,15:56:12.495538,1,-1.0
1,15:56:10.670567,15:56:12.660405,1,-1.0
1,15:56:10.670567,15:56:12.832149,1,-1.0
1,15:56:10.670567,15:56:12.997770,1,-1.0
1,15:56:10.670567,15:56:13.327657,1,-1.0
1,15:56:10.670567,15:56:13.601822,1,-1.0
1,15:56:10.670567,15:56:13.878053,1,-1.0
1,15:56:10.670567,15:56:14.141399,-1,-1.0
1,15:56:10.670567,15:56:14.553707,-1,-1.0
1,15:56:10.670567,15:56:14.808755,-1,-1.0
1,15:56:10.670567,15:56:15.074257,-1,-1.0
1,15:56:10.670567,15:56:15.349499,-1,-1.0
1,15:56:10.670567,15:56:15.581910,-1,-1.0
1,15:56:10.670567,15:56:15.837693,-1,-1.0
1,15:56:10.670567,15:56:16.071064,-1,-1.0
1,15:56:10.670567,15:56:16.424179,1,-1.0
1,15:56:10.670567,15:56:16.619861,1,-1.0
1,15:56:10.670567,15:56:16.781074,1,-1.0
1,15:56:10.670567,15:56:17.047776,1,-1.0
1,15:56:10.670567,15:56:17.076588,-1,-1.0
1,15:56:10.670567,15:56:17.258937,-1,-1.0
1,15:56:10.670567,15:56:17.460925,-1,-1.0
1,15:56:10.670567,15:56:17.792717,-1,-1.0
1,15:56:10.670567,15:56:17.978609,-1,-1.0
1,15:56:10.670567,15:56:18.399287,-1,-1.0
1,15:56:10.670567,15:56:18.694593,1,-1.0
1,15:56:10.670567,15:56:18.990960,-1,-1.0
1,15:56:10.670567,15:56:19.181571,-1,-1.0
1,15:56:10.670567,15:56:19.636723,-1,-1.0
1,15:56:10.670567,15:56:19.953616,1,-1.0
1,15:56:10.670567,15:56:20.114593,1,-1.0
1,15:56:10.670567,15:56:20.297938,1,-1.0
1,15:56:10.670567,15:56:20.430520,1,-1.0
1,15:56:10.670567,15:56:20.581690,1,-1.0
1,15:56:10.670567,15:56:20.730933,1,-1.0
1,15:56:10.670567,15:56:21.108984,1,-1.0
1,15:56:10.670567,15:56:21.293021,1,-1.0
1,15:56:10.670567,15:56:21.476874,1,-1.0
1,15:56:10.670567,15:56:21.782636,1,-1.0
1,15:56:10.670567,15:56:21.965743,1,-1.0
1,15:56:10.670567,15:56:22.138675,1,-1.0
1,15:56:10.670567,15:56:22.310153,1,-1.0
1,15:56:10.670567,15:56:22.491585,1,-1.0
1,15:56:10.670567,15:56:22.665976,1,-1.0
1,15:56:10.670567,15:56:23.221454,-1,-1.0
1,15:56:10.670567,15:56:23.505754,-1,-1.0
1,15:56:10.670567,15:56:23.719939,-1,-1.0
1,15:56:10.670567,15:56:23.981849,-1,-1.0
1,15:56:10.670567,15:56:24.228673,-1,-1.0
1,15:56:10.670567,15:56:24.636929,-1,-1.0
1,15:56:10.670567,15:56:24.999847,-1,-1.0
1,15:56:10.670567,15:56:25.374009,1,-1.0
1,15:56:10.670567,15:56:25.569298,1,-1.0
1,15:56:10.670567,15:56:25.730868,1,-1.0
1,15:56:10.670567,15:56:25.933678,1,-1.0
1,15:56:10.670567,15:56:26.107666,1,-1.0
1,15:56:10.670567,15:56:26.309762,1,-1.0
1,15:56:10.670567,15:56:26.523721,1,-1.0
1,15:56:10.670567,15:56:26.725734,1,-1.0
1,15:56:10.670567,15:56:26.890926,1,-1.0
1,15:56:10.670567,15:56:27.218481,-1,-1.0
1,15:56:10.670567,15:56:27.462678,-1,-1.0
1,15:56:10.670567,15:56:27.906892,-1,-1.0
1,15:56:10.670567,15:56:28.151176,-1,-1.0
1,15:56:10.670567,15:56:28.366603,-1,-1.0
1,15:56:10.670567,15:56:28.540560,-1,-1.0
1,15:56:10.670567,15:56:28.723600,-1,-1.0
1,15:56:10.670567,15:56:29.333739,-1,-1.0
1,15:56:10.670567,15:56:29.672625,1,-1.0
1,15:56:10.670567,15:56:29.987823,-1,-1.0
1,15:56:10.670567,15:56:30.401049,-1,-1.0
1,15:56:10.670567,15:56:30.891949,-1,-1.0
1,15:56:10.670567,15:56:31.428596,1,-1.0
1,15:56:10.670567,15:56:31.769724,-1,-1.0
1,15:56:10.670567,15:56:32.098228,-1,-1.0
1,15:56:10.670567,15:56:32.301005,-1,-1.0
1,15:56:10.670567,15:56:32.747871,-1,-1.0
1,15:56:10.670567,15:56:33.202474,-1,-1.0
1,15:56:10.670567,15:56:33.803184,-1,-1.0
1,15:56:10.670567,15:56:34.278002,-1,-1.0
1,15:56:10.670567,15:56:34.868130,-1,-1.0
1,15:56:10.670567,15:56:35.198468,-1,-1.0
1,15:56:10.670567,15:56:35.588792,-1,-1.0
1,15:56:10.670567,15:56:36.287028,-1,-1.0
1,15:56:10.670567,15:56:36.718871,-1,-1.0
1,15:56:10.670567,15:56:36.736461,1,-1.0
1,15:56:10.670567,15:56:36.899208,-1,-1.0
1,15:56:10.670567,15:56:37.019203,1,-1.0
1,15:56:10.670567,15:56:37.139297,-1,-1.0
