Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:06:25.871622,16:06:46.834575,-1,-1.0
1,16:06:25.871622,16:06:47.021440,-1,-1.0
1,16:06:25.871622,16:06:47.238002,-1,-1.0
1,16:06:25.871622,16:06:47.744705,-1,-1.0
1,16:06:25.871622,16:06:48.312612,-1,-1.0
1,16:06:25.871622,16:06:49.239814,1,-1.0
1,16:06:25.871622,16:06:49.374638,1,-1.0
1,16:06:25.871622,16:06:49.523551,1,-1.0
1,16:06:25.871622,16:06:49.675476,1,-1.0
1,16:06:25.871622,16:06:49.816633,1,-1.0
1,16:06:25.871622,16:06:49.980454,1,-1.0
1,16:06:25.871622,16:06:50.135925,1,-1.0
1,16:06:25.871622,16:06:50.274216,1,-1.0
1,16:06:25.871622,16:06:50.416845,1,-1.0
1,16:06:25.871622,16:06:50.563051,1,-1.0
1,16:06:25.871622,16:06:50.722839,1,-1.0
1,16:06:25.871622,16:06:50.877748,1,-1.0
1,16:06:25.871622,16:06:51.026326,1,-1.0
1,16:06:25.871622,16:06:51.261666,1,-1.0
1,16:06:25.871622,16:06:51.413851,1,-1.0
1,16:06:25.871622,16:06:51.571701,1,-1.0
1,16:06:25.871622,16:06:51.718887,1,-1.0
1,16:06:25.871622,16:06:51.892098,1,-1.0
1,16:06:25.871622,16:06:52.222213,1,-1.0
1,16:06:25.871622,16:06:52.365906,1,-1.0
1,16:06:25.871622,16:06:52.536493,1,-1.0
1,16:06:25.871622,16:06:52.683370,1,-1.0
1,16:06:25.871622,16:06:52.836429,1,-1.0
1,16:06:25.871622,16:06:52.997366,1,-1.0
1,16:06:25.871622,16:06:53.148692,1,-1.0
1,16:06:25.871622,16:06:53.348170,-1,-1.0
1,16:06:25.871622,16:06:53.643199,-1,-1.0
1,16:06:25.871622,16:06:54.329615,-1,-1.0
1,16:06:25.871622,16:06:54.856627,-1,-1.0
1,16:06:25.871622,16:06:55.998073,-1,-1.0
1,16:06:25.871622,16:06:56.789035,-1,-1.0
1,16:06:25.871622,16:06:57.331808,-1,-1.0
1,16:06:25.871622,16:06:58.037699,-1,-1.0
1,16:06:25.871622,16:06:58.419553,-1,-1.0
1,16:06:25.871622,16:06:58.855188,1,-1.0
1,16:06:25.871622,16:06:59.014868,1,-1.0
1,16:06:25.871622,16:06:59.176890,1,-1.0
1,16:06:25.871622,16:06:59.344571,1,-1.0
1,16:06:25.871622,16:06:59.511548,1,-1.0
1,16:06:25.871622,16:06:59.678957,1,-1.0
1,16:06:25.871622,16:06:59.812169,1,-1.0
1,16:06:25.871622,16:06:59.968136,1,-1.0
1,16:06:25.871622,16:07:00.121409,1,-1.0
1,16:06:25.871622,16:07:00.261474,1,-1.0
1,16:06:25.871622,16:07:00.437518,1,-1.0
1,16:06:25.871622,16:07:00.585797,1,-1.0
1,16:06:25.871622,16:07:00.716481,1,-1.0
1,16:06:25.871622,16:07:00.894100,1,-1.0
1,16:06:25.871622,16:07:01.239598,1,-1.0
1,16:06:25.871622,16:07:01.580477,1,-1.0
1,16:06:25.871622,16:07:01.746664,1,-1.0
1,16:06:25.871622,16:07:01.919316,-1,-1.0
1,16:06:25.871622,16:07:02.166344,-1,-1.0
1,16:06:25.871622,16:07:02.512050,-1,-1.0
1,16:06:25.871622,16:07:03.020050,-1,-1.0
1,16:06:25.871622,16:07:03.365018,1,-1.0
1,16:06:25.871622,16:07:03.560774,1,-1.0
1,16:06:25.871622,16:07:03.718428,1,-1.0
1,16:06:25.871622,16:07:03.900930,1,-1.0
1,16:06:25.871622,16:07:04.075246,1,-1.0
1,16:06:25.871622,16:07:04.238545,1,-1.0
1,16:06:25.871622,16:07:04.397013,1,-1.0
1,16:06:25.871622,16:07:04.546015,1,-1.0
1,16:06:25.871622,16:07:04.704669,1,-1.0
1,16:06:25.871622,16:07:04.856183,1,-1.0
1,16:06:25.871622,16:07:05.025077,1,-1.0
1,16:06:25.871622,16:07:05.178922,1,-1.0
1,16:06:25.871622,16:07:05.357521,1,-1.0
1,16:06:25.871622,16:07:05.523063,1,-1.0
1,16:06:25.871622,16:07:05.691991,1,-1.0
1,16:06:25.871622,16:07:05.896794,1,-1.0
1,16:06:25.871622,16:07:06.073807,1,-1.0
1,16:06:25.871622,16:07:06.249278,1,-1.0
1,16:06:25.871622,16:07:06.418787,1,-1.0
1,16:06:25.871622,16:07:06.603131,1,-1.0
1,16:06:25.871622,16:07:06.766380,1,-1.0
1,16:06:25.871622,16:07:06.921953,1,-1.0
1,16:06:25.871622,16:07:07.078816,1,-1.0
1,16:06:25.871622,16:07:07.240326,1,-1.0
1,16:06:25.871622,16:07:07.397559,1,-1.0
1,16:06:25.871622,16:07:07.555964,1,-1.0
1,16:06:25.871622,16:07:07.696502,1,-1.0
1,16:06:25.871622,16:07:07.866719,1,-1.0
1,16:06:25.871622,16:07:08.023065,1,-1.0
1,16:06:25.871622,16:07:08.186365,1,-1.0
1,16:06:25.871622,16:07:08.553017,1,-1.0
1,16:06:25.871622,16:07:08.747251,1,-1.0
1,16:06:25.871622,16:07:08.928544,1,-1.0
1,16:06:25.871622,16:07:09.119727,1,-1.0
1,16:06:25.871622,16:07:09.319894,1,-1.0
1,16:06:25.871622,16:07:09.522822,1,-1.0
1,16:06:25.871622,16:07:09.719916,1,-1.0
1,16:06:25.871622,16:07:09.905663,1,-1.0
1,16:06:25.871622,16:07:10.099736,1,-1.0
1,16:06:25.871622,16:07:10.278620,1,-1.0
1,16:06:25.871622,16:07:10.456143,1,-1.0
1,16:06:25.871622,16:07:10.701755,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:07:11.346396,16:07:12.291105,-1,-1.0
2,16:07:11.346396,16:07:12.739033,-1,-1.0
2,16:07:11.346396,16:07:13.881087,1,-1.0
2,16:07:11.346396,16:07:14.051180,1,-1.0
2,16:07:11.346396,16:07:14.224028,1,-1.0
2,16:07:11.346396,16:07:14.407602,1,-1.0
2,16:07:11.346396,16:07:14.581472,1,-1.0
2,16:07:11.346396,16:07:14.720149,1,-1.0
2,16:07:11.346396,16:07:14.889415,1,-1.0
2,16:07:11.346396,16:07:15.042423,1,-1.0
2,16:07:11.346396,16:07:15.204413,1,-1.0
2,16:07:11.346396,16:07:15.369464,1,-1.0
2,16:07:11.346396,16:07:15.527812,1,-1.0
2,16:07:11.346396,16:07:15.681883,1,-1.0
2,16:07:11.346396,16:07:15.839292,1,-1.0
2,16:07:11.346396,16:07:16.006137,1,-1.0
2,16:07:11.346396,16:07:16.161119,1,-1.0
2,16:07:11.346396,16:07:16.317004,1,-1.0
2,16:07:11.346396,16:07:16.585479,-1,-1.0
2,16:07:11.346396,16:07:17.118126,-1,-1.0
2,16:07:11.346396,16:07:17.642989,-1,-1.0
2,16:07:11.346396,16:07:18.004526,-1,-1.0
2,16:07:11.346396,16:07:18.304704,-1,-1.0
2,16:07:11.346396,16:07:18.623084,-1,-1.0
2,16:07:11.346396,16:07:18.917298,-1,-1.0
2,16:07:11.346396,16:07:19.444721,1,-1.0
2,16:07:11.346396,16:07:19.601277,1,-1.0
2,16:07:11.346396,16:07:19.765010,1,-1.0
