Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:34:38.097508,10:34:38.114128,1,-1.0
1,10:34:38.097508,10:34:38.218380,1,-1.0
1,10:34:38.097508,10:34:39.296410,-1,-1.0
1,10:34:38.097508,10:34:39.549820,-1,-1.0
1,10:34:38.097508,10:34:39.800012,-1,-1.0
1,10:34:38.097508,10:34:40.144215,1,-1.0
1,10:34:38.097508,10:34:40.380364,1,-1.0
1,10:34:38.097508,10:34:40.590240,1,-1.0
1,10:34:38.097508,10:34:40.825467,1,-1.0
1,10:34:38.097508,10:34:41.065171,1,-1.0
1,10:34:38.097508,10:34:41.285552,1,-1.0
1,10:34:38.097508,10:34:41.513775,1,-1.0
1,10:34:38.097508,10:34:41.721799,1,-1.0
1,10:34:38.097508,10:34:41.949221,1,-1.0
1,10:34:38.097508,10:34:42.217599,1,-1.0
1,10:34:38.097508,10:34:42.459354,1,-1.0
1,10:34:38.097508,10:34:42.684195,1,-1.0
1,10:34:38.097508,10:34:42.909271,1,-1.0
1,10:34:38.097508,10:34:43.143296,1,-1.0
1,10:34:38.097508,10:34:43.370197,1,-1.0
1,10:34:38.097508,10:34:43.598800,1,-1.0
1,10:34:38.097508,10:34:43.860940,1,-1.0
1,10:34:38.097508,10:34:44.101497,1,-1.0
1,10:34:38.097508,10:34:44.318630,1,-1.0
1,10:34:38.097508,10:34:44.551853,1,-1.0
1,10:34:38.097508,10:34:44.789594,1,-1.0
1,10:34:38.097508,10:34:45.003488,1,-1.0
1,10:34:38.097508,10:34:45.380750,-1,-1.0
1,10:34:38.097508,10:34:45.633537,-1,-1.0
1,10:34:38.097508,10:34:45.965910,-1,-1.0
1,10:34:38.097508,10:34:46.304015,-1,-1.0
1,10:34:38.097508,10:34:46.553620,-1,-1.0
1,10:34:38.097508,10:34:46.897524,-1,-1.0
1,10:34:38.097508,10:34:47.234803,-1,-1.0
1,10:34:38.097508,10:34:47.530077,-1,-1.0
1,10:34:38.097508,10:34:48.037843,1,-1.0
1,10:34:38.097508,10:34:48.289639,1,-1.0
1,10:34:38.097508,10:34:48.494915,1,-1.0
1,10:34:38.097508,10:34:48.740058,1,-1.0
1,10:34:38.097508,10:34:49.021660,1,-1.0
1,10:34:38.097508,10:34:49.239250,1,-1.0
1,10:34:38.097508,10:34:49.469605,1,-1.0
1,10:34:38.097508,10:34:49.712068,1,-1.0
1,10:34:38.097508,10:34:49.946786,1,-1.0
1,10:34:38.097508,10:34:50.202350,1,-1.0
1,10:34:38.097508,10:34:50.433400,1,-1.0
